=== Segment 1 Start: 14:33:04 | End: 14:33:40 ===
Time (s),x,y
3.38,46,15
3.44,77,15
3.98,77,46
4.04,77,77
4.63,46,77
4.7,15,77
5.16,15,108
5.89,15,139
5.96,15,170
6.61,15,201
7.01,46,201
7.08,77,201
7.67,77,232
7.74,77,263
7.8,77,294
7.87,77,325
8.33,108,325
8.4,139,325
8.86,139,356
8.93,139,387
9.39,170,387
9.45,201,387
10.05,201,418
10.11,201,449
10.64,170,449
10.71,139,449
11.24,139,480
11.3,139,511
11.37,139,542
11.44,139,573
12.23,170,573
12.3,201,573
13.49,201,542
13.56,201,511
16.33,232,511
16.4,263,511
17.46,263,480
17.53,263,449
18.18,294,449
18.25,325,449
18.71,325,418
18.78,325,387
19.31,356,387
19.38,387,387
19.44,418,387
19.51,449,387
19.57,480,387
19.64,511,387
20.63,511,356
20.69,511,325
21.22,480,325
21.29,449,325
21.36,418,325
21.42,387,325
21.49,356,325
21.56,325,325
21.62,294,325
21.69,263,325
21.76,232,325
21.82,201,325
22.35,201,294
22.42,201,263
22.48,201,232
22.55,201,201
23.08,232,201
23.15,263,201
23.61,263,232
23.68,263,263
24.14,294,263
24.2,325,263
24.6,325,232
24.67,325,201
25.19,356,201
25.26,387,201
25.33,418,201
25.39,449,201
25.99,449,170
26.05,449,139
26.45,418,139
26.52,387,139
26.91,387,108
26.98,387,77
27.31,356,77
27.38,325,77
28.1,325,46
28.17,325,15
28.77,356,15
28.83,387,15
28.9,418,15
28.96,449,15
29.03,480,15
29.1,511,15
29.16,542,15
29.23,573,15
29.3,604,15
29.36,635,15
29.96,635,46
30.02,635,77
30.09,635,108
30.15,635,139
30.62,604,139
30.68,573,139
30.75,542,139
30.82,511,139
31.28,511,170
31.35,511,201
31.81,542,201
31.87,573,201
32.47,573,232
32.53,573,263
32.6,573,294
32.67,573,325
33.06,604,325
33.13,635,325
33.59,635,356
33.66,635,387
33.72,635,418
33.79,635,449
34.39,604,449
34.45,573,449
35.26,573,480
35.31,573,511
35.38,573,542
35.44,573,573
35.77,604,573
35.84,635,573
36.17,635,542
36.24,635,511

=== Segment 2 Start: 14:33:40 | End: 14:33:57 ===
Time (s),x,y
1.39,16,49
1.45,16,82
1.52,16,115
1.58,16,148
2.18,49,148
2.24,82,148
2.31,115,148
2.38,148,148
2.44,181,148
2.51,214,148
2.58,247,148
2.64,280,148
2.71,313,148
2.77,346,148
4.23,346,181
4.3,346,214
4.76,313,214
4.82,280,214
5.29,280,247
5.35,280,280
5.42,280,313
5.48,280,346
5.88,313,346
5.95,346,346
6.48,346,313
6.54,346,280
6.94,379,280
7.0,412,280
7.07,445,280
7.14,478,280
7.2,511,280
7.27,544,280
8.32,544,313
8.39,544,346
8.92,511,346
8.99,478,346
9.51,478,379
9.58,478,412
9.65,478,445
9.71,478,478
10.17,445,478
10.24,412,478
10.64,412,445
10.71,412,412
10.77,412,379
11.17,412,412
11.23,412,445
11.3,412,478
11.76,412,445
11.83,412,412
12.23,379,412
12.29,346,412
12.36,313,412
12.42,280,412
12.89,280,445
12.95,280,478
13.55,247,478
13.61,214,478
13.94,214,445
