
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.64,0.3119
1.64,1.8719
2.64,1.7305
3.65,1.0272
4.64,1.5256
5.65,0.8794
6.64,0.0381
7.64,1.2228
8.65,0.9647
9.64,0.4902
10.64,1.1563
11.64,0.53
12.64,1.5792
13.65,1.7132
14.64,1.7219
15.65,1.4396
16.64,0.3925
17.64,1.5055
18.65,0.6012
19.64,0.2943
20.64,1.3448
21.64,1.4109
22.64,0.3846
23.65,1.4459
24.64,1.847
25.64,0.3512
26.64,0.0663
27.64,1.7502
28.65,0.0091
29.64,0.9134
30.64,1.0435
31.64,0.0064
32.64,1.2913
33.65,1.2063
34.64,0.6222
35.64,1.3875
36.64,0.2353
37.64,0.1318
38.64,0.2741
39.64,1.0157
40.64,0.8936
41.64,1.8579
42.65,0.4812
43.64,0.5675
44.64,0.3939

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.45,0.1097
1.45,0.6107
2.45,1.9634
3.45,0.5718
4.45,1.2596
5.45,0.4149
6.45,1.4716
7.45,1.7634
8.45,1.1868
9.45,1.1777
10.45,1.4042
11.46,0.9981
12.45,0.6817
13.45,0.1715
14.45,0.7827
15.45,0.3625
16.45,0.5787
17.45,1.5116
18.45,1.2013
19.45,0.4979
20.45,0.2339
21.45,0.4135
22.45,0.7084
23.45,1.5004
24.45,1.1052
25.45,1.1435
26.45,1.2808
27.45,1.6449
28.45,0.854
29.45,1.3178
30.45,0.6686
31.45,1.4695
32.45,1.5692
33.45,0.8544
34.45,0.1516
35.45,0.3559
36.45,0.4028
37.45,0.4456
38.45,1.3448
39.45,1.1705
40.45,0.6588
41.45,0.3517
42.45,1.7836
43.45,0.9632
44.45,1.0256

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.25,1.9074
1.25,1.4221
2.25,1.6734
3.25,1.9179
4.25,1.8734
5.25,1.0326
6.25,0.9486
7.25,1.7833
8.25,0.0788
9.25,1.0958
10.25,1.5109
11.25,1.2102
12.25,0.362
13.25,1.2256
14.25,1.1687
15.25,1.6111
16.25,0.5612
17.25,0.7949
18.25,1.82
19.25,0.6851
20.25,1.0391
21.25,1.9555
22.25,1.4677
23.25,0.5202
24.25,0.416
25.25,0.7378
26.25,1.8516
27.25,1.517
28.25,0.063
29.25,0.0671
30.25,0.3257
31.25,0.3047
32.25,1.7778
33.25,0.8134
34.25,1.307
35.25,1.4501
36.25,0.9826
37.25,1.2818
38.25,1.6355
39.25,1.2081
40.25,1.8461
41.25,0.1521
42.25,0.4203
43.25,0.0957
44.25,0.4228

Level: target_lvl1
Time,Entropy
0.24,1.1818
1.24,1.5666
2.24,0.1072
3.24,1.1254
4.25,0.5147
5.24,0.0895
6.24,1.4349
7.24,0.5891
8.24,0.5479
9.24,1.7215
10.24,0.8285
11.24,1.2063
12.24,0.3095
13.24,1.5358
14.24,0.9387
15.24,0.009
16.24,1.4468
17.24,0.288
18.24,0.2334
19.24,0.8634
20.24,1.043
21.24,1.0639
22.24,1.0986
23.25,0.9958
24.24,0.3007
25.24,0.3253
26.24,1.4578
27.24,0.6761
28.25,1.9575
29.24,0.6758
30.24,1.1787
31.24,0.3335
32.24,0.5471
33.24,1.2156
34.25,0.5684
35.24,1.9444
36.24,1.0509
37.25,0.6424
38.24,1.9927
39.24,1.7822
40.24,1.1195
41.24,1.8036
42.24,1.7053
43.24,0.2253
44.24,0.2292
45.25,0.0275
46.24,1.2266
47.24,0.1194
48.24,1.0932
49.24,0.2538
50.24,0.1045
51.25,0.4399
52.24,0.9948
53.24,1.7625
54.24,1.5378
55.25,0.1914
56.24,0.7937
57.24,0.2649
58.24,1.4748
59.24,1.2076
60.24,0.1856
61.24,0.6579
62.25,0.5511
63.24,0.3891
64.24,1.2632
65.24,1.1335
66.25,0.6546
67.24,0.2337
68.24,1.448
69.24,1.8236
70.24,1.6854
71.24,0.7157
72.25,1.989
73.25,1.0374
74.25,0.8208
75.24,0.0477
76.24,1.0934
77.24,1.1441
78.24,1.457
79.24,1.0819
80.24,0.1268
81.24,1.3872
82.24,0.3386
83.24,1.908
84.24,0.1536
85.24,0.395
86.24,1.7023
87.24,0.3868
88.24,1.0582
89.24,0.8115
90.24,0.8046
91.24,0.0747
92.24,1.1238
93.24,1.5152
94.24,1.1154
95.24,1.1878
96.24,0.6368
97.24,0.9908
98.24,0.8848
99.24,0.0917
100.24,1.1216
101.24,0.9959
102.24,1.8976
103.24,1.4633
104.24,0.9202
105.24,0.0711
106.24,1.1539
107.24,1.167
108.24,0.999
109.24,1.4857
110.24,0.1339
111.24,0.611
112.24,0.3952
113.24,0.6915
114.24,1.671
115.24,0.3791
116.25,0.4612
117.24,0.4771
118.24,0.2322
119.24,0.8454
