Time,Shape,Color,PressedKey,Result
2.12,triangle,yellow,RIGHT,correct
3.41,circle,red,RIGHT,wrong
5.69,square,blue,RIGHT,wrong
6.84,triangle,yellow,RIGHT,correct
8.07,triangle,green,RIGHT,correct
11.19,circle,yellow,LEFT,correct
12.65,circle,white,LEFT,correct
14.21,triangle,blue,RIGHT,correct
15.6,square,yellow,RIGHT,wrong
17.19,square,grey,RIGHT,wrong
18.78,circle,white,LEFT,correct
20.34,square,yellow,RIGHT,wrong
22.1,triangle,grey,RIGHT,correct
25.02,triangle,pink,RIGHT,correct
26.54,circle,blue,LEFT,correct
27.97,triangle,blue,RIGHT,correct
29.95,circle,blue,LEFT,correct
32.67,square,yellow,RIGHT,wrong
34.09,square,green,RIGHT,wrong
38.7,triangle,green,RIGHT,correct
40.19,triangle,orange,RIGHT,correct
41.58,triangle,grey,RIGHT,correct
43.27,circle,orange,LEFT,correct
44.76,square,red,RIGHT,wrong
