Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.8,1.8389
1.8,0.5069
2.8,0.4296
3.8,1.3292
4.8,1.7742
5.8,0.6168
6.8,0.0404
7.8,1.6369
8.8,1.4946
9.8,1.4586
10.8,1.9118
11.8,1.515
12.8,1.5948
13.8,0.4906
14.8,1.2005
15.8,1.4631
16.8,0.567
17.8,1.6499
18.8,0.8508
19.8,0.0312
20.8,1.3242
21.8,1.135
22.8,0.7682
23.8,1.5826
24.8,1.0339
25.8,0.4259
26.8,0.7781
27.8,0.0831
28.8,0.316
29.8,0.5992
30.8,0.579
31.8,0.028
32.8,0.0647
33.8,0.4923
34.8,0.3307
35.8,0.2789
36.8,0.155
37.8,1.2417
38.8,1.6439
39.8,1.3634
40.8,1.8519
41.8,1.5561
42.8,1.1128
43.8,1.3053
44.8,1.5425
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.6,1.0859
1.6,0.4624
2.6,1.293
3.6,1.5017
4.6,0.5963
5.6,0.6189
6.6,1.6548
7.6,1.3973
8.6,0.8105
9.6,1.9916
10.6,1.4835
11.6,0.4051
12.6,1.4312
13.6,0.414
14.6,0.5322
15.6,1.8378
16.6,1.0219
17.6,1.5179
18.6,0.5722
19.6,1.5201
20.6,0.8463
21.6,1.3751
22.6,0.1167
23.6,0.0308
24.6,0.3375
25.6,1.1973
26.6,1.1029
27.6,0.3494
28.6,0.919
29.6,0.8736
30.6,1.2889
31.6,0.4018
32.6,0.4172
33.6,1.2311
34.6,1.7882
35.6,0.1878
36.6,1.8347
37.6,0.8967
38.6,1.1926
39.6,1.4832
40.6,1.0724
41.6,0.5841
42.6,0.9164
43.6,1.8708
44.6,0.4037
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.4,0.3169
1.4,0.1913
2.4,1.0626
3.4,1.4126
4.4,1.1008
5.4,0.4705
6.4,0.5149
7.4,0.2936
8.4,1.6412
9.4,0.815
10.4,1.6916
11.4,0.7446
12.4,0.8231
13.4,0.2106
14.4,0.2007
15.4,0.2542
16.4,0.5018
17.4,0.2373
18.4,1.0368
19.4,0.4714
20.4,1.5649
21.4,0.7607
22.4,0.2983
23.4,0.7944
24.4,1.8547
25.4,0.8637
26.4,1.5034
27.4,1.0318
28.4,0.2808
29.4,1.3772
30.4,1.2569
31.4,0.2903
32.4,1.364
33.4,0.732
34.4,1.2024
35.4,0.6795
36.4,1.7824
37.4,1.9584
38.4,1.6097
39.4,0.3767
40.4,1.613
41.4,0.4874
42.4,0.2834
43.4,1.628
44.4,1.1538
