
Level: target_lvl2
Time,Entropy
0.23,0.5484
1.23,0.2107
2.23,1.2776
3.23,1.7073
4.23,1.6467
5.23,1.6882
6.23,1.3871
7.23,1.6199
8.23,1.4387
9.23,1.1201
10.23,0.2213
11.23,1.2588
12.23,1.2714
13.23,1.5464
14.23,1.7146
15.23,0.4591
16.23,1.4341
17.23,0.9492
18.23,1.9208
19.23,0.2162
20.23,1.6934
21.23,0.1662
22.23,0.4081
23.23,1.3611
24.23,1.0348
25.23,0.5512
26.23,0.2711
27.23,1.0211
28.23,1.6113
29.23,0.1493
30.23,1.1919
31.23,0.8295
32.23,1.6938
33.23,1.4746
34.23,0.4045
35.23,1.0641
36.23,0.38
37.23,0.3776
38.23,0.4782
39.23,0.8762
40.23,0.8724
41.23,1.3
42.23,0.5292
43.23,1.5452
44.23,1.2349
45.23,0.2819
46.23,1.7003
47.23,0.4801
48.23,1.7888
49.23,0.3072
50.23,1.5477
51.23,0.1203
52.23,1.2401
53.23,1.51
54.23,0.4671
55.23,1.3894
56.23,1.7869
57.23,1.2855
58.23,1.8057
59.23,0.138
60.23,0.3999
61.23,0.1598
62.23,0.2883
63.23,0.1292
64.23,0.8546
65.23,0.8372
66.23,0.4891
67.23,0.6468
68.23,1.2814
69.23,0.7582
70.23,0.8149
71.23,0.9992
72.23,0.6684
73.23,0.4595
74.23,1.4169
75.23,0.7241
76.23,1.7287
77.23,0.0414
78.23,0.9014
79.23,1.1885
80.23,0.4417
81.23,1.6003
82.23,0.9476
83.23,1.8921
84.23,1.8747
85.23,1.6376
86.23,0.3557
87.23,0.6329
88.23,1.8461
89.23,1.1326
90.23,1.432
91.23,1.3162
92.23,0.048
93.23,1.1704
94.23,1.9532
95.23,1.2041
96.23,0.6302
97.23,0.9172
98.23,0.2872
99.23,1.5284
100.23,1.856
101.23,1.1294
102.23,1.8508
103.23,0.34
104.23,0.0099
105.23,1.1101
106.23,0.264
107.23,1.8679
108.23,0.5925
109.23,0.8339
110.23,0.284
111.23,0.4202
112.23,1.7149
113.23,1.1279
114.23,1.9442
115.23,0.8699
116.23,1.4113
117.23,0.9781
118.23,1.3741
119.23,0.9691
