=== Segment 1 Start: 11:30:13 | End: 11:30:24 ===
Time (s),x,y
0.67,52,17
0.74,87,17
0.81,122,17
0.87,157,17
0.93,192,17
1.0,227,17
1.07,262,17
1.13,297,52
1.4,297,87
1.73,262,87
1.79,227,87
2.12,227,122
2.19,227,157
2.52,192,157
2.58,157,157
2.65,122,157
2.72,87,157
2.91,87,192
2.98,87,227
3.38,122,227
3.45,157,227
4.37,157,262
4.44,157,297
4.51,157,332
4.57,157,367
4.84,192,367
4.91,227,367
5.3,227,332
5.36,227,297
5.83,227,262
5.89,227,227
6.16,262,227
7.48,297,227
7.55,332,227
7.61,367,227
7.88,367,192
7.94,367,157
8.01,367,122
8.08,367,87
8.34,402,87
8.41,437,87
8.74,437,122
8.8,437,157
9.0,472,157
9.07,507,157
9.47,507,192
9.54,507,227
9.93,472,227
10.0,437,227
10.13,437,262
10.2,437,297
10.72,402,297
10.79,367,297
10.86,332,297
10.92,297,297
11.32,297,332

=== Segment 2 Start: 11:30:24 | End: 11:30:34 ===
Time (s),x,y
0.07,14,42
0.13,14,70
0.99,14,98
1.06,14,126
1.66,42,126
1.72,70,126
2.05,70,98
2.12,70,70
2.45,98,70
2.52,126,70
2.72,126,98
2.78,126,126
3.05,154,126
3.11,182,126
3.18,210,126
3.24,238,126
3.51,238,154
3.9,238,182
3.97,238,210
4.04,238,238
4.1,238,266
4.17,238,294
4.23,238,322
4.63,210,350
5.03,182,350
5.09,154,350
5.16,126,350
5.42,126,322
5.49,126,294
5.56,126,266
5.62,126,238
5.82,154,238
5.89,182,238
6.09,182,210
6.15,182,182
6.42,154,182
6.49,126,182
6.55,98,182
6.62,70,182
6.68,42,182
6.75,14,182
6.81,14,210
6.88,42,238
7.14,70,266
7.41,70,294
7.74,42,294
7.81,14,294
8.07,14,322
8.13,14,350
8.2,14,378
8.27,14,406
8.79,42,406
8.86,70,406
8.93,98,406
8.99,126,406
9.06,154,406
9.12,182,434
9.19,210,462
9.85,182,462
9.92,154,462
9.98,126,462
10.05,98,462
10.12,70,462

=== Segment 3 Start: 11:30:34 | End: 11:30:37 ===
Time (s),x,y
1.06,49,16
1.12,82,16
1.45,82,49
1.52,82,82
1.79,115,82
1.85,148,82
2.05,148,115
2.12,115,148
2.38,82,181
3.04,82,148

=== Segment 4 Start: 11:30:37 | End: 11:31:06 ===
Time (s),x,y
0.99,39,13
1.06,65,13
1.26,65,39
1.32,65,65
1.65,91,65
1.72,117,65
3.04,117,39
3.11,117,13
3.37,143,13
3.44,169,13
3.64,169,39
3.7,169,65
3.77,169,91
3.84,169,117
4.04,143,117
4.1,117,117
4.3,117,143
4.37,117,169
4.63,143,169
4.7,169,169
4.96,169,195
5.03,169,221
5.1,169,247
5.16,169,273
5.23,169,299
5.29,169,325
5.76,195,325
6.15,221,325
6.55,221,351
6.62,221,377
7.15,247,377
7.21,273,377
7.68,273,403
7.74,273,429
8.07,299,429
8.14,325,429
8.2,351,429
8.27,377,429
8.6,377,403
8.67,377,377
8.73,377,351
8.8,377,325
9.26,377,299
9.39,377,273
9.66,351,273
9.73,325,273
9.93,325,247
9.99,325,221
10.32,351,221
10.39,377,221
10.72,377,195
10.78,377,169
10.85,377,143
10.92,377,117
11.18,403,117
11.25,429,117
11.51,429,143
11.58,429,169
11.64,429,195
11.71,429,221
12.04,455,221
12.1,481,221
12.17,507,221
12.24,533,221
12.57,533,247
12.63,533,273
12.7,533,299
12.77,533,325
12.96,507,325
13.03,481,325
