
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.61,1.9679
1.61,1.3397
2.61,0.9538
3.61,1.6011
4.61,0.566
5.61,0.7522
6.61,0.4193
7.61,1.8971
8.61,0.1326
9.61,1.8121
10.61,0.9272
11.61,1.7895
12.61,1.0968
13.61,1.806
14.61,0.6845
15.61,1.8721
16.61,0.7782
17.61,0.8906
18.61,0.7273
19.61,0.7369
20.61,1.6526
21.61,0.4942
22.61,1.4403
23.61,1.2286
24.61,1.3192
25.61,0.8898
26.61,1.4866
27.61,0.6497
28.61,1.6366
29.61,1.8044
30.61,1.8132
31.61,1.9173
32.61,1.92
33.61,0.2991
34.61,1.2242
35.61,1.8216
36.61,0.528
37.61,0.0137
38.61,1.9863
39.61,1.5228
40.61,1.435
41.61,0.2122
42.61,1.5377
43.61,1.0121
44.61,1.9948

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.4,1.8649
1.4,0.3614
2.4,0.549
3.4,1.2738
4.4,0.2215
5.4,0.2295
6.4,0.884
7.4,0.6223
8.4,1.8537
9.4,1.609
10.4,0.5437
11.4,0.7271
12.4,1.1994
13.4,1.9058
14.4,1.781
15.4,1.2955
16.4,0.8585
17.4,0.3654
18.4,0.0393
19.4,1.6728
20.4,1.377
21.4,0.7073
22.4,1.7941
23.4,1.6324
24.4,1.6526
25.4,1.5554
26.4,0.7128
27.4,0.9674
28.4,1.8307
29.4,1.2072
30.4,1.8938
31.4,0.2646
32.4,0.3875
33.4,0.9597
34.4,0.4724
35.4,0.7626
36.4,1.3197
37.4,1.5949
38.4,1.5249
39.4,0.7296
40.4,1.5942
41.4,0.4367
42.4,0.1709
43.4,1.6086
44.4,0.4016

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.2,1.2075
1.2,0.1263
2.2,0.8817
3.2,1.9788
4.2,0.7947
5.2,0.4298
6.2,1.3211
7.2,0.1382
8.2,1.413
9.2,0.7524
10.2,0.0388
11.2,1.8357
12.2,0.5871
13.2,1.448
14.2,0.5237
15.2,1.0095
16.2,0.6221
17.2,0.7165
18.2,1.8344
19.2,0.3041
20.2,1.175
21.2,1.7996
22.2,0.3823
23.2,0.725
24.2,1.0676
25.2,0.4069
26.2,1.044
27.2,1.4162
28.2,1.9684
29.2,1.642
30.2,0.1916
31.2,0.8378
32.2,1.2779
33.2,0.4157
34.2,1.0806
35.2,1.9915
36.2,1.609
37.2,0.7445
38.2,1.9046
39.2,1.4742
40.2,0.4426
41.2,1.0883
42.2,0.4515
43.2,1.4321
44.2,0.3274

Level: target_lvl1
Time,Entropy
0.9,1.9345
1.9,1.6228
2.9,1.9587
3.9,1.7414
4.9,1.2179
5.9,0.9344
6.9,0.6494
7.9,0.8122
8.9,0.5361
9.9,1.1047
10.9,1.3387
11.9,1.7472
12.9,0.6895
13.9,1.7369
14.9,1.9643
15.9,1.6842
16.9,1.5423
17.9,1.5388
18.9,0.5098
19.9,0.8608
20.9,0.1591
21.9,0.3465
22.9,1.0284
23.91,1.3326
24.9,0.1857
25.9,0.7638
26.9,0.674
27.9,0.8203
28.9,1.2965
29.9,0.9424
30.9,1.2138
31.9,0.9774
32.9,0.0281
33.9,0.8154
34.9,1.4711
35.9,0.0766
36.9,1.8038
37.9,1.4424
38.9,1.2215
39.9,0.4039
40.9,0.8094
41.9,0.4616
42.9,0.5781
43.9,0.4178
44.9,1.6929
45.9,1.2074
46.9,1.4124
47.9,1.8071
48.9,0.0058
49.9,0.093
50.9,1.4612
51.9,0.2495
52.9,0.598
53.9,0.867
54.9,1.9403
55.9,1.8238
56.9,0.1761
57.9,0.4797
58.9,1.4067
59.9,0.3322
60.9,1.9176
61.9,0.1053
62.9,0.3113
63.9,0.0404
64.9,0.1887
65.9,1.2056
66.9,1.4417
67.9,1.8345
68.9,0.1445
69.9,1.9264
70.9,1.7367
71.9,1.5634
72.9,1.7795
73.9,1.2171
74.9,0.6012
75.9,1.8346
76.9,0.7806
77.9,0.382
78.9,0.6144
79.9,1.4085
80.9,0.5706
81.9,1.6417
82.9,1.5812
83.9,0.0127
84.9,1.7366
85.9,0.8402
86.9,0.132
87.9,1.5439
88.9,0.6206
89.9,1.5002
90.9,0.397
91.9,0.4969
92.9,1.0899
93.9,0.5362
94.9,0.6068
95.9,1.8582
96.9,1.9654
97.9,1.0442
98.9,0.7728
99.9,1.8686
100.9,1.6986
101.9,1.9462
102.9,1.0477
103.9,0.1799
104.9,0.4802
105.9,0.3787
106.9,0.0474
107.9,1.5112
108.9,1.1778
109.9,0.9265
110.9,1.8828
111.9,0.0054
112.9,0.0726
113.9,1.3633
114.9,1.659
115.9,1.1495
116.9,1.5851
117.9,1.4936
118.9,0.8991
119.9,0.2876
