Time,Shape,Color,PressedKey,Result
2.82,circle,yellow,LEFT,correct
3.98,triangle,green,RIGHT,correct
6.33,triangle,white,RIGHT,correct
8.48,square,red,RIGHT,wrong
9.74,triangle,white,RIGHT,correct
12.05,triangle,pink,RIGHT,correct
14.58,square,yellow,RIGHT,wrong
15.83,square,green,RIGHT,wrong
17.62,triangle,pink,RIGHT,correct
18.78,triangle,green,RIGHT,correct
23.52,circle,green,LEFT,correct
24.97,triangle,orange,RIGHT,correct
27.99,triangle,grey,RIGHT,correct
29.54,square,orange,RIGHT,wrong
31.07,circle,yellow,LEFT,correct
34.25,triangle,pink,RIGHT,correct
35.7,circle,yellow,LEFT,correct
37.09,circle,red,LEFT,correct
40.27,square,white,RIGHT,wrong
41.83,square,red,RIGHT,wrong
43.15,square,green,RIGHT,wrong
