Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.53,1.4067
1.53,1.3727
2.53,0.6221
3.53,1.2827
4.53,0.8431
5.53,1.2041
6.53,0.6853
7.53,1.2759
8.53,1.5344
9.53,0.8332
10.53,0.6107
11.53,1.9206
12.53,0.3201
13.53,1.1593
14.53,0.6108
15.53,1.912
16.53,0.4624
17.53,0.7693
18.53,0.7606
19.53,1.6421
20.53,1.9934
21.53,0.7881
22.53,0.2051
23.53,0.7653
24.53,0.3627
25.53,1.3424
26.53,1.893
27.53,0.884
28.53,1.3349
29.53,1.758
30.53,0.457
31.53,0.8689
32.53,0.1397
33.53,1.9473
34.53,1.2713
35.53,1.3884
36.53,1.1078
37.53,0.5074
38.53,1.1273
39.53,1.3274
40.53,0.3053
41.53,1.4243
42.53,1.4791
43.53,1.1163
44.53,1.4675
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.33,1.5019
1.33,1.0984
2.33,0.0489
3.33,0.5733
4.33,0.0198
5.33,0.2877
6.33,1.0112
7.33,0.2151
8.33,1.6165
9.33,1.2287
10.33,0.0064
11.33,0.203
12.33,0.8884
13.33,0.1439
14.33,1.7759
15.33,0.5863
16.33,1.3707
17.33,1.5544
18.33,0.5164
19.33,1.6861
20.33,0.0114
21.33,0.4462
22.33,0.0691
23.33,0.1368
24.33,0.2142
25.33,0.7945
26.33,1.3162
27.34,0.9854
28.33,0.8972
29.33,0.394
30.33,0.0125
31.33,0.6362
32.33,0.7609
33.33,0.8077
34.33,1.558
35.33,1.2176
36.33,1.9798
37.33,0.1068
38.33,0.1502
39.33,0.9167
40.33,1.4486
41.33,1.0859
42.33,0.1555
43.33,1.1367
44.33,1.0345
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.12,0.3985
1.12,0.3907
2.12,1.2834
3.12,0.8013
4.12,0.0706
5.12,1.2279
6.12,0.7124
7.12,0.3967
8.12,1.4703
9.12,0.3896
10.12,1.0825
11.12,0.6736
12.12,1.6218
13.12,1.9688
14.12,1.2505
15.12,1.0702
16.12,1.6483
17.12,0.4182
18.12,0.8367
19.12,1.9928
20.12,1.7205
21.12,1.3348
22.12,1.7918
23.12,1.4668
24.12,1.4211
25.12,1.9175
26.12,1.0554
27.12,1.1855
28.12,1.2847
29.12,1.6746
30.12,1.4523
31.12,0.5395
32.12,1.2898
33.12,0.9144
34.12,1.9988
35.12,1.5233
36.12,1.7224
37.12,0.4102
38.12,1.8254
39.12,0.5271
40.12,1.3694
41.12,1.5203
42.12,0.0099
43.12,0.4904
44.12,0.2654
