
Level: target_lvl3
Time,Entropy
0.43,1.3143
1.43,1.1496
2.43,0.1345
3.43,0.8591
4.43,0.9424
5.43,0.8773
6.43,1.685
7.43,0.1951
8.43,0.843
9.43,1.7668
10.43,0.3719
11.43,1.9649
12.43,0.5583
13.43,0.3292
14.43,1.6993
15.43,1.7621
16.43,0.9921
17.43,1.7988
18.43,1.9726
19.43,1.5207
20.43,0.2564
21.43,1.1502
22.43,1.326
23.43,0.7503
24.43,1.6891
25.43,1.7439
26.43,1.3616
27.43,0.2936
28.43,1.4156
29.43,0.4034
30.43,1.4352
31.43,1.6428
32.43,1.721
33.43,0.6215
34.43,1.0672
35.43,1.9872
36.43,1.5001
37.43,0.0723
38.43,0.9975
39.43,1.5294
40.43,0.2991
41.43,1.1553
42.43,0.8856
43.43,1.2856
44.43,0.0822
45.43,0.7203
46.43,1.3726
47.43,0.7868
48.43,1.7303
49.43,1.9493
50.43,0.2862
51.43,1.9044
52.43,1.99
53.43,0.382
54.43,0.75
55.43,0.1535
56.43,0.8278
57.43,0.0532
58.43,0.8683
59.43,0.5844
60.43,0.5765
61.43,0.1775
62.43,0.8007
63.43,1.3566
64.43,0.5628
65.43,1.3235
66.43,1.8431
67.43,0.2231
68.43,0.5623
69.43,0.066
70.43,0.7033
71.43,0.4565
72.43,0.8369
73.43,0.2356
74.43,0.4924
75.43,0.6748
76.43,1.9124
77.43,0.1289
78.43,0.4927
79.43,1.9564
80.43,0.1049
81.43,1.999
82.43,0.7651
83.43,0.794
84.43,0.0602
85.43,1.3597
86.43,0.87
87.43,0.3944
88.43,1.8475
89.43,1.2957
90.43,0.318
91.43,1.7364
92.43,0.3256
93.43,1.3316
94.43,1.1447
95.43,0.8064
96.43,1.3238
97.43,1.9621
98.43,1.2379
99.43,1.7746
100.43,1.0249
101.43,0.8131
102.43,0.4643
103.43,1.0498
104.43,0.5238
105.43,0.814
106.43,1.9243
107.43,0.1319
108.43,1.953
109.43,1.5811
110.43,0.2057
111.43,0.5913
112.43,0.5419
113.43,0.4348
114.43,1.3911
115.43,0.339
116.43,1.2357
117.43,0.2719
118.43,0.5765
119.43,1.3478
