=== Segment 1 Start: 15:02:18 | End: 15:03:09 ===
Time (s),x,y
23.54,13,39
23.61,13,65
25.26,39,65
25.33,65,65
25.72,65,91
25.79,65,117
26.52,91,117
26.58,117,117
26.91,117,143
26.98,117,169
27.05,117,195
27.11,117,221
27.71,143,221
27.77,169,221
27.84,195,221
27.9,221,221
28.23,221,195
28.3,221,169
28.5,247,169
28.56,273,169
28.89,273,143
28.96,273,117
29.03,273,91
29.09,273,65
29.29,247,65
29.36,221,65
29.42,195,65
29.49,169,65
29.55,143,65
29.62,117,39
29.69,91,13
30.28,117,13
30.35,143,13
30.41,169,13
30.48,195,13
30.55,221,13
30.61,247,13
30.68,273,13
30.74,299,13
30.81,325,13
31.54,351,13
31.61,377,13
31.67,403,13
31.74,429,13
32.13,429,39
32.2,429,65
32.86,403,65
32.93,377,65
33.25,377,91
33.32,377,117
34.05,403,117
34.11,429,117
34.18,455,117
34.25,481,117
34.31,507,117
34.38,533,117
34.64,533,91
34.71,533,65
34.77,533,39
34.84,533,13
35.17,559,13
35.24,585,13
37.49,585,39
37.55,585,65
37.75,611,65
37.82,637,65
37.88,663,65
37.95,689,65
38.28,689,39
38.35,689,13
38.54,715,13
38.61,741,13
38.88,741,39
38.94,741,65
39.01,741,91
39.07,741,117
39.14,741,143
39.21,741,169
39.27,741,195
39.34,741,221
39.41,741,247
39.47,741,273
39.54,741,299
39.6,741,325
39.67,741,351
39.73,741,377
39.8,741,403
39.87,741,429
40.13,715,429
40.2,689,429
40.26,663,429
40.33,637,429
40.4,611,429
40.46,585,429
40.72,585,403
40.79,585,377
41.05,559,377
41.12,533,377
41.19,507,377
41.25,481,377
41.72,481,403
41.78,481,429
44.96,507,429
45.02,533,429
45.62,533,455
45.69,533,481
46.01,507,481
46.08,481,481
46.15,455,481
46.21,429,481
46.28,403,481
46.34,377,481
46.41,351,481
46.48,325,481
46.54,299,481
46.61,273,481
47.01,273,455
47.07,273,429
47.27,299,429
47.34,325,429
47.4,351,429
47.47,377,429
47.73,377,403
47.8,377,377
48.46,403,377
48.53,429,377
48.8,429,351
48.86,429,325
48.92,429,299
48.99,429,273
49.05,429,247
49.12,429,221
49.19,429,195
49.25,429,169
49.52,403,169
49.58,377,169
49.91,377,195
49.98,377,221
50.04,377,247
50.11,377,273
50.18,377,299
50.24,377,325
50.51,351,325
50.77,325,325
50.84,299,325
50.91,273,325
51.31,273,351
51.37,247,377
51.7,221,377

=== Segment 2 Start: 15:03:09 | End: 15:03:53 ===
Time (s),x,y
2.05,247,377
2.12,273,377
2.18,299,377
2.64,273,377
2.71,247,377
3.44,273,377
3.51,299,377
3.9,273,377
4.37,273,351
4.43,273,325
4.76,299,325
4.83,325,325
4.9,351,325
4.96,377,325
5.16,377,299
5.23,377,273
5.29,377,247
5.36,377,221
5.42,377,195
5.49,377,169
5.69,403,169
5.75,429,169
5.82,455,169
5.88,481,169
7.41,481,195
7.47,481,221
7.74,507,221
7.8,533,221
8.07,533,195
8.13,533,169
8.4,559,169
8.47,585,169
8.73,585,195
8.8,585,221
8.86,585,247
8.93,585,273
9.13,611,273
9.19,637,273
9.26,663,273
9.32,689,273
9.59,689,247
9.65,689,221
9.72,689,195
9.79,689,169
10.05,663,169
10.12,637,169
10.38,637,143
10.45,637,117
10.84,611,117
10.91,585,117
11.24,611,117
11.31,637,117
11.37,663,117
11.44,689,117
11.7,663,117
11.77,637,117
11.84,611,117
11.9,585,117
12.57,611,117
12.63,637,117
13.03,637,143
13.1,637,169
13.16,637,195
13.23,637,221
13.69,637,195
13.75,663,169
14.15,689,169
14.55,689,195
14.61,689,221
14.68,689,247
14.75,689,273
14.81,689,299
15.61,689,325
16.0,663,325
16.07,637,325
16.13,611,325
20.7,637,325
20.76,663,325
20.83,689,325
20.96,689,299
21.03,689,273
21.09,689,247
21.16,689,221
21.24,689,195
21.36,689,221
21.62,689,247
21.95,663,273
22.35,637,273
22.41,611,273
22.48,585,273
22.82,585,247
22.88,585,221
22.94,585,195
23.01,585,169
23.21,559,169
23.27,533,169
24.13,533,195
24.2,533,221
24.46,507,221
24.53,481,221
24.86,481,195
24.92,481,169
25.12,455,169
25.19,429,169
25.26,403,169
25.32,377,169
26.05,403,169
26.45,429,169
26.84,429,195
26.91,429,221
26.97,429,247
27.04,429,273
27.11,429,299
27.18,429,325
27.24,429,351
27.97,429,377
28.03,429,403
28.43,429,377
28.89,403,377
28.96,377,377
29.75,377,403
29.82,377,429
30.21,351,429
30.28,325,429
30.35,299,429
30.41,273,429
30.68,273,455
30.74,273,481
31.21,299,481
31.27,325,481
31.34,351,481
31.41,377,481
31.47,403,481
31.54,429,481
31.6,455,481
32.0,481,481
32.07,507,481
32.13,533,481
32.53,533,455
32.59,533,429
32.86,507,429
32.92,481,429
33.19,481,403
33.26,481,377
33.52,507,377
33.59,533,377
33.65,559,377
33.72,585,377
34.05,585,403
34.12,585,429
34.58,611,429
34.84,637,429
34.91,663,429
34.98,689,429
35.04,715,429
35.11,741,429
35.31,741,403
35.37,741,377
35.44,741,351
35.51,741,325
35.57,741,299
35.64,741,273
35.7,741,247
35.77,741,221
35.84,741,195
35.9,741,169
35.97,741,143
36.03,741,117
36.3,741,91
36.36,741,65
36.43,741,39
36.5,741,13
36.76,715,13
36.83,689,13
36.89,663,13
36.96,637,13
37.29,663,13
37.36,689,13
37.75,689,39
37.82,689,65
38.08,663,65
38.15,637,65
38.21,611,65
38.28,585,65
38.68,585,39
38.74,585,13
39.21,559,13
39.28,533,13
39.34,507,13
39.74,533,13
40.21,533,39
40.27,533,65
40.34,533,91
40.4,533,117
40.86,507,117
40.93,481,117
41.0,455,117
41.06,429,117
41.13,403,117
41.19,377,117
41.46,377,91
41.53,377,65
41.86,403,65
41.92,429,65
42.32,429,39
42.39,429,13
42.72,403,13
42.78,377,13
42.85,351,13
42.92,325,13
42.98,299,13
43.05,273,13
43.11,247,13
43.18,221,13
43.25,195,13
43.58,169,13
43.64,143,13

