
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.39,0.3897
1.39,0.9169
2.39,1.8202
3.39,0.4695
4.39,0.1134
5.39,0.749
6.39,1.9795
7.39,1.062
8.39,0.4269
9.39,0.0761
10.39,0.6564
11.39,0.9722
12.4,1.1964
13.39,1.5827
14.39,1.3639
15.39,0.3623
16.4,1.0034
17.39,0.4158
18.39,0.0263
19.39,1.183
20.39,0.3683
21.39,1.2554
22.39,1.2303
23.39,1.764
24.39,1.8187
25.39,0.4316
26.39,0.5469
27.39,0.2831
28.39,1.3085
29.39,0.2139
30.39,0.8461
31.39,0.327
32.39,0.0647
33.39,0.2221
34.4,1.7669
35.39,1.5842
36.39,0.5682
37.39,0.4143
38.39,0.3754
39.4,1.869
40.39,1.9012
41.39,1.9167
42.39,1.7022
43.4,1.9444
44.39,0.2546

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.2,0.7479
1.2,1.0065
2.2,0.1928
3.2,0.0675
4.2,1.6118
5.2,1.5837
6.2,1.4783
7.2,0.0406
8.2,0.4181
9.2,0.6935
10.2,0.292
11.2,1.4711
12.2,1.8672
13.2,0.5768
14.2,0.2196
15.2,0.6595
16.2,0.7596
17.2,0.7884
18.2,1.0859
19.2,1.7661
20.2,0.3991
21.2,0.5747
22.2,1.2226
23.2,1.2211
24.2,1.4246
25.2,0.9738
26.2,0.4619
27.2,1.2809
28.2,1.9584
29.2,0.0958
30.2,1.8346
31.2,1.8205
32.2,1.7754
33.2,1.0919
34.2,0.9569
35.2,0.3068
36.2,0.2257
37.2,1.526
38.2,0.2732
39.2,0.0595
40.2,1.3954
41.2,1.3264
42.2,0.5371
43.2,1.4975
44.2,0.3909

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.98,0.2518
1.98,0.2357
2.98,1.0013
3.98,0.0988
4.98,1.2647
5.98,0.3567
6.98,0.9311
7.98,1.4994
8.98,1.4909
9.98,0.8653
10.98,1.2972
11.98,0.2429
12.98,1.7727
13.98,1.1497
14.98,0.7482
15.98,0.7838
16.98,0.4389
17.98,0.404
18.98,0.7586
19.98,1.4773
20.98,0.9858
21.98,1.8143
22.98,0.9857
23.98,1.5033
24.98,0.5911
25.98,0.0457
26.98,0.4193
27.98,0.6206
28.98,0.2571
29.98,0.9361
30.98,1.3867
31.98,1.3974
32.98,0.876
33.98,1.4747
34.98,1.1032
35.98,1.0445
36.98,1.6655
37.98,1.1148
38.98,1.737
39.98,0.7306
40.98,0.0901
41.98,0.0025
42.98,1.2082
43.98,1.0507
44.98,1.9714

Level: target_lvl1
Time,Entropy
0.0,0.4945
1.0,0.8219
2.0,0.6815
3.0,1.0609
4.0,1.778
5.0,1.1727
6.0,1.9467
7.0,1.3338
8.0,0.3737
9.0,1.6099
10.0,1.8379
11.0,0.93
12.0,1.4779
13.0,0.3081
14.0,1.6322
15.0,0.9579
16.0,1.068
17.0,0.8412
18.0,1.2836
19.0,1.0612
20.0,1.0612
21.0,1.8331
22.0,1.6347
23.0,0.9918
24.0,1.8556
25.0,1.1678
26.0,0.2876
27.0,1.1769
28.0,0.9649
29.0,1.6084
30.0,0.4555
31.0,0.2253
32.0,1.2713
33.0,0.6046
34.0,1.0003
35.0,0.5874
36.0,1.3697
37.0,0.9521
38.0,0.3563
39.0,0.8409
40.0,1.0311
41.0,1.569
42.0,0.8452
43.0,0.4805
44.0,1.7033
45.0,1.2213
46.0,0.6159
47.0,0.7246
48.0,0.1837
49.0,1.8457
50.0,1.5611
51.0,1.0143
52.0,1.4534
53.0,1.4392
54.0,1.0415
55.0,1.4304
56.0,1.061
57.0,0.1836
58.0,0.8987
59.0,0.279
60.0,0.9471
61.0,0.667
62.0,0.4398
63.0,0.5392
64.0,0.8175
65.0,1.8011
66.0,0.4594
67.0,0.6775
68.0,1.2804
69.0,1.0748
70.0,1.8844
71.0,1.7137
72.0,1.1632
73.0,0.3168
74.0,1.6719
75.0,1.0686
76.0,0.3967
77.0,0.4275
78.0,1.6226
79.0,0.9157
80.0,0.2776
81.0,1.417
82.0,0.576
83.0,1.4447
84.0,0.1246
85.0,0.005
86.0,1.4639
87.0,0.2094
88.0,1.2709
89.0,1.1778
90.0,1.9111
91.0,1.1523
92.0,1.5896
93.0,0.405
94.0,0.2764
95.0,0.7482
96.0,0.3579
97.0,0.1498
98.0,0.7387
99.0,0.0103
100.0,0.1122
101.0,0.5614
102.0,1.1945
103.0,1.2983
104.0,1.9865
105.0,0.531
106.0,1.6962
107.0,0.9125
108.0,0.7711
109.0,0.9015
110.0,0.6868
111.0,0.5129
112.0,1.5713
113.0,1.5942
114.0,1.3365
115.0,1.4048
116.0,1.2483
117.0,0.7976
118.0,0.2764
119.0,1.5689
120.0,0.0776
