Time,Shape,Color,PressedKey,Result
2.06,triangle,orange,RIGHT,correct
3.68,circle,green,LEFT,correct
4.97,square,blue,RIGHT,wrong
6.7,triangle,red,RIGHT,correct
8.09,triangle,red,RIGHT,correct
9.75,square,orange,RIGHT,wrong
11.2,circle,grey,LEFT,correct
12.62,circle,green,LEFT,correct
14.41,square,grey,RIGHT,wrong
15.8,circle,orange,RIGHT,wrong
17.26,circle,green,LEFT,correct
20.31,triangle,yellow,RIGHT,correct
21.9,circle,pink,RIGHT,wrong
23.6,triangle,grey,RIGHT,correct
24.99,triangle,grey,RIGHT,correct
26.47,square,red,RIGHT,wrong
27.9,square,yellow,RIGHT,wrong
29.53,square,grey,RIGHT,wrong
30.95,triangle,blue,RIGHT,correct
34.16,circle,orange,LEFT,correct
37.04,triangle,blue,RIGHT,correct
38.7,triangle,yellow,RIGHT,correct
40.1,circle,blue,RIGHT,wrong
41.62,circle,grey,LEFT,correct
43.21,triangle,red,RIGHT,correct
