Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.83,1.4606
1.83,1.8193
2.83,0.1508
3.83,1.0587
4.83,1.5847
5.83,1.1276
6.83,1.5539
7.83,0.7168
8.83,1.2741
9.83,1.4565
10.83,0.8572
11.83,0.5277
12.83,1.7263
13.83,0.6427
14.83,1.4253
15.83,0.2619
16.83,0.6917
17.83,1.3624
18.83,0.5062
19.83,0.8142
20.83,0.158
21.83,1.478
22.83,1.9764
23.83,0.197
24.83,1.7075
25.83,0.3335
26.83,1.7789
27.83,0.6339
28.83,1.8896
29.83,1.0523
30.83,0.6427
31.83,1.1554
32.83,0.8077
33.83,0.0275
34.83,1.7676
35.83,0.8129
36.83,1.4675
37.83,0.7574
38.83,0.166
39.83,1.3825
40.83,0.8471
41.83,0.773
42.83,1.8644
43.83,0.5638
44.83,0.7187
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.63,1.5604
1.63,1.8853
2.63,0.0054
3.63,1.3208
4.63,0.4594
5.63,0.3942
6.63,1.864
7.63,0.7597
8.63,0.8825
9.63,1.6311
10.63,0.8716
11.63,0.1229
12.63,1.7739
13.63,1.9262
14.63,1.2024
15.63,1.892
16.63,0.6493
17.63,0.7705
18.63,1.4768
19.63,0.6811
20.63,1.5899
21.63,1.1023
22.63,0.4764
23.63,1.6997
24.63,0.8444
25.63,0.1313
26.63,0.5542
27.63,1.7551
28.63,0.7169
29.63,1.8243
30.63,1.0809
31.63,0.5554
32.63,1.1617
33.63,0.9702
34.63,1.0944
35.63,0.2659
36.63,0.1197
37.63,1.1455
38.63,1.4995
39.63,1.4066
40.63,0.1771
41.63,1.9712
42.63,0.0381
43.63,0.9198
44.63,1.4496
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.43,0.5934
1.43,0.0934
2.43,0.712
3.43,0.9794
4.43,0.3117
5.43,1.3205
6.43,0.1789
7.43,0.3903
8.43,1.9214
9.43,0.2328
10.43,1.5096
11.43,1.3738
12.43,0.8006
13.43,1.2608
14.43,1.3369
15.43,0.1201
16.43,1.2204
17.43,1.6008
18.43,1.5037
19.43,1.352
20.43,1.676
21.43,1.5141
22.43,0.2392
23.43,0.6316
24.43,1.8174
25.43,1.9791
26.43,1.0991
27.43,1.471
28.43,0.68
29.43,0.5096
30.43,1.4111
31.43,0.8634
32.43,1.8974
33.43,1.2062
34.43,0.1273
35.43,1.9445
36.43,0.7351
37.43,1.3048
38.43,1.1791
39.43,0.8105
40.43,1.7143
41.43,0.0865
42.43,1.7031
43.43,0.1061
44.43,1.2571
