
Level: target_lvl2
Time,Entropy
0.05,1.4248
1.05,1.0123
2.05,1.5003
3.05,0.7487
4.05,1.678
5.05,1.1161
6.05,1.6924
7.05,1.4963
8.05,1.4779
9.05,0.4622
10.05,0.3807
11.05,0.1276
12.05,0.597
13.05,0.8588
14.05,0.8437
15.05,0.9783
16.05,0.6014
17.05,0.2964
18.05,0.885
19.05,0.2676
20.05,0.6017
21.05,0.6012
22.05,1.2427
23.05,1.33
24.05,1.7272
25.05,0.1901
26.05,1.6283
27.05,0.4137
28.05,0.1091
29.05,1.3256
30.05,1.4466
31.05,1.5624
32.05,0.1178
33.05,1.5772
34.05,0.8081
35.05,1.4779
36.05,1.2938
37.05,0.1162
38.05,0.81
39.05,1.0295
40.05,1.8355
41.05,0.1781
42.05,1.1503
43.05,1.8828
44.05,0.5496
45.05,0.6353
46.05,0.8136
47.05,0.872
48.05,1.7554
49.05,1.1634
50.05,1.0635
51.05,0.3737
52.05,1.3222
53.05,0.09
54.05,1.044
55.05,1.4925
56.05,1.5511
57.05,1.6219
58.05,1.9182
59.05,1.1124
60.05,1.9485
61.05,1.1778
62.05,1.9753
63.05,1.3992
64.05,1.3052
65.05,0.4467
66.05,0.4084
67.05,1.0711
68.05,1.5231
69.05,1.3929
70.05,1.9064
71.05,1.7488
72.05,0.725
73.05,0.4338
74.05,1.0752
75.05,0.2048
76.05,0.4509
77.05,0.8789
78.05,1.1782
79.05,0.029
80.05,0.0902
81.05,1.6091
82.05,1.282
83.05,0.141
84.05,1.0731
85.05,0.9679
86.05,0.5917
87.05,0.2893
88.05,0.3575
89.05,0.1462
90.05,1.1381
91.05,0.7815
92.05,1.6582
93.05,0.9703
94.05,0.7708
95.05,1.9374
96.05,0.1451
97.05,1.5587
98.05,0.3982
99.05,0.0299
100.05,1.7948
101.05,1.2321
102.05,0.6769
103.05,0.3747
104.05,0.7228
105.05,1.9096
106.05,1.066
107.05,1.0231
108.05,1.0118
109.05,1.6687
110.05,0.5151
111.05,1.9519
112.05,1.4143
113.05,0.4369
114.05,0.1212
115.05,1.5874
116.05,1.511
117.05,1.7494
118.05,1.1456
119.05,1.739

Level: target_lvl3
Time,Entropy
0.15,1.4393
1.15,1.6549
2.15,1.5395
3.15,1.0869
4.15,0.829
5.15,0.2165
6.15,0.6546
7.15,0.4672
8.15,0.7445
9.15,0.6611
10.15,1.9218
11.15,1.2181
12.15,1.257
13.15,1.5261
14.15,0.6323
15.15,0.5575
16.15,1.6769
17.15,1.7746
18.15,0.2487
19.15,0.1633
20.15,0.9347
21.15,0.9119
22.15,0.2311
23.15,1.7832
24.15,0.8441
25.15,0.8852
26.15,1.5326
27.15,0.1201
28.15,0.1599
29.15,0.3095
30.15,1.3311
31.15,0.2085
32.15,0.5743
33.15,1.614
34.15,1.3243
35.15,1.4419
36.15,0.1847
37.15,1.1694
38.15,0.9373
39.15,0.5808
40.15,0.9982
41.15,1.6025
42.15,0.4081
43.15,1.7
44.15,0.6293
45.15,0.6562
46.15,0.8511
47.15,1.5634
48.15,1.9857
49.15,0.4055
50.15,0.726
51.15,0.3686
52.15,1.8464
53.15,0.5761
54.15,0.3348
55.15,0.4408
56.15,0.9412
57.15,1.9427
58.15,1.2357
59.15,1.9072
60.15,0.6419
61.15,0.4616
62.15,0.4004
63.15,1.1099
64.15,1.3708
65.15,0.4653
66.15,1.1356
67.15,0.6524
68.15,0.4787
69.15,0.093
70.15,1.1766
71.15,1.8773
72.15,0.5015
73.15,0.3442
74.15,1.8922
75.15,1.3228
76.15,0.8875
77.15,1.5386
78.15,1.7446
79.15,0.5047
80.15,1.5889
81.15,1.269
82.15,0.8992
83.15,1.87
84.15,1.6385
85.15,0.1979
86.15,0.0609
87.15,1.4472
88.15,1.6156
89.15,0.6395
90.15,0.5663
91.15,0.3164
92.15,0.2923
93.15,0.3433
94.15,0.9881
95.15,1.1834
96.15,0.62
97.15,0.3012
98.15,1.7109
99.15,1.9039
100.15,0.8036
101.15,0.7353
102.15,0.3099
103.15,0.0711
104.15,1.4429
105.15,1.8278
106.15,1.9183
107.15,0.8969
108.15,0.5152
109.15,0.1629
110.15,0.312
111.15,0.7103
112.15,1.8269
113.15,1.9286
114.15,0.2267
115.15,0.3558
116.15,0.7171
117.15,0.8558
118.15,1.4225
119.15,0.4639
