
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.37,0.6674
1.37,1.6736
2.37,0.937
3.37,1.1759
4.37,1.5821
5.37,1.7327
6.37,1.1444
7.37,1.1832
8.37,1.9744
9.37,1.0789
10.37,0.3107
11.37,0.7479
12.37,1.2163
13.37,0.9486
14.37,0.335
15.37,0.9404
16.37,0.4514
17.37,0.6062
18.37,1.9656
19.37,1.1347
20.37,0.8603
21.37,1.5728
22.37,1.9194
23.37,1.2449
24.37,1.8062
25.37,0.2452
26.37,1.7947
27.37,1.9962
28.37,0.0052
29.37,1.1047
30.37,0.6623
31.37,0.2091
32.37,1.499
33.37,0.2591
34.37,1.8307
35.37,0.7141
36.37,1.4133
37.37,0.4786
38.37,1.7161
39.37,0.5806
40.37,1.4874
41.37,1.7454
42.37,1.851
43.37,0.3547
44.37,0.8799

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.17,1.4999
1.17,0.4381
2.17,1.382
3.17,1.4749
4.17,1.3114
5.17,1.6625
6.17,0.2705
7.17,1.042
8.17,1.3629
9.17,1.8467
10.17,0.2147
11.17,0.1254
12.17,1.7637
13.17,0.4539
14.17,0.0938
15.17,1.6633
16.17,1.8754
17.17,1.9338
18.17,0.8512
19.17,0.7335
20.17,0.1012
21.17,0.669
22.17,0.8806
23.17,1.3519
24.17,1.277
25.17,0.8796
26.17,0.3905
27.17,1.9175
28.17,1.2714
29.17,0.2794
30.17,1.524
31.17,1.0592
32.17,0.8996
33.17,1.1953
34.17,0.243
35.17,0.94
36.17,0.0616
37.17,0.6629
38.17,0.4338
39.17,0.4185
40.17,1.7936
41.17,1.8733
42.17,0.181
43.17,0.1879
44.17,0.7058

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.97,1.973
1.97,0.9175
2.97,1.3742
3.97,1.5256
4.97,0.9431
5.97,1.5428
6.97,1.2264
7.97,1.1933
8.97,0.7124
9.97,0.972
10.97,0.6957
11.97,0.9809
12.97,1.0052
13.97,0.4738
14.97,0.889
15.97,0.1016
16.97,0.2618
17.97,0.4198
18.97,0.7399
19.97,0.3461
20.97,1.3325
21.97,0.4259
22.97,1.6188
23.97,1.9746
24.97,1.698
25.97,0.4611
26.97,0.9133
27.97,1.8794
28.97,1.9846
29.97,0.6674
30.97,1.608
31.97,0.2991
32.97,1.6423
33.97,0.6777
34.97,1.253
35.97,0.5821
36.97,0.0002
37.97,0.9531
38.97,0.2886
39.97,1.0022
40.97,0.9644
41.97,0.5971
42.97,0.3277
43.97,0.7105
44.97,1.4094

Level: target_lvl1
Time,Entropy
0.66,0.1075
1.66,0.3265
2.66,1.4247
3.66,1.9318
4.66,0.5144
5.66,0.1254
6.66,1.4134
7.66,0.2802
8.66,1.8612
9.66,1.3608
10.66,1.9036
11.66,1.4716
12.66,0.13
13.66,0.9004
14.66,0.1955
15.66,1.7305
16.66,1.0612
17.66,1.1089
18.66,0.4444
19.66,0.2532
20.66,0.5774
21.66,1.8997
22.66,1.9581
23.66,0.7976
24.66,1.1828
25.66,1.8374
26.66,0.8307
27.66,1.369
28.66,0.6722
29.66,1.2665
30.66,1.5783
31.66,0.7803
32.66,0.1906
33.66,1.183
34.66,1.2603
35.66,1.2939
36.66,1.0773
37.66,1.212
38.66,0.7469
39.66,0.0658
40.66,1.1202
41.66,1.5424
42.66,0.5649
43.66,1.6429
44.66,1.8466
45.66,0.1055
46.66,1.9623
47.66,1.9162
48.66,1.1523
49.66,1.8622
50.66,1.4627
51.66,0.4646
52.66,0.0835
53.66,0.3601
54.66,0.4324
55.66,1.8861
56.66,1.8756
57.66,1.7096
58.66,1.4618
59.66,1.3484
60.66,1.2299
61.66,0.25
62.66,0.2273
63.66,0.3484
64.66,1.0209
65.66,1.759
66.66,0.5477
67.66,1.8585
68.66,1.2862
69.66,0.0392
70.66,1.431
71.66,1.1954
72.66,0.0962
73.66,0.9768
74.66,1.1616
75.66,1.9525
76.66,0.2648
77.66,0.892
78.66,0.3358
79.66,1.2548
80.66,0.6833
81.66,1.5751
82.66,1.4853
83.66,0.176
84.66,0.9354
85.66,0.5061
86.66,0.5685
87.66,0.4964
88.66,1.1005
89.66,0.5263
90.66,0.5818
91.66,1.403
92.66,0.423
93.66,1.2286
94.66,0.803
95.66,0.4801
96.66,1.1876
97.66,0.1111
98.66,1.0852
99.66,0.4342
100.66,1.8705
101.66,0.609
102.66,1.3365
103.66,0.739
104.66,1.0054
105.66,0.8264
106.66,1.1421
107.66,0.0811
108.66,1.6233
109.66,1.406
110.66,0.4209
111.66,0.6818
112.66,1.8301
113.66,0.5147
114.66,1.1232
115.66,0.7019
116.66,0.837
117.66,0.1389
118.66,1.7062
119.66,1.7867
