Time,Shape,Color,PressedKey,Result
2.23,circle,yellow,LEFT,correct
3.65,circle,green,LEFT,correct
5.6,circle,orange,LEFT,correct
8.25,circle,red,LEFT,correct
9.81,circle,white,LEFT,correct
11.3,circle,pink,LEFT,correct
12.66,circle,grey,LEFT,correct
14.42,triangle,pink,RIGHT,correct
15.91,square,yellow,RIGHT,wrong
17.3,square,pink,RIGHT,wrong
18.79,triangle,grey,RIGHT,correct
23.43,triangle,grey,RIGHT,correct
24.99,square,pink,RIGHT,wrong
26.34,square,yellow,RIGHT,wrong
28.1,triangle,yellow,RIGHT,correct
29.49,triangle,green,RIGHT,correct
30.95,triangle,pink,RIGHT,correct
32.41,triangle,blue,RIGHT,correct
35.66,circle,grey,LEFT,correct
37.15,circle,grey,LEFT,correct
38.64,circle,red,RIGHT,wrong
40.27,circle,white,LEFT,correct
42.02,square,green,LEFT,wrong
43.65,triangle,blue,RIGHT,correct
44.98,square,yellow,RIGHT,wrong
