Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.1,1.9478
1.1,0.3812
2.1,1.0136
3.1,0.2646
4.1,1.0607
5.1,1.722
6.1,0.9717
7.1,0.8097
8.1,1.231
9.1,0.4421
10.1,1.0003
11.1,0.8719
12.1,0.4346
13.1,0.8075
14.1,1.8373
15.1,1.8079
16.1,1.7317
17.1,0.4965
18.1,0.2991
19.1,1.2066
20.1,0.6142
21.1,0.5012
22.1,1.343
23.1,0.2847
24.1,0.6032
25.1,0.1616
26.1,1.6688
27.1,1.8553
28.1,1.5253
29.1,0.3193
30.1,0.1989
31.1,0.1845
32.1,0.4234
33.1,1.9865
34.1,1.9796
35.1,0.8735
36.1,1.4133
37.1,0.394
38.1,1.6372
39.1,1.0821
40.1,1.436
41.1,1.5682
42.1,0.4897
43.1,0.3111
44.1,0.779
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.89,1.6879
1.89,1.7095
2.89,0.577
3.89,1.9573
4.89,0.1431
5.89,1.9251
6.89,1.3241
7.89,1.3675
8.89,0.9321
9.89,1.7444
10.89,1.2806
11.89,0.6543
12.89,0.9776
13.89,1.2752
14.89,1.1369
15.89,0.4959
16.89,1.1438
17.89,1.6782
18.89,0.2875
19.89,1.0164
20.89,0.994
21.89,0.5525
22.89,0.399
23.89,1.3941
24.89,0.0529
25.89,0.1042
26.89,1.5309
27.89,1.3422
28.89,0.6959
29.89,0.9397
30.89,1.0949
31.89,0.8348
32.89,1.8858
33.89,0.0868
34.89,1.0858
35.89,0.1579
36.89,0.4884
37.89,0.1656
38.89,0.3605
39.89,1.3631
40.89,1.3409
41.89,1.1012
42.89,0.65
43.89,0.4071
44.89,1.2951
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.69,1.9743
1.69,0.4737
2.69,0.7406
3.69,1.2647
4.69,0.0802
5.69,1.7079
6.69,1.4424
7.69,0.9722
8.69,1.4454
9.69,0.8047
10.69,1.5443
11.69,1.5768
12.69,1.1255
13.69,1.7504
14.69,0.1505
15.69,0.4156
16.69,1.2914
17.69,0.8293
18.69,0.7116
19.69,1.5944
20.69,1.8554
21.69,0.674
22.69,1.7466
23.69,1.6957
24.69,0.1169
25.69,0.7727
26.69,1.7961
27.69,1.9989
28.69,0.6605
29.69,1.6233
30.69,1.4846
31.69,0.978
32.69,0.1456
33.69,0.5712
34.69,1.4857
35.69,0.6227
36.69,0.0379
37.69,0.4829
38.69,0.2577
39.69,0.1143
40.69,1.5107
41.69,0.6476
42.69,1.8773
43.69,0.4118
44.69,1.4015
