
Level: target_lvl3
Time,Entropy
0.98,0.1231
1.98,0.732
2.98,0.6344
3.98,0.6284
4.98,1.1609
5.98,0.881
6.98,1.8069
7.98,0.2413
8.98,1.8875
9.98,1.0443
10.98,1.0873
11.98,1.2451
12.98,0.1376
13.98,0.1084
14.98,0.645
15.98,1.513
16.98,1.4256
17.98,1.0593
18.98,0.433
19.98,1.3592
20.98,1.7794
21.98,1.5454
22.98,0.3582
23.98,1.0922
24.98,0.7935
25.98,0.4267
26.98,0.5898
27.98,1.7287
28.98,0.1048
29.98,0.5794
30.98,0.7577
31.98,0.7503
32.98,1.3863
33.98,1.5366
34.98,1.0796
35.98,1.7807
36.98,1.0037
37.98,0.8305
38.98,0.8511
39.98,1.4974
40.98,1.4412
41.98,1.7043
42.98,0.5109
43.98,0.9144
44.98,1.6538
45.98,1.8254
46.98,0.1583
47.98,0.9964
48.98,0.8887
49.98,1.1446
50.98,1.6478
51.98,1.858
52.98,1.2815
53.98,0.6317
54.98,0.7044
55.98,0.9517
56.98,0.7573
57.98,0.0688
58.98,0.2051
59.98,1.2084
60.98,0.29
61.98,1.6698
62.98,1.0366
63.98,1.8773
64.98,0.5401
65.98,0.6569
66.98,0.5252
67.98,1.3838
68.98,1.0853
69.98,0.1358
70.98,0.004
71.98,1.0391
72.98,1.9532
73.98,0.2581
74.98,1.2074
75.98,0.3069
76.98,0.4537
77.98,1.5661
78.98,1.6365
79.98,1.9358
80.98,1.1614
81.98,1.0566
82.98,0.3645
83.98,0.0579
84.98,0.1939
85.98,0.9216
86.98,0.4888
87.98,1.7148
88.98,1.0475
89.98,1.9476
90.98,0.4842
91.98,0.9241
92.98,1.2081
93.98,1.1882
94.98,1.3954
95.98,1.683
96.98,1.6047
97.98,1.8483
98.98,0.814
99.98,0.1404
100.98,1.5985
101.98,1.114
102.98,1.1002
103.98,0.1995
104.98,0.5956
105.98,0.8415
106.98,1.8558
107.98,0.4597
108.98,1.022
109.98,1.8811
110.98,1.8733
111.98,1.8404
112.98,0.3261
113.98,0.1838
114.98,0.5695
115.98,0.7234
116.98,0.7521
117.98,1.4529
118.98,0.4955
119.98,0.6122
