=== Segment 1 Start: 19:09:29 | End: 19:10:20 ===
Time (s),x,y
1.2,13,39
1.27,13,65
1.67,39,65
1.73,65,65
2.13,65,39
2.19,65,13
2.26,91,13
2.72,117,13
2.79,143,13
3.31,169,13
3.84,169,39
3.91,169,65
4.3,143,65
4.37,117,91
5.23,91,117
5.3,65,143
5.36,39,169
5.89,13,169
6.56,13,195
6.62,13,221
7.09,39,221
7.15,65,221
7.94,91,221
8.01,117,221
8.47,117,195
8.53,117,169
8.93,143,169
9.0,169,169
9.4,169,143
9.47,169,117
11.18,195,117
11.25,221,117
12.64,221,143
12.7,221,169
13.16,247,169
13.23,273,169
13.63,273,143
13.69,273,117
13.76,273,91
16.01,273,65
16.41,247,65
16.47,221,65
16.87,221,39
16.93,221,13
17.2,247,13
17.27,273,13
17.33,299,13
17.4,325,13
17.86,325,39
17.93,325,65
18.0,325,91
18.06,325,117
19.19,351,117
19.26,377,117
19.58,377,143
19.65,377,169
19.98,403,169
20.05,429,169
20.51,429,143
20.57,429,117
20.64,429,91
21.57,429,65
21.9,403,65
21.96,377,65
22.36,377,39
22.43,377,13
22.82,403,13
22.89,429,13
22.96,455,13
23.02,481,13
24.34,507,13
24.41,533,13
24.48,559,13
24.54,585,13
25.0,585,39
25.07,585,65
25.14,585,91
25.2,585,117
25.67,559,117
25.73,533,117
26.33,533,91
26.72,533,65
27.12,507,65
27.19,481,65
27.65,481,91
27.72,481,117
27.78,481,143
27.85,481,169
28.24,507,169
28.31,533,169
28.77,533,195
28.84,533,221
29.3,507,221
29.37,481,247
29.77,481,273
30.16,507,273
30.23,533,273
30.69,533,299
30.76,533,325
31.16,507,325
31.22,481,325
31.62,481,351
31.69,481,377
32.08,507,377
32.15,533,377
32.21,559,377
32.28,585,377
32.34,611,377
32.41,637,377
32.48,663,377
32.54,689,377
32.61,715,377
32.67,741,377
33.47,741,403
33.53,741,429
33.6,741,455
33.67,741,481
34.46,715,481
34.59,689,481
35.06,689,455
35.12,689,429
35.52,663,429
35.59,637,455
35.98,637,481
36.51,611,481
36.58,585,481
36.64,559,481
36.71,533,481
37.17,533,455
37.57,533,429
37.97,507,429
38.03,481,429
38.36,481,455
38.43,481,481
38.83,455,481
38.89,429,481
40.02,429,455
40.08,429,429
40.15,429,403
40.22,429,377
40.55,403,377
40.61,377,377
41.07,377,351
41.14,377,325
41.6,403,325
41.67,429,325
42.0,429,299
42.07,429,273
42.4,403,273
42.47,377,273
42.79,377,247
43.19,377,221
43.59,351,221
43.66,325,221
44.05,325,247
44.12,325,273
44.18,325,299
44.25,325,325
44.84,299,325
44.91,273,325
45.31,273,299
45.37,273,273
45.7,247,273
45.77,221,273
46.23,221,299
46.3,221,325
46.63,195,325
46.7,169,325
47.16,169,299
47.23,169,273
47.63,143,273
47.69,117,273
48.42,117,299
48.48,117,325
48.81,91,325
48.88,65,325
49.27,65,299
49.34,65,273
49.67,39,273
49.74,13,299
50.13,13,325
50.2,13,351
50.27,13,377
50.33,13,403

=== Segment 2 Start: 19:10:20 | End: 19:10:47 ===
Time (s),x,y
0.07,13,429
1.85,13,403
1.92,13,377
2.31,13,351
2.38,13,325
2.44,13,299
2.51,13,273
2.97,39,273
3.04,65,273
3.37,65,299
3.44,65,325
3.96,91,325
4.43,117,325
4.96,117,299
5.95,143,273
6.01,169,273
6.54,169,299
6.61,169,325
6.87,195,325
6.94,221,325
7.4,221,299
7.47,221,273
7.61,247,273
7.74,273,273
8.26,273,299
8.33,273,325
8.66,299,325
8.73,325,325
10.78,325,299
10.84,325,273
11.24,325,247
11.31,325,221
11.37,325,195
12.63,325,221
12.69,325,247
12.76,325,273
14.08,325,247
14.15,325,221
14.21,351,221
14.28,377,221
14.34,403,221
14.41,429,221
15.27,403,221
15.34,377,221
15.8,377,247
16.33,377,273
16.72,403,273
16.79,429,273
17.25,429,299
17.32,429,325
18.11,403,325
18.18,377,325
18.64,377,351
18.71,377,377
19.04,403,377
19.1,429,377
19.5,429,403
19.57,429,429
19.63,429,455
19.7,429,481
20.16,455,481
20.23,481,481
20.69,481,455
20.76,481,429
21.09,507,429
21.16,533,429
21.55,533,455
21.62,533,481
21.95,559,481
22.01,585,481
22.08,611,481
22.15,637,481
22.54,637,455
22.61,637,429
22.81,663,429
22.87,689,429
23.34,689,455
23.41,689,481
23.8,715,481
23.87,741,481
24.33,741,455
24.4,741,429
24.47,741,403
24.53,741,377
24.6,741,351
24.66,741,325
24.73,741,299
24.79,741,273
24.86,741,247
25.32,741,221
25.65,715,221
25.72,689,221
26.05,689,195
26.11,689,169
26.38,663,169
26.45,637,169
26.84,637,195
26.91,637,221
27.24,611,221
27.31,585,247

