Time,Entropy
0.14,0.7262
1.14,0.4718
2.14,1.1822
3.14,1.0808
4.14,0.8493
5.14,0.342
6.14,1.0106
7.14,1.2781
8.14,0.699
9.14,0.1923
10.14,1.7186
11.14,1.4209
12.14,1.1756
13.14,0.3804
14.14,0.4578
15.14,0.5988
16.14,0.5049
17.14,0.1211
18.14,1.751
19.14,1.2283
20.14,0.6657
21.14,0.432
22.14,1.7069
23.14,0.0296
24.14,0.2748
25.14,0.0752
26.14,0.1428
27.14,1.1295
28.14,1.2211
29.14,1.1075
30.14,0.981
31.14,1.9981
32.14,1.0271
33.14,1.877
34.14,0.7807
35.14,1.4448
36.14,1.9899
37.14,0.4601
38.14,1.3175
39.14,0.623
40.14,1.8532
41.14,1.5111
42.14,0.6993
43.14,0.9318
44.14,1.7209
45.14,0.8385
46.14,1.166
47.14,1.0844
48.14,1.9225
49.14,1.9353
50.14,0.6705
51.14,1.2649
52.14,1.5766
53.14,0.1747
54.14,0.6903
55.14,0.9444
56.14,1.3933
57.14,0.4164
58.14,0.025
59.14,1.3359
