
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.68,0.1656
1.68,1.8473
2.68,0.7196
3.68,1.9157
4.68,0.7724
5.68,0.8171
6.68,1.8875
7.68,0.067
8.68,1.9516
9.68,1.9365
10.68,1.4005
11.68,0.1434
12.68,1.9163
13.68,1.2466
14.68,0.8291
15.68,1.5816
16.68,1.8172
17.68,1.0429
18.68,1.8738
19.68,1.5469
20.68,1.0468
21.68,0.3382
22.68,0.0267
23.68,1.4553
24.68,1.2158
25.68,1.238
26.68,0.8242
27.68,1.0593
28.68,1.7064
29.68,0.4439
30.68,0.101
31.68,0.2162
32.68,1.3821
33.68,0.5702
34.68,0.5908
35.68,1.1276
36.68,1.1834
37.68,1.0575
38.68,1.0334
39.68,0.5389
40.68,0.6932
41.68,0.3988
42.68,0.1388
43.68,1.1514
44.68,0.4563

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.47,1.1332
1.47,0.4061
2.47,0.7606
3.47,1.9044
4.47,1.6063
5.47,1.9262
6.47,0.9653
7.47,1.9754
8.47,1.6195
9.47,1.1906
10.47,1.6533
11.47,1.9714
12.47,1.4759
13.47,0.9315
14.47,0.4938
15.47,1.9983
16.47,0.4967
17.47,1.0573
18.47,0.8342
19.47,0.3344
20.47,0.5219
21.47,1.1461
22.47,1.428
23.47,0.2289
24.47,1.6433
25.47,1.6622
26.47,0.9952
27.47,0.6955
28.47,0.5842
29.47,1.3095
30.47,0.4818
31.47,0.7378
32.47,1.1229
33.47,0.7139
34.47,1.7624
35.47,1.82
36.47,0.8883
37.47,0.7429
38.47,0.5365
39.47,1.9278
40.47,0.4529
41.47,0.9145
42.47,1.9987
43.47,1.8588
44.47,0.5884

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.26,1.5737
1.26,0.7796
2.26,0.8919
3.26,1.1133
4.26,1.802
5.26,0.3409
6.26,1.6347
7.26,0.3807
8.26,1.6906
9.26,0.5951
10.26,0.9532
11.26,1.4888
12.26,1.0238
13.26,0.7254
14.26,0.649
15.26,0.3202
16.26,1.4369
17.26,1.591
18.26,0.8542
19.26,1.7194
20.26,1.8393
21.26,0.1688
22.26,1.6705
23.26,1.7091
24.26,1.8219
25.26,0.7732
26.26,0.8091
27.26,0.9506
28.26,1.2268
29.26,0.3819
30.26,0.6085
31.26,0.4504
32.26,0.7301
33.26,1.6777
34.26,0.5956
35.26,1.2956
36.26,0.2862
37.26,1.7133
38.26,0.6121
39.26,1.4998
40.26,1.2834
41.26,0.9924
42.26,1.5636
43.26,1.2584
44.26,1.0042

Level: target_lvl1
Time,Entropy
0.47,1.8191
1.47,1.1785
2.47,1.4371
3.47,0.8435
4.47,1.4771
5.47,0.3384
6.47,1.4974
7.47,1.2393
8.47,1.9931
9.47,0.7133
10.47,1.7861
11.47,0.4663
12.47,1.0876
13.47,0.2139
14.47,0.3193
15.47,1.799
16.47,0.0961
17.47,1.4005
18.47,0.5527
19.47,0.9319
20.47,1.0453
21.47,0.5631
22.47,0.3577
23.47,0.3438
24.47,1.0728
25.47,1.4563
26.47,0.2146
27.47,1.7748
28.47,0.3395
29.47,0.7739
30.47,0.8159
31.47,1.5606
32.47,1.6462
33.47,1.0622
34.47,0.8377
35.47,0.2247
36.47,1.4754
37.47,1.9393
38.47,1.6737
39.47,0.6665
40.47,0.2093
41.47,0.2573
42.47,0.2624
43.47,1.8453
44.47,1.1111
45.47,0.6488
46.47,1.9285
47.47,0.5884
48.47,0.3146
49.47,1.9168
50.47,1.0395
51.47,0.9407
52.47,1.3502
53.47,0.7166
54.47,1.3587
55.47,1.6539
56.47,1.4535
57.47,1.2212
58.47,0.1462
59.47,0.5244
60.47,1.4334
61.47,1.1099
62.47,1.0807
63.47,0.8318
64.47,0.2733
65.47,1.3599
66.47,0.2761
67.47,0.9614
68.47,1.1205
69.47,1.6481
70.47,0.7192
71.47,0.3896
72.47,0.1731
73.47,1.3508
74.47,0.1521
75.47,0.1613
76.47,0.2885
77.47,0.0719
78.47,0.8514
79.47,1.0703
80.47,0.313
81.47,1.4809
82.47,0.1839
83.47,1.8407
84.47,0.2032
85.47,1.3793
86.47,0.1151
87.47,0.9074
88.47,0.1892
89.47,0.7679
90.47,0.1406
91.47,0.655
92.47,1.7175
93.47,0.5527
94.47,0.0878
95.47,1.5653
96.47,0.7875
97.47,0.5018
98.47,0.5446
99.47,1.8727
100.47,1.4405
101.47,0.5298
102.47,1.1076
103.47,1.5816
104.47,1.8198
105.47,0.8532
106.47,0.512
107.47,1.2066
108.47,1.1984
109.47,0.3278
110.47,1.7195
111.47,1.3061
112.47,0.0316
113.47,0.4081
114.47,0.1896
115.47,0.9907
116.47,1.0711
117.47,0.0506
118.47,1.1351
119.47,1.6543
