Time,Shape,Color,PressedKey,Result
4.84,triangle,red,RIGHT,correct
6.66,square,yellow,RIGHT,wrong
8.12,square,grey,RIGHT,wrong
9.61,square,blue,RIGHT,wrong
12.6,triangle,orange,RIGHT,correct
14.12,triangle,green,RIGHT,correct
17.33,circle,blue,LEFT,correct
19.08,square,red,RIGHT,wrong
20.58,circle,white,LEFT,correct
21.77,circle,red,LEFT,correct
23.29,circle,yellow,LEFT,correct
24.78,circle,white,LEFT,correct
27.97,square,yellow,RIGHT,wrong
29.33,square,orange,RIGHT,wrong
32.38,square,grey,RIGHT,wrong
33.9,circle,green,RIGHT,wrong
35.59,triangle,green,RIGHT,correct
38.63,triangle,pink,RIGHT,correct
41.71,circle,white,LEFT,correct
43.1,circle,white,LEFT,correct
44.82,square,white,LEFT,wrong
