Time,Entropy
0.59,1.0365
1.59,1.367
2.59,0.4044
3.59,0.3317
4.59,1.4938
5.59,1.8716
6.59,0.6767
7.59,1.0016
8.59,1.6577
9.59,0.131
10.59,0.4517
11.59,1.475
12.59,1.4973
13.59,1.7501
14.59,1.7477
15.59,0.9994
16.59,1.5484
17.59,0.5394
18.59,1.9648
19.59,1.2764
20.59,1.7738
21.59,0.4036
22.59,0.4115
23.59,1.3002
24.59,1.5141
25.59,0.6349
26.59,0.4758
27.59,0.5707
28.59,1.1031
29.59,1.5247
30.59,0.6511
31.59,1.029
32.59,1.6402
33.59,0.2936
34.59,1.2503
35.59,0.7136
36.59,1.1612
37.59,0.5865
38.59,1.9676
39.59,1.3121
40.59,0.1893
41.59,0.0267
42.59,0.1458
43.59,0.4308
44.59,0.2243
45.59,0.9465
46.59,1.8286
47.59,0.5166
48.59,1.7986
49.59,0.571
50.59,0.5452
51.59,1.5493
52.59,1.9674
53.59,1.5513
54.59,1.5155
55.59,1.0805
56.59,1.6134
57.59,0.9421
58.59,0.473
59.59,0.7216
