Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.06,1.4073
1.06,0.7489
2.06,0.7597
3.06,1.5039
4.06,0.3998
5.06,0.7758
6.06,0.6967
7.06,0.5697
8.06,0.6202
9.06,1.1284
10.06,0.488
11.06,1.2779
12.06,0.4335
13.06,0.0625
14.06,1.3423
15.06,1.8682
16.07,0.7518
17.06,0.2363
18.06,0.9079
19.06,1.6291
20.06,1.7937
21.06,1.4176
22.06,1.2262
23.06,1.0306
24.06,1.5185
25.06,1.4664
26.06,0.3938
27.06,0.2983
28.06,0.4867
29.06,1.8449
30.06,0.5546
31.06,1.1671
32.06,1.8097
33.06,1.5674
34.06,1.3609
35.06,1.3308
36.06,0.1005
37.06,1.2438
38.06,0.7918
39.06,1.9593
40.06,1.6004
41.06,1.0799
42.06,0.4677
43.06,0.2641
44.06,1.6087
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.88,1.1366
1.88,0.4833
2.88,1.6315
3.88,1.008
4.88,0.5114
5.88,0.3624
6.88,1.4682
7.88,1.7953
8.88,0.033
9.88,0.269
10.88,1.3569
11.88,1.4482
12.88,0.7102
13.88,0.6538
14.88,1.8494
15.88,0.3479
16.88,1.6843
17.88,0.2415
18.88,1.1316
19.88,0.0495
20.88,0.1112
21.88,0.3167
22.88,1.0995
23.88,0.0184
24.88,0.0267
25.88,0.0257
26.88,1.1936
27.88,1.1416
28.88,0.0432
29.88,1.0483
30.88,1.2565
31.88,0.8109
32.88,0.7966
33.88,0.9098
34.88,1.0942
35.88,1.626
36.88,0.7503
37.88,0.8298
38.88,0.0184
39.88,0.2135
40.88,0.5144
41.88,1.3378
42.88,1.7322
43.88,1.8207
44.88,0.5517
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.69,1.6234
1.69,0.5433
2.69,1.5996
3.69,1.793
4.69,1.2731
5.69,1.1248
6.69,0.8283
7.69,0.2043
8.69,0.4283
9.69,0.8663
10.69,1.0795
11.69,0.144
12.69,0.3183
13.69,0.2097
14.69,0.5566
15.69,0.7965
16.69,0.0389
17.69,0.2137
18.69,0.4511
19.69,0.3437
20.69,0.1539
21.69,0.069
22.69,1.7861
23.69,1.5026
24.69,1.4331
25.69,0.3582
26.69,0.3414
27.69,0.3297
28.69,0.2421
29.69,0.6355
30.69,1.2144
31.69,1.4995
32.69,1.9083
33.69,1.5891
34.69,1.6735
35.69,0.6771
36.69,1.9368
37.69,1.8159
38.69,1.5525
39.69,1.9018
40.69,0.4681
41.69,0.2321
42.69,1.7505
43.69,0.1546
44.69,0.4204
