Time,Entropy
0.71,0.6177
1.71,1.2667
2.71,1.0776
3.71,0.0564
4.71,1.669
5.71,0.2662
6.71,0.4795
7.71,1.7951
8.71,0.5879
9.71,0.5092
10.71,1.0624
11.71,1.5444
12.71,1.9459
13.71,1.5298
14.71,1.7402
15.71,0.5399
16.71,1.1235
17.71,0.51
18.71,1.4391
19.71,0.4629
20.71,0.1075
21.71,0.2401
22.71,0.4475
23.71,0.2665
24.71,0.5438
25.71,1.8531
26.71,0.0499
27.71,1.2593
28.71,0.5724
29.71,0.59
30.71,0.3038
31.71,0.0667
32.71,0.2801
33.71,1.9341
34.71,1.6924
35.71,0.7845
36.71,0.7746
37.71,0.9702
38.71,0.1452
39.71,0.1119
40.71,1.8756
41.71,0.0369
42.71,0.7104
43.71,0.3211
44.71,0.1212
45.71,0.683
46.71,0.0828
47.71,1.5947
48.71,1.2319
49.71,0.037
50.71,0.8008
51.71,0.6953
52.71,1.105
53.71,0.0044
54.71,1.9349
55.71,1.7955
56.72,1.4093
57.71,0.9598
58.71,1.7154
59.71,1.0562
60.72,1.0811
61.71,1.5203
62.71,0.3664
63.71,0.0288
64.71,1.4935
65.72,1.6902
66.71,0.3548
67.71,1.0686
68.71,0.5923
69.71,1.6095
70.71,0.8234
71.71,1.5073
72.71,0.4061
73.71,1.5469
74.71,1.2201
75.71,1.3804
76.71,1.0473
77.71,0.0302
78.71,0.7454
79.71,1.3748
80.71,0.2644
81.71,0.6499
82.71,0.5301
83.71,1.118
84.71,0.6259
85.71,1.045
86.71,0.5448
87.71,1.7429
88.71,0.5572
89.71,0.5329
90.71,0.3781
91.71,1.5654
92.72,1.6528
93.71,1.5112
94.71,1.0006
95.71,0.8099
96.71,0.9231
97.71,0.8862
98.71,0.641
99.71,1.5587
100.71,1.6084
101.71,1.4553
102.72,1.3141
103.71,1.532
104.71,1.5068
105.71,0.7815
106.71,0.7354
107.71,1.937
108.71,0.4566
109.71,1.0626
110.71,1.6522
111.72,0.1504
112.71,0.9539
113.71,1.8518
114.71,0.8056
115.71,0.8979
116.71,1.9472
117.71,1.3793
118.71,0.0417
119.71,1.0027
120.71,1.8069
121.71,0.7417
122.71,0.3044
123.71,0.8326
124.71,1.9299
125.71,0.3659
126.71,0.2601
127.71,0.0531
128.71,0.5663
129.71,1.4181
130.71,0.4846
131.71,1.5267
132.71,0.9329
133.71,0.3866
134.71,1.3225
135.71,0.9626
136.71,1.7819
137.71,0.7426
138.71,1.0024
139.71,1.0142
140.71,0.2787
141.71,0.8349
142.71,1.7065
143.71,1.386
144.71,1.9756
145.71,0.8712
146.72,0.4516
147.71,0.1086
148.71,0.223
149.71,0.3477
