
Level: target_lvl2
Time,Entropy
0.45,1.2352
1.45,0.2218
2.45,1.0024
3.45,1.2998
4.45,0.2245
5.45,1.305
6.45,1.53
7.45,0.278
8.45,1.1814
9.45,0.3854
10.45,0.053
11.45,1.0524
12.45,0.8454
13.45,1.2921
14.45,1.1128
15.45,0.9853
16.45,0.2286
17.45,0.4016
18.45,1.0875
19.45,0.164
20.45,1.3737
21.45,1.2115
22.45,0.2167
23.45,0.0803
24.45,0.1631
25.45,0.3178
26.45,0.9502
27.45,0.3454
28.45,1.963
29.45,0.1395
30.45,0.8094
31.45,0.6307
32.45,0.8795
33.45,1.3806
34.45,1.133
35.45,1.7874
36.45,0.2831
37.45,0.4397
38.45,0.5362
39.45,0.0073
40.45,0.6237
41.45,1.0787
42.45,1.8494
43.45,1.0286
44.45,0.413
45.45,1.7255
46.45,1.7156
47.45,0.9067
48.45,0.8014
49.45,1.6746
50.45,1.9362
51.45,0.7817
52.45,0.2368
53.45,0.4289
54.45,1.9145
55.45,0.157
56.45,1.3533
57.45,0.7
58.45,1.6753
59.45,0.8999
60.45,1.9226
61.45,1.0791
62.45,0.3451
63.45,1.1747
64.45,0.9475
65.45,1.882
66.45,1.2429
67.45,0.3883
68.45,0.2785
69.45,1.0574
70.45,1.2857
71.45,1.3929
72.45,0.1291
73.45,0.1733
74.45,0.6218
75.45,0.5925
76.45,0.033
77.45,0.8053
78.45,0.6218
79.45,1.6475
80.45,1.6174
81.45,1.7211
82.45,1.3841
83.45,0.1474
84.45,1.118
85.45,0.1403
86.45,0.8313
87.45,1.55
88.45,1.0702
89.45,1.5466
90.45,1.9923
91.45,1.9363
92.45,1.6343
93.45,1.9816
94.45,0.4479
95.45,0.9284
96.45,0.5214
97.45,0.0248
98.45,1.778
99.45,1.7759
100.45,0.951
101.45,1.3644
102.45,0.4731
103.45,1.4053
104.45,1.6603
105.45,1.8351
106.45,0.4711
107.45,0.7772
108.45,1.476
109.45,1.6211
110.45,0.7209
111.45,1.0818
112.45,1.1789
113.45,1.1048
114.45,1.7369
115.45,0.2145
116.45,0.5161
117.45,0.3102
118.45,0.6411
119.45,1.7606
