=== Segment 1 Start: 10:38:08 | End: 10:38:12 ===
Time (s),x,y
0.93,13,39
1.0,13,65
1.2,39,65
1.26,65,65
1.53,65,39
1.6,65,13
1.79,91,13
1.86,117,13
1.93,143,13
1.99,169,13
2.26,169,39
2.32,169,65
2.39,169,91
2.45,169,117
2.59,195,117
2.65,221,117
2.92,221,143
2.98,221,169
3.38,195,169
3.45,169,169
3.78,169,195
3.84,169,221
3.98,143,221
4.04,117,221
4.18,117,195

=== Segment 2 Start: 10:38:12 | End: 10:38:25 ===
Time (s),x,y
0.07,117,169
0.92,117,195
0.99,117,221
3.05,117,195
3.11,117,169
3.51,91,169
3.58,65,169
3.84,65,143
3.9,65,117
4.1,39,117
4.17,13,117
4.57,13,143
5.36,13,169
5.43,13,195
5.5,13,221
5.83,39,221
5.89,65,221
6.22,65,247
6.29,65,273
6.62,39,273
6.69,13,273
7.48,13,299
7.88,13,325
7.94,13,351
8.01,13,377
8.07,13,403
8.14,13,429
8.4,39,429
8.47,65,429
8.8,65,455
8.87,65,481
9.07,91,481
9.13,117,481
9.33,117,455
9.4,117,429
9.46,117,403
9.53,117,377
9.59,117,351
9.66,117,325
9.86,143,325
9.92,169,325
9.99,195,325
10.06,221,325
10.25,221,299
10.32,221,273
10.39,221,247
10.45,221,221
10.59,247,221
10.65,273,221
10.72,299,221
10.78,325,221
11.05,325,195
11.11,325,169
11.18,325,143
11.25,325,117
11.31,325,91
11.38,325,65
11.44,325,39
11.51,351,13
11.64,377,13
11.71,403,13
11.78,429,13
11.84,455,13
11.91,481,13
11.97,507,13
12.04,533,13
12.1,559,13
12.17,585,13
12.31,585,39
12.37,585,65

=== Segment 3 Start: 10:38:25 | End: 10:38:34 ===
Time (s),x,y
0.66,585,39
0.73,585,13
1.58,585,39
1.65,585,65
1.91,559,65
1.98,533,65
2.05,507,65
2.11,481,65
2.51,481,91
2.58,481,117
2.77,455,117
2.84,429,91
2.91,403,65
3.17,377,65
3.5,377,91
3.57,377,117
4.7,377,143
4.76,377,169
5.03,403,169
5.09,429,169
5.43,429,195
5.49,429,221
5.56,429,247
5.62,429,273
5.95,403,273
6.02,377,273
6.08,351,273
6.15,325,273
6.22,299,273
6.28,273,273
6.68,299,273
6.75,325,273
6.81,351,273
6.88,377,273
6.95,403,273
7.01,429,273
7.14,403,273
7.21,377,273
7.27,351,273
7.34,325,273
7.41,299,273
7.47,273,273
7.8,273,299
7.87,273,325
8.14,299,325
8.2,325,325
8.27,351,325
8.33,377,325
8.6,377,351
8.66,377,377
8.93,403,377
9.0,429,377
9.26,429,403
9.33,429,429
9.39,429,455
9.46,429,481
9.66,455,481
9.72,481,481
