
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.14,0.5242
1.14,1.3861
2.14,1.903
3.14,1.8746
4.14,0.4366
5.14,1.0692
6.14,1.5153
7.14,0.2644
8.14,1.0978
9.14,1.7414
10.14,1.4848
11.14,1.4426
12.14,1.3141
13.14,0.7379
14.14,1.2565
15.14,0.6699
16.14,0.7862
17.14,0.9603
18.14,0.2436
19.14,0.1344
20.14,0.9959
21.14,1.1555
22.14,0.3622
23.14,0.8144
24.14,1.3619
25.14,1.826
26.14,0.3913
27.14,1.6148
28.14,0.2398
29.14,0.2623
30.14,0.0422
31.14,1.4013
32.14,0.2296
33.14,0.6002
34.14,1.9713
35.14,0.9236
36.14,0.552
37.14,1.2215
38.14,1.3554
39.14,0.7408
40.14,1.3034
41.14,0.5032
42.14,0.5715
43.14,0.6619
44.14,1.7289

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.94,1.4698
1.94,0.7567
2.94,1.8308
3.94,1.6256
4.94,1.9481
5.94,1.3837
6.94,1.905
7.94,0.4945
8.94,0.6358
9.94,1.4036
10.94,1.0447
11.94,1.1719
12.94,1.3409
13.94,1.2379
14.94,1.1912
15.94,1.4763
16.94,0.5183
17.94,0.6073
18.94,1.6126
19.94,0.5655
20.94,1.3493
21.94,1.5705
22.94,1.7784
23.94,1.0447
24.94,1.0874
25.94,0.7537
26.94,1.4743
27.94,1.3846
28.94,0.9471
29.94,0.8327
30.94,0.8367
31.94,1.8281
32.94,1.879
33.94,0.1592
34.94,0.6107
35.94,1.3176
36.94,1.0759
37.94,1.7825
38.94,1.0629
39.94,0.3763
40.94,0.4495
41.94,1.4656
42.94,1.0644
43.94,1.4936
44.94,1.6964

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.72,0.749
1.72,1.1024
2.72,1.6657
3.72,1.6508
4.72,0.8076
5.72,1.7659
6.72,0.5273
7.72,1.7988
8.72,1.6455
9.72,0.6459
10.72,1.013
11.72,1.429
12.72,1.8506
13.72,1.3634
14.72,0.4574
15.72,1.3204
16.72,0.1437
17.72,1.7432
18.72,0.6473
19.72,0.8555
20.72,0.1147
21.72,0.5481
22.72,1.0281
23.72,1.316
24.72,1.6865
25.72,0.274
26.72,0.5082
27.72,0.5669
28.72,0.9602
29.72,0.1021
30.72,1.9481
31.72,1.0254
32.72,1.565
33.72,0.8097
34.72,1.194
35.72,1.1221
36.72,0.8692
37.72,0.4678
38.72,1.0601
39.72,1.606
40.72,0.3126
41.72,1.133
42.72,1.2127
43.72,0.0449
44.72,0.5564

Level: target_lvl1
Time,Entropy
0.25,1.0657
1.25,1.6846
2.25,0.8485
3.25,1.6552
4.25,1.9979
5.25,1.9128
6.25,0.0476
7.25,0.5997
8.25,1.5345
9.25,0.0889
10.25,0.7292
11.25,0.5645
12.25,1.5243
13.25,0.7699
14.25,0.1762
15.25,1.6789
16.25,0.0062
17.25,0.9696
18.25,0.7171
19.25,1.4849
20.25,1.7892
21.25,1.4108
22.25,1.6199
23.25,1.4085
24.25,1.7852
25.25,1.0687
26.25,0.789
27.25,0.2516
28.25,1.9408
29.25,0.5233
30.25,1.9064
31.25,0.365
32.25,1.2342
33.25,1.0748
34.25,1.0694
35.25,1.7901
36.25,1.5487
37.25,1.4279
38.25,0.1327
39.25,1.5294
40.25,1.4501
41.25,1.3169
42.25,1.828
43.25,1.9771
44.25,0.9869
45.25,0.1806
46.25,0.0764
47.25,1.1614
48.25,0.9544
49.25,1.3966
50.25,1.068
51.25,0.707
52.25,0.6959
53.25,1.1715
54.25,1.539
55.25,0.7005
56.25,1.2159
57.25,0.2721
58.25,0.416
59.25,0.4882
60.25,0.9853
61.25,1.0863
62.25,1.6517
63.25,0.8289
64.25,1.2031
65.25,1.6597
66.25,0.2911
67.25,0.6717
68.25,1.5888
69.25,0.4655
70.25,1.7152
71.25,0.6316
72.25,1.5728
73.25,0.2607
74.25,0.4282
75.25,1.5455
76.25,1.1875
77.25,0.562
78.25,0.3046
79.25,1.0136
80.25,0.2942
81.25,1.6933
82.25,0.5684
83.25,0.4205
84.25,0.1274
85.25,1.5354
86.25,1.8402
87.25,1.8447
88.25,1.5577
89.25,1.9335
90.25,1.5787
91.25,0.3439
92.25,1.1137
93.25,1.9883
94.25,0.8894
95.25,0.7909
96.25,0.3554
97.25,0.4478
98.25,1.3582
99.25,0.2159
100.25,1.6725
101.25,1.2445
102.25,0.2526
103.25,0.0091
104.25,0.8898
105.25,1.6799
106.25,1.7966
107.25,0.1586
108.25,0.7779
109.25,1.2843
110.25,0.1937
111.25,0.139
112.25,0.8128
113.25,1.0828
114.25,0.85
115.25,0.8518
116.25,1.5962
117.25,1.7567
118.25,0.2439
119.25,0.6858
