Time,Shape,Color,PressedKey,Result
5.3,square,green,RIGHT,wrong
6.56,circle,orange,LEFT,correct
8.22,circle,orange,LEFT,correct
9.64,square,green,RIGHT,wrong
11.63,triangle,yellow,RIGHT,correct
14.38,circle,grey,LEFT,correct
17.49,circle,red,LEFT,correct
18.98,triangle,yellow,RIGHT,correct
20.31,square,yellow,RIGHT,wrong
21.87,square,red,RIGHT,wrong
23.43,circle,red,LEFT,correct
26.48,square,white,RIGHT,wrong
28.03,circle,yellow,LEFT,correct
29.48,circle,white,LEFT,correct
32.77,square,white,RIGHT,wrong
34.23,triangle,white,RIGHT,correct
35.55,square,blue,RIGHT,wrong
37.18,square,white,RIGHT,wrong
38.67,circle,orange,LEFT,correct
41.62,circle,yellow,LEFT,correct
43.24,triangle,yellow,RIGHT,correct
