Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.94,0.6688
1.94,0.1078
2.94,1.6359
3.94,1.6293
4.94,0.4484
5.94,1.1321
6.94,1.2557
7.94,1.687
8.94,0.051
9.94,1.3772
10.94,0.8597
11.94,1.5368
12.94,0.3178
13.94,0.9927
14.94,1.9318
15.94,1.0478
16.94,1.0207
17.94,0.2453
18.94,1.666
19.94,0.7771
20.94,1.5117
21.94,0.5854
22.94,0.63
23.94,1.7416
24.94,1.5767
25.94,0.3854
26.94,1.0028
27.94,0.8961
28.94,0.7458
29.94,0.6865
30.94,0.3769
31.94,0.7618
32.94,0.9408
33.94,0.571
34.94,0.0649
35.94,1.6338
36.94,1.3419
37.94,0.9113
38.94,0.5615
39.94,0.6398
40.94,1.6343
41.94,0.5232
42.94,1.4287
43.94,1.5606
44.94,0.7186
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.74,0.3056
1.74,0.8135
2.74,1.6842
3.74,0.4302
4.74,0.5487
5.74,1.4482
6.74,0.7874
7.74,0.6072
8.74,1.8724
9.74,0.6257
10.74,0.9439
11.74,1.4404
12.74,0.108
13.74,1.4089
14.74,0.1444
15.74,1.2242
16.74,0.7065
17.74,0.4818
18.74,0.8939
19.74,1.3263
20.74,0.2397
21.74,1.4987
22.74,0.2143
23.74,0.6597
24.74,0.6347
25.74,1.7553
26.74,0.3601
27.74,1.4342
28.74,1.8318
29.74,1.2453
30.74,0.727
31.74,1.7754
32.74,1.297
33.74,0.7166
34.74,0.6715
35.74,0.5152
36.74,0.7516
37.74,0.2677
38.74,1.3456
39.74,1.1314
40.74,0.3304
41.74,1.2425
42.74,1.112
43.74,0.8631
44.74,1.3156
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.55,0.3992
1.55,0.857
2.55,1.2772
3.55,1.8248
4.55,1.5659
5.55,1.2912
6.55,0.9237
7.55,0.1557
8.55,1.2028
9.55,0.2551
10.55,1.5524
11.55,0.1879
12.55,1.5292
13.55,1.0418
14.55,1.0681
15.55,0.9886
16.55,0.0668
17.55,0.8771
18.55,1.9023
19.55,0.707
20.55,1.8385
21.55,1.3984
22.55,0.8996
23.55,1.5635
24.55,0.4267
25.55,1.6625
26.55,0.433
27.55,0.8598
28.55,0.128
29.55,1.8895
30.55,0.418
31.55,0.8096
32.55,1.6751
33.55,1.5315
34.55,1.8034
35.55,1.0678
36.55,1.9143
37.55,1.4751
38.55,1.3014
39.55,1.0443
40.55,0.9361
41.55,0.2737
42.55,0.3937
43.55,1.6205
44.55,1.9385
