=== Segment 1 Start: 12:54:44 | End: 12:55:07 ===
Time (s),x,y
1.53,20,60
1.6,20,100
2.13,60,100
2.2,100,100
2.53,100,60
2.59,100,20
2.86,140,20
2.92,180,20
3.45,180,60
4.12,180,100
4.18,180,140
4.25,180,180
4.32,180,220
4.38,180,260
4.65,220,260
4.72,260,260
4.98,260,220
5.05,260,180
5.31,300,180
5.38,340,180
5.64,340,140
5.71,340,100
6.1,300,100
6.17,260,100
6.43,260,60
6.5,300,20
6.83,340,20
6.89,380,20
6.96,420,20
7.36,420,60
7.43,420,100
7.49,420,140
7.89,420,180
8.28,460,180
8.35,500,180
8.81,500,220
8.88,500,260
9.27,540,260
9.34,580,260
9.4,620,260
9.47,660,260
9.54,700,260
9.6,740,260
12.31,740,300
12.38,740,340
12.45,740,380
12.51,740,420
12.58,740,460
12.65,740,500
12.91,700,500
13.11,660,500
13.5,660,460
13.57,660,420
13.9,620,420
13.97,580,420
14.3,580,380
14.37,580,340
14.63,540,340
14.7,500,340
15.03,500,380
15.09,500,420
15.16,500,460
15.22,500,500
15.29,500,540
15.35,500,580
15.75,460,580
15.82,420,580
15.89,380,580
15.95,340,580
16.02,300,580
16.08,260,580
16.15,220,580
16.22,180,580
16.28,140,580
16.35,100,580
16.41,60,580
16.48,20,580
16.88,20,540
16.95,20,500
17.01,20,460
17.08,20,420
17.34,60,420
17.41,100,420
17.61,100,380
17.67,100,340
17.94,140,340
18.01,180,340
18.33,180,380
18.4,180,420
18.47,180,460
18.53,180,500
18.93,220,500
18.99,260,500
19.06,300,500
19.13,340,500
19.19,380,500
19.26,420,500
19.59,420,460
19.65,420,420
19.72,420,380
19.79,420,340
20.45,380,340
20.52,340,340
20.58,300,340
21.04,340,340
21.11,380,340
21.51,340,340
21.97,340,300
22.04,340,260
22.3,380,260

=== Segment 2 Start: 12:55:07 | End: 12:55:22 ===
Time (s),x,y
0.07,420,260
0.86,380,260
0.92,340,260
1.65,340,300
1.71,340,340
2.11,380,340
2.18,420,340
2.57,420,380
2.64,420,420
2.7,420,460
2.77,420,500
3.04,380,500
3.1,340,500
3.17,300,500
3.24,260,500
3.3,220,500
3.37,180,500
3.44,140,500
3.5,100,500
4.23,140,500
4.29,180,500
4.69,180,460
4.76,180,420
4.82,180,380
4.89,180,340
5.29,140,340
5.62,100,340
5.68,60,340
6.14,100,340
6.54,100,380
6.61,100,420
7.07,60,420
7.14,20,420
7.66,20,460
7.73,20,500
7.8,20,540
7.86,20,580
8.19,60,580
8.26,100,580
8.33,140,580
8.39,180,580
8.46,220,580
8.52,260,580
8.59,300,580
8.66,340,580
8.72,380,580
8.79,420,580
8.85,460,580
9.65,500,580
10.18,500,540
10.25,500,500
10.31,500,460
10.71,500,420
10.77,500,380
10.84,500,340
11.1,540,340
11.17,580,340
11.24,620,340
11.57,580,340
11.63,540,340
12.03,580,340
12.49,580,380
12.96,580,420
13.35,620,420
13.42,660,420
13.81,660,460
13.88,660,500
14.14,700,500
14.21,740,500
14.61,740,460
14.67,740,420
14.74,740,380
14.81,740,340
14.87,740,300
14.94,740,260
15.4,700,260
15.47,660,260

=== Segment 3 Start: 12:55:22 | End: 12:55:31 ===
Time (s),x,y
1.59,700,260
1.65,740,260
2.25,740,300
2.31,740,340
2.38,740,380
2.44,740,420
2.51,740,460
2.58,740,500
2.84,700,500
2.91,660,500
3.44,660,460
3.5,660,420
3.84,620,420
3.9,580,420
4.17,580,380
4.23,580,340
4.5,540,340
4.56,500,340
4.76,500,380
4.83,500,420
4.89,500,460
4.96,500,500
5.03,500,540
5.09,500,580
5.36,460,580
5.42,420,580
5.49,380,580
5.56,340,580
5.62,300,580
5.69,260,580
5.75,220,580
5.82,180,580
5.88,140,580
5.95,100,580
6.02,60,580
6.08,20,580
6.41,20,540
6.48,20,500
6.54,20,460
6.61,20,420
6.87,60,420
6.94,100,420
7.14,100,380
7.21,100,340
7.4,140,340
7.47,180,340
7.73,180,380
7.8,180,420
7.87,180,460
7.94,180,500
8.2,220,500
8.27,260,500
8.33,300,500
8.4,340,500
8.46,380,500
8.53,420,500
8.79,420,460
8.86,420,420
8.92,420,380
8.99,420,340
9.19,380,340
9.26,340,340
9.32,300,340
9.39,260,340

=== Segment 4 Start: 12:55:31 | End: 12:55:39 ===
