
Level: target_lvl3
Time,Entropy
0.71,0.6798
1.71,0.2147
2.71,0.5898
3.71,1.4155
4.71,1.3627
5.71,1.6377
6.71,0.1326
7.71,1.4665
8.71,0.7211
9.71,0.0056
10.71,0.1877
11.71,1.4243
12.71,0.2757
13.71,1.9321
14.71,0.7329
15.71,1.3138
16.71,1.2853
17.71,0.77
18.71,1.1235
19.71,1.0534
20.71,1.1795
21.71,1.191
22.71,1.2667
23.71,1.6731
24.71,1.5084
25.71,0.3103
26.71,1.7296
27.71,0.5663
28.71,0.2823
29.71,0.3272
30.71,0.1662
31.71,1.915
32.71,0.6401
33.71,1.2572
34.71,0.8002
35.71,0.8807
36.71,1.6233
37.71,0.2243
38.71,1.0242
39.71,1.9472
40.71,0.2757
41.71,0.6751
42.71,1.529
43.71,1.9011
44.71,0.5975
45.71,1.5012
46.71,0.3793
47.71,0.1915
48.71,1.1553
49.71,0.883
50.71,0.3383
51.71,0.4361
52.71,0.2265
53.71,1.9262
54.71,0.108
55.71,1.432
56.71,1.413
57.71,0.8321
58.71,1.0267
59.71,1.1775
60.71,0.1158
61.71,0.6614
62.71,1.2233
63.71,1.6606
64.71,0.2229
65.71,0.585
66.71,1.2703
67.71,1.5204
68.71,0.4935
69.71,1.6746
70.71,1.4298
71.71,0.1595
72.71,0.2552
73.71,1.6378
74.71,0.8666
75.71,1.4991
76.71,0.3208
77.71,0.7261
78.71,0.2796
79.71,1.0219
80.71,1.5422
81.71,0.2515
82.71,0.1183
83.71,1.2983
84.71,1.4962
85.71,1.3647
86.71,0.2777
87.71,1.1815
88.71,1.5724
89.71,0.6565
90.71,1.3836
91.71,0.3656
92.71,1.6949
93.71,1.3099
94.71,0.9695
95.71,1.0299
96.71,0.0085
97.71,0.7365
98.71,1.5422
99.71,1.4648
100.71,1.7401
101.71,0.2798
102.71,0.4621
103.71,0.3191
104.71,1.643
105.71,0.3087
106.71,1.2192
107.71,0.1559
108.71,0.4901
109.71,0.0064
110.71,1.8693
111.71,0.7138
112.71,1.662
113.71,0.996
114.71,1.5587
115.71,1.2024
116.71,0.9235
117.71,1.0685
118.71,1.3836
119.71,1.2214
