
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.92,0.7959
1.92,0.7641
2.92,1.9362
3.92,1.1977
4.92,0.581
5.92,1.9717
6.92,0.073
7.92,0.1406
8.92,1.6967
9.92,1.8181
10.92,1.0114
11.92,0.1384
12.92,1.2045
13.92,0.089
14.92,0.6584
15.92,1.037
16.92,0.0352
17.92,1.3117
18.92,0.3053
19.92,1.9236
20.92,0.7959
21.92,1.7869
22.92,1.3131
23.92,0.5045
24.92,1.1772
25.92,0.7841
26.92,1.8329
27.92,1.0009
28.92,0.4232
29.92,0.1372
30.92,1.0093
31.92,0.907
32.92,1.8212
33.92,1.0369
34.92,0.0084
35.92,1.1645
36.92,1.9337
37.92,0.718
38.92,1.0186
39.92,0.7336
40.92,1.7098
41.92,0.7616
42.92,0.1703
43.92,1.0696
44.92,0.7894

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.73,0.8526
1.73,1.6671
2.73,0.1306
3.73,1.5761
4.73,1.9877
5.73,1.5194
6.73,1.6694
7.73,1.7057
8.73,0.7796
9.73,0.4487
10.73,1.2432
11.73,1.8712
12.73,0.1321
13.73,1.7051
14.73,1.643
15.73,1.9631
16.73,1.5603
17.73,0.5593
18.73,1.8831
19.73,0.8435
20.73,0.7805
21.73,1.0735
22.73,0.5611
23.73,1.1676
24.73,0.7374
25.73,1.1988
26.73,0.3828
27.73,1.4493
28.73,1.0441
29.73,1.0147
30.73,1.4025
31.73,1.4754
32.73,0.4511
33.73,1.5545
34.73,0.4856
35.73,1.0802
36.73,0.9768
37.73,1.0575
38.73,1.3481
39.73,0.9039
40.73,0.8602
41.73,0.5967
42.73,1.7349
43.73,0.4735
44.73,0.2145

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.55,1.46
1.55,1.9892
2.55,1.85
3.55,0.0894
4.55,0.7608
5.55,0.4034
6.55,1.9848
7.55,1.8496
8.55,1.2121
9.55,1.5649
10.55,1.7941
11.55,1.8499
12.55,0.0075
13.55,0.1658
14.55,1.0125
15.55,1.6669
16.55,0.7867
17.55,0.423
18.55,0.1738
19.55,1.3004
20.55,1.7458
21.55,0.1415
22.55,1.5327
23.55,1.4964
24.55,1.1464
25.55,1.8736
26.55,0.6283
27.55,1.3792
28.55,0.8424
29.55,1.882
30.55,0.9144
31.55,1.2223
32.55,1.7054
33.55,0.1133
34.55,0.4133
35.55,1.6984
36.55,0.787
37.55,1.9865
38.55,1.1287
39.55,0.3418
40.55,0.6494
41.55,0.146
42.55,0.1286
43.55,0.571
44.55,0.088

Level: target_lvl1
Time,Entropy
0.63,1.0499
1.63,0.3015
2.63,1.5039
3.63,0.3318
4.63,0.8907
5.63,0.8525
6.63,1.5401
7.63,0.7527
8.63,0.9905
9.63,0.4861
10.63,0.7125
11.63,1.6625
12.63,0.7971
13.63,1.1479
14.63,0.1649
15.63,1.0716
16.63,1.0179
17.63,0.6034
18.63,1.5509
19.63,1.8619
20.63,1.9268
21.63,0.617
22.64,0.4872
23.63,1.6431
24.63,1.5113
25.63,1.4203
26.63,1.8564
27.63,1.2285
28.63,0.8636
29.63,1.3777
30.63,1.726
31.63,0.6847
32.63,0.2548
33.63,1.0627
34.63,0.0791
35.63,0.088
36.63,1.3622
37.63,1.3946
38.63,1.7387
39.63,1.6661
40.63,0.0797
41.63,1.1831
42.63,0.477
43.63,0.5585
44.63,1.8311
45.63,1.4596
46.63,0.4315
47.63,0.4707
48.63,0.3165
49.63,0.3017
50.63,0.5304
51.63,1.4512
52.63,0.573
53.63,0.9422
54.63,1.4663
55.63,0.5942
56.63,1.1181
57.63,1.6717
58.63,1.0219
59.63,0.1032
60.63,1.6814
61.63,0.0448
62.63,1.6343
63.63,1.8125
64.63,1.9569
65.63,0.142
66.63,1.8393
67.63,0.5847
68.63,1.2793
69.63,1.6162
70.63,1.5483
71.63,1.6128
72.63,1.8377
73.63,1.6276
74.63,1.071
75.63,0.1666
76.63,0.2926
77.63,0.243
78.64,1.398
79.63,1.0795
80.63,0.2211
81.63,0.5323
82.63,1.7824
83.63,1.0171
84.63,1.1931
85.63,1.9738
86.63,1.9073
87.63,1.0174
88.63,0.2576
89.63,1.3292
90.63,0.0383
91.63,0.6209
92.63,0.2475
93.63,0.8021
94.63,0.3252
95.63,1.2054
96.63,0.6187
97.63,0.6957
98.63,0.0591
99.63,0.636
100.63,0.4092
101.63,1.8234
102.63,1.3798
103.63,1.1701
104.64,1.9026
105.63,0.2302
106.63,0.9073
107.63,1.8982
108.63,0.1591
109.63,1.3774
110.63,1.878
111.63,0.2813
112.63,0.0788
113.63,1.0435
114.63,1.7692
115.63,1.3916
116.63,1.2146
117.63,1.8763
118.63,0.8156
119.63,1.0603
