Time,Shape,Color,PressedKey,Result
2.59,triangle,blue,RIGHT,correct
3.49,triangle,green,RIGHT,correct
6.64,circle,white,LEFT,correct
11.31,square,red,RIGHT,wrong
13.43,hexagoan,grey,RIGHT,wrong
16.01,square,green,RIGHT,wrong
18.79,triangle,white,RIGHT,correct
21.67,triangle,white,RIGHT,correct
23.32,square,blue,LEFT,wrong
24.91,circle,yellow,LEFT,correct
28.1,circle,grey,LEFT,correct
29.49,circle,blue,LEFT,correct
31.05,circle,pink,LEFT,correct
34.14,triangle,grey,RIGHT,correct
35.63,circle,green,LEFT,correct
37.28,circle,grey,LEFT,correct
38.64,square,grey,RIGHT,wrong
40.3,triangle,blue,RIGHT,correct
41.56,circle,blue,RIGHT,wrong
43.51,circle,green,LEFT,correct
44.8,triangle,pink,RIGHT,correct
