Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.94,0.9249
1.94,0.9362
2.94,1.1945
3.94,0.3127
4.94,0.781
5.94,0.6369
6.94,0.7341
7.94,0.0229
8.94,0.6496
9.94,1.5285
10.94,1.777
11.94,1.8427
12.94,0.4364
13.94,0.012
14.94,1.5505
15.94,1.3602
16.94,1.3787
17.94,0.6737
18.94,0.3121
19.94,1.5148
20.94,1.2406
21.94,0.5359
22.94,1.8069
23.94,0.7698
24.94,0.3796
25.94,1.2018
26.94,0.7695
27.94,1.2532
28.94,0.4721
29.94,1.648
30.94,1.4724
31.94,0.175
32.94,1.8405
33.94,1.6158
34.94,1.7546
35.94,0.0956
36.94,1.0046
37.94,1.8762
38.94,0.8832
39.94,0.1527
40.94,0.9079
41.94,1.4785
42.94,0.7215
43.94,1.285
44.94,1.5728
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.7,0.4394
1.7,0.5661
2.7,1.6252
3.7,0.4856
4.7,1.6407
5.7,1.1825
6.7,0.1122
7.7,1.9722
8.7,1.5453
9.7,0.8916
10.7,1.7483
11.7,1.8144
12.7,0.6742
13.7,0.6571
14.7,1.3998
15.7,1.7118
16.7,0.6681
17.7,1.7354
18.7,1.5114
19.7,1.1624
20.7,0.8419
21.7,0.8234
22.7,1.975
23.7,0.2706
24.7,1.3338
25.7,0.7716
26.7,1.6276
27.7,0.6067
28.7,1.0634
29.7,0.9928
30.7,1.9723
31.7,1.9856
32.7,1.7933
33.7,1.2167
34.7,0.634
35.7,0.4603
36.7,1.9509
37.7,1.8378
38.7,0.3085
39.7,0.7515
40.7,0.0615
41.7,0.405
42.7,0.6585
43.7,0.1861
44.7,0.8533
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.51,0.0966
1.51,0.9474
2.51,0.0161
3.52,1.232
4.51,1.3229
5.51,0.6986
6.51,0.9888
7.51,0.552
8.51,1.5327
9.51,0.3477
10.51,0.8646
11.51,1.1957
12.51,1.2296
13.51,1.831
14.51,1.9747
15.51,1.4211
16.51,0.6157
17.51,0.9204
18.51,0.0011
19.51,0.9122
20.51,0.8817
21.51,1.0245
22.51,1.2921
23.51,0.5388
24.52,0.9962
25.51,1.2953
26.52,0.1327
27.51,0.0706
28.51,1.5556
29.51,0.9772
30.51,0.9501
31.51,0.9131
32.51,0.76
33.51,1.5692
34.51,1.0419
35.51,0.701
36.51,0.4569
37.51,1.6659
38.51,1.4016
39.51,1.6991
40.51,1.3363
41.51,0.8538
42.52,0.7524
43.51,1.5486
44.51,0.4556
