
Level: target_lvl3
Time,Entropy
0.81,0.9757
1.81,1.5086
2.81,1.4305
3.81,1.4774
4.81,0.6916
5.81,0.797
6.81,1.8632
7.81,1.824
8.81,1.3527
9.81,0.5786
10.81,1.843
11.81,1.8339
12.81,0.3067
13.81,0.6541
14.81,1.4495
15.81,0.2008
16.81,0.9617
17.81,1.8974
18.81,1.1409
19.81,1.2299
20.81,0.5676
21.81,0.9135
22.81,1.6899
23.81,0.2714
24.81,1.8898
25.81,0.8629
26.81,0.7676
27.81,0.1713
28.81,0.7808
29.81,0.7922
30.81,1.7528
31.81,0.047
32.81,1.9348
33.81,1.5174
34.81,0.1685
35.81,0.067
36.81,1.5124
37.81,0.0566
38.81,0.8199
39.81,0.8453
40.81,1.7193
41.81,0.5147
42.81,1.3528
43.81,0.2477
44.81,0.301
45.81,1.4637
46.81,0.201
47.81,1.9695
48.81,0.8071
49.81,0.3976
50.81,1.8468
51.81,1.6396
52.81,0.2359
53.81,0.5998
54.81,1.9202
55.81,1.2082
56.81,0.2221
57.81,1.962
58.81,1.7264
59.81,0.5211
60.81,0.4157
61.81,0.1849
62.81,0.6163
63.81,0.4667
64.81,0.3026
65.81,1.0751
66.81,0.5792
67.81,0.3162
68.81,0.4276
69.81,1.4889
70.81,1.8305
71.81,1.326
72.81,0.0994
73.81,1.9663
74.81,0.4377
75.81,0.2255
76.81,1.6931
77.81,1.0757
78.81,1.7489
79.81,1.5529
80.81,1.5706
81.81,0.273
82.81,1.4048
83.81,0.1887
84.81,0.6391
85.81,1.9522
86.81,0.6948
87.81,0.3214
88.81,0.55
89.81,0.5756
90.81,0.0116
91.81,0.3321
92.81,1.0295
93.81,0.6029
94.81,0.683
95.81,1.7871
96.81,0.8351
97.81,0.1082
98.81,1.2944
99.81,0.4172
100.81,0.6702
101.81,0.1359
102.81,1.3666
103.81,1.8435
104.81,1.1487
105.81,0.5417
106.81,0.5376
107.81,0.3473
108.81,1.1892
109.81,1.4131
110.81,1.4019
111.81,0.5496
112.81,1.6001
113.81,1.1181
114.81,1.465
115.81,0.4405
116.81,0.6211
117.81,1.017
118.81,0.1867
119.81,0.3864
