=== Segment 1 Start: 20:06:39 | End: 20:07:01 ===
Time (s),x,y
0.87,13,40
0.94,13,67
1.01,40,67
1.07,67,67
1.2,67,40
1.27,67,13
1.41,94,13
1.47,121,13
1.53,148,13
1.6,175,13
1.67,202,13
1.74,229,13
1.87,229,40
1.93,229,67
2.0,229,94
2.07,229,121
2.46,229,148
2.53,229,175
2.59,202,175
2.66,175,175
2.72,148,175
2.79,121,175
2.86,121,202
2.92,121,229
3.05,148,229
3.12,175,229
3.25,175,256
3.32,175,283
3.52,148,283
3.58,121,283
3.65,121,310
3.72,121,337
3.78,121,364
3.85,121,391
3.91,121,418
3.98,121,445
4.05,121,472
4.11,121,499
4.24,148,499
4.31,175,499
4.38,202,499
4.71,229,499
4.91,229,472
4.98,229,445
5.11,202,445
5.17,175,445
5.3,175,418
5.37,175,391
5.44,175,364
5.5,175,337
5.63,202,337
5.7,229,337
5.77,229,310
5.83,229,283
5.96,256,283
6.03,283,283
6.3,283,310
6.36,283,337
6.43,283,364
6.5,283,391
6.56,283,418
6.63,283,445
6.76,310,445
6.82,337,445
6.96,337,472
7.02,337,499
7.15,364,499
7.22,391,499
7.29,418,499
7.35,445,499
7.48,445,472
7.55,445,445
7.62,445,418
7.68,445,391
7.81,472,391
7.88,499,391
7.95,526,391
8.01,553,391
8.55,553,418
8.61,553,445
8.68,553,472
8.74,553,499
8.88,580,499
8.94,607,499
9.01,634,499
9.07,661,499
11.98,688,499
12.05,715,499
12.18,715,472
12.25,715,445
12.32,688,445
12.38,661,445
12.51,661,418
12.58,661,391
12.65,661,364
12.71,661,337
12.84,634,337
12.91,607,364
13.04,607,337
13.11,607,310
13.17,607,283
13.24,607,256
13.31,607,229
13.5,580,229
13.57,553,256
13.64,526,283
13.7,499,310
13.77,499,337
13.9,472,337
13.97,445,337
14.04,418,337
14.1,391,337
14.3,391,310
14.37,391,283
14.43,364,283
14.5,337,283
14.76,337,256
14.83,310,229
14.9,283,229
14.96,256,229
15.03,229,229
15.82,256,229
15.89,283,229
16.02,310,229
16.08,337,229
16.35,310,229
16.68,283,229
16.88,283,202
16.94,283,175
17.01,283,148
