
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.58,1.4685
1.58,1.8728
2.58,0.7385
3.58,0.4867
4.58,0.6212
5.58,0.5632
6.58,0.7326
7.58,1.6241
8.58,0.5448
9.58,1.161
10.58,0.9092
11.58,1.5839
12.58,0.9426
13.58,1.4411
14.58,1.1683
15.58,0.7602
16.58,1.6023
17.58,0.6777
18.58,1.5956
19.58,0.8082
20.58,1.6465
21.58,0.0654
22.58,0.5223
23.58,0.0825
24.58,1.5449
25.58,1.6426
26.58,0.5071
27.58,0.3111
28.58,1.5559
29.58,0.908
30.58,0.2637
31.58,1.1591
32.58,1.5901
33.58,1.3035
34.58,0.0874
35.58,1.3267
36.58,1.7009
37.58,1.4693
38.58,1.0801
39.58,0.2935
40.58,0.7068
41.58,0.1139
42.58,0.4002
43.58,1.6279
44.58,1.914

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.38,1.6648
1.38,0.532
2.38,0.0543
3.38,1.1083
4.38,1.2347
5.38,1.8752
6.38,1.3688
7.38,0.0172
8.38,1.2129
9.38,0.4753
10.38,1.1434
11.38,0.3491
12.38,1.8171
13.38,0.7982
14.38,1.1333
15.38,1.1116
16.38,0.9929
17.38,0.2593
18.38,1.0928
19.38,1.215
20.38,1.2998
21.38,1.1694
22.38,0.4264
23.38,1.2259
24.38,1.6001
25.38,0.4504
26.38,1.9134
27.38,1.5785
28.38,1.4502
29.38,0.4469
30.38,0.6694
31.38,1.552
32.38,0.8849
33.38,1.101
34.38,0.3082
35.38,0.4621
36.38,0.2694
37.38,0.1223
38.38,0.4181
39.38,1.841
40.38,0.203
41.38,0.9027
42.38,0.3238
43.38,0.4909
44.38,0.3025

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.18,0.7154
1.18,0.9461
2.18,1.9319
3.18,0.3359
4.18,1.1451
5.18,1.6287
6.18,1.9633
7.18,0.5935
8.18,1.6272
9.18,0.4167
10.18,0.1013
11.18,0.6832
12.18,1.7168
13.18,1.6906
14.18,1.8842
15.18,0.2392
16.18,0.6398
17.18,1.2026
18.18,1.2837
19.18,1.1207
20.18,0.8666
21.18,0.1481
22.18,0.0935
23.18,1.7147
24.18,1.0126
25.18,0.5454
26.18,1.1432
27.18,1.6283
28.18,1.2282
29.18,1.1039
30.18,1.8858
31.18,0.8574
32.18,1.5059
33.18,0.374
34.18,1.9898
35.18,0.0769
36.18,0.6169
37.18,1.7978
38.18,1.3277
39.18,1.8078
40.18,1.2704
41.18,0.4184
42.18,0.3003
43.18,1.6811
44.18,1.7427

Level: target_lvl1
Time,Entropy
0.54,1.0173
1.54,1.2914
2.54,0.4715
3.54,0.6944
4.54,0.6006
5.54,0.3958
6.54,0.8616
7.54,0.3544
8.54,0.6493
9.54,0.1144
10.54,0.8197
11.54,0.8774
12.54,0.3514
13.54,1.9853
14.54,1.38
15.54,0.5631
16.54,0.7365
17.54,0.5844
18.54,1.6261
19.54,0.914
20.54,1.7273
21.54,1.7211
22.54,0.5045
23.54,0.5681
24.54,0.242
25.54,0.5502
26.54,1.4266
27.54,1.0584
28.54,0.5754
29.54,0.6594
30.54,1.2506
31.54,0.249
32.54,1.679
33.54,0.2981
34.54,0.2719
35.54,0.7036
36.54,0.0907
37.54,0.3562
38.54,0.9954
39.54,1.0383
40.54,1.9638
41.54,0.9221
42.54,0.5831
43.54,0.7161
44.54,0.0498
45.54,1.2571
46.54,1.8855
47.54,1.2499
48.54,0.501
49.54,0.8002
50.54,0.5802
51.54,0.8023
52.54,0.5386
53.54,0.5467
54.54,0.6614
55.54,0.009
56.54,0.0372
57.54,1.6414
58.54,0.0794
59.54,0.6794
60.54,1.7172
61.54,0.3942
62.54,0.5946
63.54,0.7033
64.54,0.0632
65.54,1.5031
66.54,0.7304
67.54,0.2587
68.54,1.5269
69.54,0.5213
70.54,0.5401
71.54,0.7574
72.54,1.8677
73.54,1.9362
74.54,0.4323
75.54,0.9303
76.54,0.8363
77.54,1.4134
78.54,0.0469
79.54,1.8462
80.54,1.7173
81.54,1.351
82.54,1.9619
83.54,1.3362
84.54,0.7025
85.54,0.4728
86.54,0.3239
87.54,0.4323
88.54,0.3452
89.54,1.6603
90.54,1.3398
91.54,0.8691
92.54,1.757
93.54,0.5959
94.54,1.0983
95.54,1.3017
96.54,1.6153
97.54,0.6566
98.54,1.1451
99.54,0.9918
100.54,0.2512
101.54,1.0509
102.54,0.1528
103.54,0.6847
104.54,0.6597
105.54,1.1148
106.54,1.7242
107.54,1.037
108.54,0.1799
109.54,1.2841
110.54,1.4289
111.54,0.1563
112.54,1.3986
113.54,1.418
114.54,0.9392
115.54,1.4484
116.54,1.8519
117.54,0.7086
118.54,0.6676
119.54,0.254
