Time,Shape,Color,PressedKey,Result
2.09,circle,pink,LEFT,correct
3.48,circle,yellow,LEFT,correct
4.94,triangle,yellow,RIGHT,correct
8.28,circle,pink,RIGHT,wrong
9.71,square,grey,RIGHT,wrong
11.46,square,pink,RIGHT,wrong
14.31,triangle,red,RIGHT,correct
18.88,square,pink,LEFT,wrong
20.24,circle,blue,LEFT,correct
22.0,triangle,red,RIGHT,correct
23.68,square,white,RIGHT,wrong
24.84,circle,orange,LEFT,correct
26.5,triangle,grey,RIGHT,correct
27.92,triangle,orange,RIGHT,correct
29.34,triangle,grey,RIGHT,correct
34.02,triangle,green,RIGHT,correct
35.51,triangle,pink,RIGHT,correct
36.94,circle,green,LEFT,correct
38.69,square,yellow,RIGHT,wrong
41.81,circle,orange,LEFT,correct
44.82,triangle,white,RIGHT,correct
