Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.11,0.0635
1.11,0.7213
2.11,0.1451
3.11,0.0019
4.11,1.8436
5.11,0.7585
6.12,0.5626
7.11,0.2952
8.11,1.9131
9.11,0.4589
10.11,0.9087
11.11,0.2495
12.11,1.1849
13.11,1.2117
14.11,1.0668
15.11,1.2069
16.11,0.1621
17.11,0.5501
18.11,1.4727
19.11,1.764
20.11,1.1872
21.11,1.9707
22.11,1.2847
23.11,0.9094
24.11,1.8827
25.11,1.383
26.11,1.2596
27.11,0.6523
28.11,0.0767
29.11,0.8184
30.11,0.9851
31.11,0.5691
32.11,0.4341
33.11,0.3292
34.11,1.7905
35.11,0.7939
36.11,0.5495
37.11,1.2978
38.11,0.4615
39.12,0.1383
40.11,0.3311
41.12,0.8882
42.11,0.9911
43.11,0.3763
44.12,0.2617
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.91,0.2477
1.91,0.5206
2.91,0.464
3.91,1.991
4.91,1.8966
5.91,0.2287
6.91,0.8277
7.91,0.9529
8.91,0.3228
9.91,0.4559
10.91,0.9989
11.91,0.2188
12.91,0.2439
13.91,1.3662
14.91,1.8293
15.91,0.441
16.91,1.4031
17.91,0.853
18.91,1.1103
19.91,1.781
20.91,1.4664
21.91,1.286
22.91,1.6638
23.91,1.1633
24.91,0.9734
25.91,1.1407
26.91,1.5803
27.91,1.0678
28.91,1.2566
29.91,1.8209
30.91,0.217
31.91,1.0387
32.91,0.7642
33.91,0.8191
34.91,1.6497
35.91,1.3123
36.91,0.6855
37.91,1.5924
38.91,1.1516
39.91,1.2368
40.91,0.8424
41.91,0.8645
42.91,1.676
43.91,1.1936
44.91,1.4981
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.7,0.7858
1.7,1.0176
2.7,0.2292
3.7,1.3202
4.7,0.93
5.7,1.4899
6.7,1.8589
7.7,0.661
8.7,0.3239
9.7,1.2525
10.7,0.7848
11.7,0.4924
12.7,1.8275
13.7,0.4752
14.7,1.9758
15.7,1.0775
16.7,1.4273
17.7,1.5084
18.7,1.9211
19.7,1.2692
20.7,0.6537
21.7,0.8804
22.7,1.3833
23.7,1.4516
24.7,0.4687
25.7,0.9916
26.7,0.7362
27.7,1.2906
28.7,0.9362
29.7,1.3828
30.7,1.9449
31.7,1.8444
32.7,0.9487
33.7,0.6912
34.7,1.4344
35.7,0.0112
36.7,1.0994
37.7,0.8437
38.7,0.9103
39.7,1.0624
40.7,0.1787
41.7,0.2187
42.7,1.1747
43.7,0.2729
44.7,1.1329
