=== Segment 1 Start: 18:28:07 | End: 18:28:22 ===
Time (s),x,y
1.46,60,20
1.53,100,20
1.6,140,20
1.66,180,20
1.86,180,60
1.93,180,100
2.12,220,100
2.19,260,100
2.26,300,100
2.32,340,100
2.52,340,60
2.59,340,20
2.79,380,20
2.85,420,20
3.12,420,60
3.18,420,100
3.25,420,140
3.32,420,180
3.58,380,180
3.65,340,180
3.71,300,180
3.78,260,180
3.98,260,220
4.04,260,260
4.11,260,300
4.17,260,340
4.24,260,380
4.31,260,420
4.37,260,460
4.44,260,500
4.64,300,500
4.7,340,500
4.9,340,460
4.97,340,420
5.17,380,420
5.23,420,420
5.3,460,420
5.36,500,420
5.63,500,380
5.69,540,340
5.76,580,300
6.29,580,260
7.35,540,260
7.42,500,260
7.48,460,260
7.68,500,260
8.14,500,220
8.67,500,180
8.94,540,180
9.0,580,180
9.07,620,180
9.13,660,180
9.33,660,140
9.4,660,100
9.46,660,60
9.53,660,20
9.66,700,20
9.73,740,20
10.12,740,60
10.19,740,100
10.25,740,140
10.32,740,180
10.39,740,220
10.45,740,260
10.72,700,260
10.78,660,260
11.05,660,300
11.11,660,340
11.38,700,340
11.45,740,340
11.71,740,380
11.77,740,420
12.17,700,420
12.24,660,420
12.3,620,420
12.37,580,420
12.57,580,460
12.63,580,500
12.7,580,540
12.77,580,580
12.97,540,580
13.03,500,580
13.1,460,580
13.16,420,580
13.23,380,580
13.3,340,580
13.36,300,580
13.43,260,580
13.49,220,580
13.56,180,580
13.76,180,540
13.82,180,500
13.89,180,460
13.96,180,420
14.15,140,420
14.22,100,420
14.29,60,420
14.35,20,420
14.55,20,380
14.62,20,340
14.68,20,300
14.75,20,260
14.95,60,260
15.01,100,260

=== Segment 2 Start: 18:28:22 | End: 18:28:32 ===
Time (s),x,y
0.07,140,260
0.66,180,260
0.93,180,300
0.99,140,340
1.45,180,340
1.92,180,300
3.7,180,260
3.77,180,220
3.84,180,180
4.17,180,220
4.63,180,260
5.02,140,260
5.09,100,260
5.16,60,260
5.22,20,260
5.42,20,300
5.49,20,340
5.56,20,380
5.62,20,420
5.82,60,420
6.15,100,420
6.21,140,420
6.28,180,420
6.61,180,460
6.68,180,500
6.74,180,540
6.81,180,580
7.01,220,580
7.08,260,580
7.14,300,580
7.21,340,580
7.28,380,580
7.34,420,580
7.41,460,580
7.47,500,580
7.54,540,580
7.61,580,580
8.07,580,540
8.13,580,500
8.2,580,460
8.27,580,420
8.53,620,420
8.6,660,420
8.66,700,420
8.73,740,420
