
Level: target_lvl3
Time,Entropy
0.73,0.7536
1.73,0.9541
2.73,0.5994
3.73,1.6433
4.73,0.7906
5.73,1.7548
6.73,1.0384
7.73,0.0855
8.73,0.8818
9.73,0.3075
10.73,1.5245
11.73,0.9558
12.73,1.9912
13.73,0.2278
14.73,1.0457
15.73,1.3802
16.73,1.8646
17.73,1.3602
18.73,0.4744
19.73,0.3719
20.73,0.9009
21.73,0.8811
22.73,0.4903
23.73,1.8193
24.73,0.5461
25.73,1.8049
26.73,0.5017
27.73,0.6
28.73,1.6973
29.73,0.3646
30.73,0.3403
31.73,0.4704
32.73,0.539
33.73,1.5423
34.73,0.812
35.73,1.7188
36.73,1.1021
37.73,0.0545
38.73,0.3926
39.73,1.8289
40.73,1.6736
41.73,0.5151
42.73,1.4279
43.73,1.5761
44.73,1.6033
45.73,1.9466
46.73,1.3195
47.73,1.177
48.73,0.6357
49.73,0.7681
50.73,0.262
51.73,1.9457
52.73,1.2185
53.73,1.5396
54.73,0.7434
55.73,1.748
56.73,0.2919
57.73,1.5591
58.73,1.1109
59.73,1.3554
60.73,1.5871
61.73,0.3005
62.73,0.1982
63.73,0.5095
64.73,0.0598
65.73,1.072
66.73,1.1412
67.73,0.4696
68.73,0.5684
69.73,0.8155
70.73,1.8608
71.73,0.984
72.73,1.834
73.73,0.2234
74.73,0.7316
75.73,0.3963
76.73,1.1176
77.73,1.5467
78.73,0.9764
79.73,0.0406
80.73,0.6633
81.73,0.0823
82.73,1.4345
83.73,0.0039
84.73,1.1385
85.73,0.5703
86.73,0.687
87.73,0.5818
88.73,1.8999
89.73,0.2563
90.73,1.8926
91.73,1.915
92.73,1.9496
93.73,0.3854
94.73,0.051
95.73,0.7397
96.73,0.9085
97.73,0.3048
98.73,0.0314
99.73,0.0822
100.73,1.8979
101.73,0.167
102.73,1.1448
103.73,0.4078
104.73,0.0635
105.73,0.8107
106.73,0.7445
107.73,1.1731
108.73,0.8259
109.73,1.6089
110.73,1.6964
111.73,1.9005
112.73,1.7833
113.73,1.9355
114.73,0.5519
115.73,1.3665
116.73,1.1662
117.73,1.2322
118.73,1.2402
119.73,1.5671
