
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.23,1.3254
1.23,0.1093
2.23,0.441
3.23,1.6008
4.23,0.7145
5.23,1.3971
6.23,0.6302
7.23,0.792
8.23,0.6212
9.23,1.2764
10.23,0.8417
11.23,1.4829
12.23,0.8842
13.23,1.3687
14.23,1.7131
15.23,1.6851
16.23,1.4387
17.23,1.0251
18.23,0.3747
19.23,1.3409
20.23,0.6164
21.23,1.014
22.23,1.7259
23.23,0.9471
24.23,0.3405
25.23,0.9597
26.23,1.1799
27.23,0.54
28.23,1.2313
29.23,0.3886
30.23,0.9659
31.23,1.0351
32.23,0.9181
33.23,1.9711
34.23,0.6786
35.23,0.0699
36.23,1.0873
37.23,1.581
38.23,0.2421
39.23,1.9296
40.23,0.721
41.23,0.0478
42.23,1.13
43.23,1.07
44.23,0.1235

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.03,1.282
1.03,1.6303
2.03,1.079
3.03,0.9103
4.03,1.8774
5.03,0.4865
6.04,1.3504
7.03,1.4437
8.03,1.8592
9.03,0.4544
10.03,0.0192
11.03,1.9466
12.03,0.9863
13.03,1.6933
14.03,1.184
15.03,1.1787
16.03,0.1745
17.03,0.8838
18.03,1.7268
19.03,0.5502
20.03,1.554
21.03,0.8264
22.03,1.7041
23.03,1.7623
24.03,1.8267
25.03,1.5323
26.03,0.6662
27.03,0.5761
28.03,1.5705
29.03,1.9219
30.03,1.6625
31.03,0.6369
32.03,0.238
33.03,1.272
34.03,1.6182
35.03,1.4268
36.03,1.3106
37.03,0.1956
38.03,0.9655
39.03,0.6591
40.03,1.1413
41.03,1.0181
42.03,1.5396
43.03,1.4145
44.03,0.4883
45.03,1.9986

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.82,1.5056
1.82,1.3737
2.82,0.9363
3.82,0.8081
4.82,1.6026
5.82,1.9198
6.82,0.8098
7.82,0.9217
8.82,0.0801
9.82,1.7144
10.82,0.8991
11.82,0.4991
12.82,0.1979
13.82,1.3705
14.82,0.9417
15.82,1.5948
16.82,1.3106
17.82,1.7209
18.82,1.7762
19.82,1.8995
20.82,0.9446
21.82,1.6781
22.82,0.0823
23.82,0.2305
24.82,1.5436
25.82,1.4207
26.82,0.7589
27.82,0.0521
28.82,0.2061
29.82,1.7739
30.82,1.5529
31.82,1.9275
32.82,0.757
33.82,1.5962
34.82,1.3728
35.82,0.8065
36.82,1.9967
37.82,1.4067
38.82,0.9677
39.82,1.9467
40.82,0.0488
41.82,1.0176
42.82,0.3161
43.82,1.7909
44.82,0.483
