Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.11,1.0556
1.11,0.4018
2.11,0.5013
3.11,0.4632
4.11,0.073
5.11,0.2831
6.11,0.9465
7.11,0.5627
8.11,0.2803
9.11,1.7409
10.11,0.442
11.11,0.7422
12.11,1.5392
13.11,1.3677
14.11,0.7258
15.11,1.789
16.11,0.3656
17.11,1.4289
18.11,0.8996
19.11,1.7656
20.11,0.4398
21.11,1.7116
22.11,0.1493
23.11,0.5985
24.11,1.2891
25.11,1.5087
26.11,0.0431
27.11,0.9821
28.11,1.2323
29.11,1.544
30.11,0.2668
31.11,1.698
32.11,1.6374
33.11,1.0551
34.11,0.9801
35.11,1.2048
36.11,1.0518
37.11,1.5832
38.11,0.8802
39.11,0.8338
40.11,1.0976
41.11,0.9494
42.11,0.2886
43.11,0.4623
44.11,0.2425
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.91,1.0933
1.91,1.0756
2.91,1.7688
3.91,1.2739
4.91,0.4564
5.91,1.8248
6.91,0.4837
7.91,1.0524
8.91,0.9782
9.91,1.0922
10.91,1.9186
11.91,1.4414
12.91,1.2619
13.91,0.5795
14.91,1.2727
15.91,1.657
16.91,1.1996
17.91,0.6849
18.91,1.29
19.91,1.3555
20.91,1.9394
21.91,1.8991
22.91,1.1325
23.91,1.7776
24.91,0.2227
25.91,0.9541
26.91,1.4044
27.91,1.004
28.91,0.7063
29.91,0.7743
30.91,0.8507
31.91,1.3096
32.91,1.3106
33.91,1.8203
34.91,0.2908
35.91,1.3689
36.91,0.2559
37.91,1.4253
38.91,0.0339
39.91,1.3198
40.91,0.164
41.91,0.1339
42.91,0.1712
43.91,1.6767
44.91,0.4272
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.71,0.0536
1.71,0.2351
2.71,0.9784
3.71,1.6984
4.71,0.017
5.71,0.7686
6.71,0.6289
7.71,0.3492
8.71,0.4046
9.71,0.7787
10.71,0.4573
11.71,1.1336
12.71,1.1815
13.71,1.0097
14.71,1.6215
15.71,0.5921
16.71,0.3012
17.71,0.5961
18.71,0.0797
19.71,1.6527
20.71,1.4782
21.71,0.4838
22.71,0.2553
23.71,0.1777
24.71,1.6192
25.71,0.4239
26.71,1.5469
27.71,1.6389
28.71,1.5758
29.71,0.1737
30.71,0.8944
31.71,0.2362
32.71,0.7434
33.71,0.9116
34.71,0.452
35.71,1.221
36.71,0.059
37.71,1.6719
38.71,1.9381
39.71,1.5874
40.71,0.7438
41.71,0.9375
42.71,1.363
43.71,1.2437
44.71,0.7141
