
Level: target_lvl1
Time,Entropy
0.91,1.2631
1.91,1.7083
2.91,0.9214
3.91,1.4546
4.91,0.7207
5.91,1.4461
6.91,0.7599
7.91,0.7072
8.91,0.157
9.91,1.9753
10.91,1.04
11.91,1.618
12.91,1.261
13.91,0.6862
14.91,1.6831
15.91,0.2442
16.91,1.69
17.91,1.2075
18.91,1.1586
19.91,1.6489
20.91,1.8089
21.91,1.4644
22.91,1.0957
23.91,1.2105
24.91,0.1582
25.91,1.0733
26.91,0.3126
27.91,1.9901
28.91,0.5782
29.91,1.9614
30.91,0.4848
31.91,0.4514
32.91,0.5261
33.91,0.0585
34.91,0.4621
35.91,0.3246
36.91,0.9339
37.91,1.4078
38.91,1.88
39.91,1.456
40.91,0.9638
41.91,0.5738
42.91,1.807
43.91,1.7747
44.91,0.4644
45.91,0.0202
46.91,0.1101
47.91,1.1354
48.91,0.5125
49.91,1.9774
50.91,1.4929
51.91,1.3889
52.91,0.3419
53.91,1.3695
54.91,1.3957
55.91,1.3929
56.91,1.4316
57.91,1.798
58.91,1.8266
59.91,1.5323
60.91,1.2152
61.91,0.8673
62.91,0.2777
63.91,0.081
64.91,0.0659
65.91,1.3394
66.91,0.5359
67.91,0.6687
68.91,1.1153
69.91,1.8328
70.91,1.1849
71.91,0.9638
72.91,1.2454
73.91,1.8718
74.91,0.9826
75.91,0.525
76.91,0.1967
77.91,0.45
78.91,1.1914
79.91,1.8761
80.91,0.7432
81.91,0.2588
82.91,1.4562
83.91,1.4247
84.91,1.3274
85.91,0.2951
86.91,0.65
87.91,1.0745
88.91,1.8903
89.91,1.4126
90.91,0.2888
91.91,1.5917
92.91,1.5493
93.91,0.4266
94.91,1.6016
95.91,0.4713
96.91,0.1771
97.91,0.4419
98.91,1.8634
99.91,1.1559
100.91,1.1988
101.91,1.4204
102.91,0.3503
103.91,1.5319
104.91,0.8692
105.91,0.8425
106.91,0.7369
107.91,0.8017
108.91,1.8078
109.91,0.9926
110.91,0.6445
111.91,0.0962
112.91,0.0493
113.91,1.3702
114.91,1.9928
115.91,0.3744
116.91,0.5556
117.91,0.3415
118.91,1.5217
119.91,1.3252
