=== Segment 1 Start: 16:24:17 | End: 16:24:35 ===
Time (s),x,y
0.93,49,16
1.0,82,16
1.07,115,16
1.13,148,16
1.33,148,49
1.4,115,82
1.6,82,82
1.66,49,82
1.73,16,82
1.93,16,115
1.99,16,148
2.26,49,148
2.32,82,148
2.39,115,148
2.45,148,148
2.52,181,148
2.59,214,148
2.79,214,115
2.85,214,82
3.12,247,82
3.18,280,82
3.71,313,82
3.78,346,82
4.04,346,115
4.11,346,148
4.31,379,148
4.37,412,148
4.44,445,148
4.5,478,148
4.7,478,115
4.77,478,82
4.9,445,82
4.97,412,82
5.23,412,49
5.3,412,16
5.5,445,16
5.56,478,16
5.63,511,16
5.7,544,16
5.76,577,16
5.83,610,16
5.97,610,49
6.02,610,82
6.29,577,82
6.36,544,82
6.56,544,115
6.63,544,148
6.89,577,148
6.95,610,148
7.02,643,148
7.08,676,148
7.28,676,115
7.35,676,82
7.41,676,49
7.48,676,16
7.61,709,16
7.68,742,16
7.88,742,49
7.95,742,82
8.02,742,115
8.08,742,148
8.14,742,181
8.21,742,214
8.27,742,247
8.35,709,280
8.48,676,280
8.54,643,280
8.61,610,280
8.94,610,247
9.0,610,214
9.2,577,214
9.27,544,214
9.33,511,214
9.4,478,214
9.47,445,214
9.53,412,214
9.6,379,214
9.67,346,214
9.73,346,247
9.8,346,280
10.06,379,280
10.13,412,280
10.4,412,313
10.46,412,346
10.59,445,346
10.66,478,346
10.72,511,346
10.79,544,346
10.86,577,346
10.92,610,346
11.12,610,379
11.19,610,412
11.38,577,412
11.45,544,412
11.65,544,445
11.71,544,478
11.98,577,478
12.05,610,478
12.25,610,511
12.31,610,544
12.51,577,544
12.57,544,544
12.64,511,544
12.71,478,544
12.91,478,511
12.98,478,478
13.04,478,445
13.1,478,412
13.3,445,412
13.37,412,412
13.57,412,445
13.63,412,478
13.83,379,478
13.9,346,478
14.16,346,445
14.23,346,412
14.36,313,412
14.42,280,412
14.49,247,412
14.56,214,412
14.62,181,412
14.69,148,412
14.82,148,445
14.89,148,478
15.09,115,478
15.15,82,478
15.41,82,445
15.48,82,412
15.68,49,412
15.75,16,412
16.01,16,445
16.08,16,478
16.14,16,511
16.21,16,544
16.54,49,544
16.61,82,544
16.67,115,544
16.74,148,544
16.81,181,544
16.87,214,544
17.07,214,511
17.13,214,478
17.33,247,478
17.4,280,478
17.53,280,511
17.6,280,544
17.86,313,544

=== Segment 2 Start: 16:24:35 | End: 16:24:39 ===
Time (s),x,y
0.07,45,15
0.13,75,15
0.59,75,45
0.66,75,75
0.73,75,105
0.79,75,135
0.86,75,165
0.93,75,195
0.99,75,225
1.06,75,255
1.19,105,255
1.26,135,255
1.52,135,285
1.59,135,315
1.92,105,315
1.98,75,315
2.45,45,315
2.51,15,315
2.78,15,345
2.84,15,375
2.91,15,405
2.97,15,435
3.17,45,435
3.24,75,435
3.44,75,465
3.5,75,495
3.57,75,525
3.64,75,555
3.77,105,555
3.83,135,525
4.03,135,495
4.1,135,465
4.17,135,435
4.23,135,405
4.3,135,375

=== Segment 3 Start: 16:24:39 | End: 16:25:06 ===
Time (s),x,y
0.46,40,13
0.53,67,40
0.86,67,67
1.13,40,67
1.19,13,67
1.46,13,94
1.52,13,121
1.59,13,148
1.66,13,175
1.92,40,175
1.98,67,175
2.64,94,175
2.71,121,175
3.04,121,148
3.11,121,121
3.17,121,94
3.24,121,67
3.5,148,67
3.57,175,67
3.77,175,40
3.83,175,13
4.1,202,13
4.16,229,13
4.36,229,40
4.43,229,67
4.5,229,94
4.56,229,121
4.63,229,148
4.69,229,175
4.76,229,202
4.82,229,229
4.89,229,256
4.96,229,283
5.09,202,283
5.16,175,283
5.49,175,256
5.55,175,229
5.62,175,202
5.95,148,229
6.28,121,229
6.34,94,229
6.41,67,229
6.68,67,256
6.74,67,283
6.94,94,283
7.01,121,283
7.2,121,310
7.27,121,337
7.54,94,337
7.6,67,337
7.8,67,364
7.87,67,391
8.06,94,391
8.13,121,391
8.4,121,418
8.46,121,445
8.73,148,445
8.79,175,445
8.99,175,418
9.06,175,391
9.12,175,364
9.19,175,337
9.33,202,337
9.39,229,337
10.11,229,364
10.18,229,391
10.51,256,391
10.58,283,391
10.84,283,418
10.91,283,445
11.17,310,445
11.24,337,445
11.5,337,418
11.57,337,391
11.64,337,364
11.7,337,337
11.77,337,310
11.83,337,283
11.97,310,283
12.03,283,283
12.3,283,256
12.37,283,229
12.44,283,202
12.49,283,175
12.56,283,148
12.63,283,121
12.69,283,94
12.76,283,67
12.96,310,67
13.69,337,67
13.75,364,67
13.82,391,67
13.95,391,94
14.02,391,121
15.21,364,121
15.27,337,121
15.54,337,148
15.6,337,175
15.67,337,202
15.74,337,229
15.94,364,229
16.0,391,229
16.27,391,202
16.33,391,175
16.6,418,175
16.67,445,175
16.86,445,148
16.93,445,121
17.0,445,94
17.06,445,67
17.27,472,67
17.33,499,67
17.4,526,67
17.46,553,94
17.53,580,121
17.86,607,121
17.92,634,121
17.99,661,121
18.32,661,94
18.38,661,67
18.45,661,40
18.52,661,13
18.72,688,13
18.78,715,13
18.85,742,13
18.91,769,13
19.18,769,40
19.24,769,67
19.31,769,94
19.37,769,121
19.44,769,148
19.51,769,175
19.57,769,202
19.64,769,229
19.7,769,256
19.77,769,283
19.84,769,310
19.9,769,337
19.97,769,364
20.04,769,391
20.17,742,391
20.23,715,391
20.5,715,418
20.56,715,445
20.76,688,445
20.83,661,445
20.9,634,445
20.96,607,445
21.03,580,445
21.09,553,445
21.16,526,445
21.22,499,445
21.29,472,445
21.36,445,445
21.49,445,418
21.56,445,391
21.62,445,364
21.69,445,337
21.89,418,337
21.96,391,337
22.15,391,310
22.22,391,283
22.48,418,283
22.55,445,283
22.75,445,256
22.81,445,229
23.01,472,229
23.08,499,229
23.61,499,256
23.67,499,283
23.94,526,283
24.0,553,283
24.07,580,283
24.13,607,283
24.34,607,256
24.4,580,229
24.47,553,202
24.8,553,175
25.06,580,175
25.13,607,175
25.19,634,175
25.26,661,175
25.46,661,202
25.52,661,229
25.79,688,229
25.85,715,229
26.05,715,256
26.12,715,283
26.45,688,283
26.52,661,310
26.58,634,337
26.65,607,337
26.78,607,364
26.85,607,391
27.11,634,391

=== Segment 4 Start: 16:25:06 | End: 16:25:26 ===
Time (s),x,y
0.92,14,42
0.99,14,70
1.05,14,98
1.12,14,126
1.18,14,154
1.25,14,182
1.32,14,210
1.38,14,238
1.51,42,238
1.58,70,238
1.65,98,238
1.71,126,238
1.84,126,266
1.91,126,294
2.11,154,294
2.18,182,294
2.37,182,266
2.44,182,238
2.51,182,210
2.57,182,182
2.77,210,182
2.84,238,182
2.91,266,182
2.97,294,182
3.23,294,210
3.3,294,238
3.7,294,266
3.76,294,294
4.36,266,294
4.42,238,294
4.63,238,322
4.76,210,350
4.95,182,350
5.02,154,350
5.09,126,350
5.15,98,350
5.22,70,350
5.42,70,378
6.01,70,406
6.08,70,434
6.14,70,462
6.41,98,462
6.47,126,462
6.67,126,490
6.74,126,518
7.07,154,518
7.14,182,518
7.86,182,490
7.93,182,462
8.13,210,462
8.19,238,462
