
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.03,0.934
1.03,0.6708
2.03,0.684
3.03,0.2904
4.03,0.5628
5.03,1.9609
6.03,1.3815
7.03,0.3329
8.03,0.8228
9.03,0.4115
10.03,0.8057
11.03,0.4034
12.03,1.1641
13.03,0.0276
14.03,1.2562
15.03,1.9905
16.03,0.9938
17.03,0.1955
18.03,0.2131
19.03,1.2076
20.03,1.7322
21.03,1.5775
22.03,1.8348
23.03,1.1811
24.03,1.829
25.03,1.8344
26.03,0.7229
27.03,1.0183
28.03,0.3587
29.03,0.7774
30.03,0.2141
31.03,1.9224
32.03,0.085
33.03,1.863
34.03,1.7841
35.03,0.4757
36.03,0.7656
37.03,1.2349
38.03,1.9203
39.03,1.2962
40.03,0.1919
41.03,0.6481
42.03,0.7526
43.03,0.0414
44.03,0.3675
45.03,0.2233

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.81,0.3118
1.81,1.8951
2.81,0.4762
3.81,1.76
4.81,0.0721
5.81,1.2135
6.81,0.3916
7.81,0.6313
8.81,0.7504
9.81,1.8225
10.81,0.7511
11.81,1.9568
12.81,1.5413
13.81,1.8461
14.81,0.3353
15.81,0.8427
16.81,1.2392
17.81,0.5642
18.81,1.9695
19.81,1.5982
20.81,0.5138
21.81,0.0236
22.81,0.168
23.81,0.2169
24.81,1.2557
25.81,0.3769
26.81,1.9517
27.81,1.8943
28.81,1.743
29.81,1.8942
30.81,1.9941
31.81,0.7137
32.81,1.4172
33.81,1.819
34.81,1.0579
35.81,0.1056
36.81,0.5512
37.81,0.3221
38.81,1.8315
39.81,1.2168
40.81,1.2985
41.81,1.8136
42.81,1.9822
43.81,1.4293
44.81,1.192

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.6,0.3894
1.6,1.0363
2.6,1.221
3.6,1.9022
4.6,0.6332
5.6,1.9812
6.6,0.5013
7.6,1.4596
8.6,0.5497
9.6,0.3575
10.6,0.3715
11.6,1.12
12.6,1.2721
13.6,0.7584
14.6,0.6476
15.6,1.0764
16.6,0.4638
17.6,0.2403
18.6,1.6153
19.6,0.4198
20.6,0.5242
21.6,0.0033
22.6,1.1918
23.6,1.0135
24.6,1.2086
25.6,1.1321
26.6,0.9708
27.6,0.672
28.6,0.8309
29.6,0.5457
30.6,0.457
31.6,0.0235
32.6,0.9252
33.6,0.9013
34.6,1.7211
35.6,0.0921
36.6,1.722
37.6,1.5663
38.6,1.6312
39.6,0.0103
40.6,0.3777
41.6,1.2255
42.6,1.7929
43.6,0.9106
44.6,1.1933

Level: target_lvl1
Time,Entropy
0.79,1.224
1.79,1.2869
2.79,1.6858
3.79,0.8175
4.79,1.038
5.79,1.7849
6.79,1.6482
7.79,1.8398
8.79,0.7463
9.79,0.9938
10.79,1.0289
11.79,1.0552
12.79,1.2696
13.79,0.7382
14.79,1.3306
15.79,0.4282
16.79,1.5605
17.79,1.4709
18.79,1.1087
19.79,0.6157
20.79,0.1633
21.79,0.4181
22.79,0.5751
23.79,0.4377
24.8,1.778
25.79,0.9475
26.79,1.3475
27.8,1.9322
28.79,0.692
29.79,1.5404
30.79,0.3587
31.79,1.5134
32.79,1.656
33.79,0.9638
34.79,0.5455
35.79,1.3322
36.79,0.7934
37.79,0.7549
38.79,0.914
39.8,1.3929
40.79,1.0577
41.8,1.5246
42.8,1.2335
43.79,0.9727
44.79,1.3425
45.79,1.3496
46.79,0.014
47.79,0.8756
48.79,0.6509
49.8,0.8897
50.79,1.1457
51.79,1.0821
52.79,0.7843
53.79,1.281
54.79,0.0039
55.79,1.4394
56.79,1.4999
57.79,0.0763
58.79,0.2519
59.79,0.3515
60.79,1.5335
61.79,0.8944
62.79,0.6685
63.79,0.8939
64.79,1.784
65.79,1.8405
66.79,0.894
67.79,1.3822
68.79,0.3082
69.79,1.6774
70.79,1.1922
71.79,0.7761
72.79,0.3575
73.79,1.4824
74.79,1.1246
75.79,1.412
76.79,0.0992
77.79,0.8007
78.8,1.1077
79.79,1.881
80.8,1.3848
81.79,1.6377
82.79,1.4669
83.79,0.4525
84.79,1.9628
85.8,0.9224
86.79,0.2931
87.79,1.3123
88.79,1.7744
89.79,1.1576
90.79,1.2839
91.79,0.6545
92.79,0.6689
93.79,1.0807
94.79,0.6132
95.79,0.6849
96.79,0.856
97.79,0.0975
98.79,0.4151
99.79,0.7255
100.79,0.2784
101.79,1.2354
102.79,0.007
103.79,0.9312
104.79,0.1067
105.79,1.7367
106.79,1.9867
107.79,1.1417
108.79,1.7664
109.79,1.1995
110.8,0.0785
111.79,1.3474
112.79,0.3471
113.79,1.7148
114.79,1.3614
115.79,0.1075
116.79,0.1738
117.79,1.3754
118.79,0.5307
119.79,1.9746
