Time,Shape,Color,PressedKey,Result
2.22,triangle,pink,RIGHT,correct
3.65,square,white,RIGHT,wrong
6.6,circle,green,LEFT,correct
8.09,triangle,yellow,RIGHT,correct
11.14,circle,blue,LEFT,correct
14.22,triangle,orange,LEFT,wrong
15.81,square,yellow,RIGHT,wrong
17.27,triangle,pink,RIGHT,correct
21.94,circle,yellow,LEFT,correct
23.53,circle,blue,LEFT,correct
24.92,circle,green,LEFT,correct
26.47,square,red,RIGHT,wrong
27.89,triangle,red,RIGHT,correct
29.39,square,grey,RIGHT,wrong
31.01,circle,yellow,LEFT,correct
34.12,square,yellow,RIGHT,wrong
35.68,circle,red,LEFT,correct
37.0,square,red,RIGHT,wrong
40.08,circle,orange,LEFT,correct
41.65,triangle,grey,RIGHT,correct
43.54,square,red,RIGHT,wrong
