Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.85,1.8001
1.85,1.0132
2.85,1.9088
3.85,1.9418
4.85,1.1296
5.85,1.9663
6.85,1.4367
7.85,1.8141
8.85,0.9062
9.85,0.2973
10.85,0.6582
11.85,0.1828
12.85,0.4539
13.85,1.1411
14.85,1.5404
15.85,0.9261
16.85,0.5453
17.85,0.3878
18.85,1.8882
19.85,0.3185
20.85,1.1861
21.85,1.7867
22.85,0.4432
23.85,0.122
24.85,1.2262
25.85,0.8972
26.85,1.0138
27.85,0.0559
28.85,0.0288
29.85,0.3882
30.85,1.7043
31.85,0.4419
32.85,1.0269
33.85,0.0478
34.85,1.9447
35.85,1.222
36.85,0.2997
37.85,1.944
38.85,1.1981
39.85,0.3245
40.85,1.8156
41.85,1.8924
42.85,0.5766
43.85,1.6508
44.85,0.0963
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.65,0.8438
1.65,0.0288
2.65,0.7845
3.65,0.8458
4.65,1.3508
5.65,1.176
6.65,0.9455
7.65,0.8279
8.65,0.8036
9.65,1.7477
10.65,1.9399
11.65,0.224
12.65,0.805
13.65,1.1635
14.65,1.4411
15.65,1.1652
16.65,1.8275
17.65,0.4786
18.65,0.5541
19.65,0.3737
20.65,1.7336
21.65,0.293
22.65,1.1687
23.65,0.0955
24.65,1.2977
25.65,0.8504
26.65,1.7419
27.65,1.5278
28.65,1.7548
29.65,0.2259
30.65,0.695
31.65,1.4537
32.65,1.9302
33.65,1.8615
34.65,0.9688
35.65,0.0691
36.65,0.778
37.65,0.349
38.65,1.1272
39.65,1.4549
40.65,1.6736
41.65,1.4705
42.65,0.3788
43.65,1.177
44.65,1.5681
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.46,0.6516
1.46,1.3306
2.46,0.4373
3.46,1.3471
4.46,1.0336
5.46,1.022
6.46,0.5417
7.46,0.3324
8.46,0.466
9.46,1.2747
10.46,1.2914
11.46,1.5123
12.46,1.6017
13.46,0.856
14.46,0.146
15.46,0.7935
16.46,0.8902
17.46,1.4163
18.46,1.059
19.46,1.5008
20.46,1.2736
21.46,0.6063
22.46,0.4973
23.46,0.4639
24.46,0.1997
25.46,1.0405
26.46,1.1383
27.46,1.1549
28.46,1.6302
29.46,1.6672
30.46,0.8863
31.46,1.2638
32.46,0.7632
33.46,0.2444
34.46,0.6896
35.46,0.7822
36.46,1.9851
37.46,1.6995
38.46,0.8336
39.46,1.2565
40.46,0.6882
41.46,1.7004
42.46,1.6493
43.46,1.2674
44.46,0.8202
