
Level: target_lvl2
Time,Entropy
0.02,0.1585
1.02,1.0586
2.02,1.9182
3.02,0.6475
4.02,0.8669
5.02,1.1237
6.02,0.823
7.02,0.8393
8.02,0.3731
9.02,1.1715
10.02,1.7244
11.02,1.1002
12.02,0.1381
13.02,1.553
14.02,1.5595
15.02,0.5879
16.02,0.5746
17.02,0.4742
18.02,0.4359
19.02,0.1572
20.02,1.3368
21.02,0.7424
22.02,0.1587
23.02,1.1462
24.02,0.475
25.02,0.4629
26.02,0.2827
27.02,0.1185
28.02,1.3526
29.02,1.3265
30.02,1.3713
31.02,1.8799
32.02,1.8526
33.02,0.0007
34.02,0.7481
35.02,1.0805
36.02,1.7186
37.02,1.6786
38.02,0.344
39.02,0.673
40.02,0.0029
41.02,1.3865
42.02,1.2143
43.02,1.9943
44.02,1.3645
45.02,1.5013
46.02,0.6172
47.02,0.6306
48.02,1.9113
49.02,0.1972
50.02,1.5878
51.02,0.7015
52.02,1.2173
53.02,0.1833
54.02,1.2657
55.02,1.7263
56.02,0.1217
57.02,0.6543
58.02,0.7246
59.02,0.3756
60.02,0.1571
61.02,1.8496
62.02,0.47
63.02,0.1768
64.02,1.7859
65.02,0.2498
66.02,1.1337
67.02,0.1563
68.02,1.4341
69.02,0.8648
70.02,1.4123
71.02,1.3016
72.02,1.9662
73.02,1.9497
74.02,1.9785
75.02,1.2755
76.02,0.7321
77.02,1.1203
78.02,0.3401
79.02,0.7358
80.02,0.3922
81.02,0.4885
82.02,1.7848
83.02,1.3924
84.02,1.3834
85.02,0.7403
86.02,0.5295
87.02,1.9752
88.02,0.2982
89.02,0.7521
90.02,0.4706
91.02,0.3223
92.02,0.763
93.02,0.2501
94.02,0.3299
95.02,1.1034
96.02,1.2238
97.02,0.2943
98.02,0.5073
99.02,0.436
100.02,1.2197
101.02,1.9945
102.02,1.788
103.02,1.1189
104.02,1.9338
105.02,0.4238
106.02,1.0084
107.02,1.8806
108.02,1.3635
109.02,1.6873
110.02,0.205
111.02,1.4964
112.02,0.8656
113.02,1.5936
114.02,0.1294
115.02,1.8276
116.02,0.9166
117.02,0.8133
118.02,1.6734
119.02,1.9942
