=== Segment 1 Start: 15:45:02 | End: 15:45:14 ===
Time (s),x,y
1.13,39,13
1.2,65,13
1.27,91,13
1.33,117,13
1.4,143,13
1.47,169,13
1.53,195,13
1.6,221,13
1.67,247,13
1.73,273,13
1.8,299,13
1.87,325,13
1.93,351,13
2.0,377,13
2.06,403,13
2.13,429,13
2.39,429,39
2.46,429,65
2.66,403,65
2.72,377,65
2.79,351,65
2.86,325,65
3.12,325,91
3.19,325,117
3.25,325,143
3.32,325,169
3.52,299,169
3.58,273,169
3.85,273,195
3.91,273,221
4.18,299,221
4.24,325,221
4.44,325,247
4.51,299,273
4.57,273,299
4.64,247,325
4.71,221,351
4.97,221,377
5.04,221,403
5.1,221,429
6.16,195,429
6.23,169,429
6.43,169,455
6.49,169,481
6.76,143,481
6.82,117,481
7.02,117,455
7.09,117,429
7.35,91,429
7.42,65,429
7.68,65,403
7.75,65,377
8.41,39,377
8.47,13,377
8.74,13,351
8.8,13,325
9.13,39,325
9.2,65,325
9.33,65,299
9.4,65,273
9.73,39,273
9.79,13,273
10.0,13,247
10.06,13,221
10.13,13,195
10.19,13,169
10.26,13,143
10.32,13,117
10.39,13,91
10.46,13,65
10.66,39,65
10.72,65,65
10.99,65,91
11.05,65,117
11.32,91,117
11.38,117,117
11.65,117,143
11.71,117,169
11.78,117,195
11.85,117,221
11.91,117,247
11.98,117,273
12.04,117,299
12.11,117,325
12.17,117,351
12.24,117,377
12.44,143,377
12.5,169,377

=== Segment 2 Start: 15:45:14 | End: 15:45:30 ===
Time (s),x,y
0.6,143,377
0.66,117,377
0.8,117,351
0.86,117,325
0.93,117,299
1.0,117,273
1.06,117,247
1.13,117,221
1.19,117,195
1.26,117,169
1.33,117,143
1.39,117,117
1.99,91,117
2.05,65,117
2.38,65,91
2.45,65,65
2.65,39,65
2.71,13,65
3.24,13,91
3.31,13,117
3.37,13,143
3.44,13,169
3.51,13,195
3.57,13,221
3.64,13,247
3.71,13,273
3.84,39,273
3.9,65,273
4.23,65,299
4.3,65,325
4.5,39,325
4.57,13,325
4.76,13,351
4.83,13,377
5.03,39,377
5.09,65,377
5.42,65,403
5.49,65,429
6.15,91,429
6.22,117,429
6.48,117,455
6.55,117,481
6.88,143,481
6.94,169,481
7.01,195,481
7.08,221,481
7.14,247,481
7.21,273,481
7.28,299,481
7.34,325,481
7.61,325,455
7.68,325,429
7.87,299,429
7.94,273,429
8.13,273,403
8.2,273,377
8.47,299,377
8.53,325,377
8.73,325,351
8.8,325,325
9.06,351,325
9.13,377,325
9.19,403,325
