
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.83,1.9236
1.83,0.4172
2.83,0.6132
3.83,1.7485
4.83,0.5225
5.83,1.2609
6.83,1.8028
7.83,1.9088
8.83,0.657
9.83,0.3347
10.83,0.519
11.83,0.0931
12.83,1.6087
13.83,0.5417
14.83,1.2606
15.83,0.2739
16.83,1.3576
17.83,0.5098
18.83,1.2243
19.83,1.4111
20.83,1.6667
21.83,1.1918
22.83,0.946
23.83,1.2581
24.83,1.353
25.83,0.9593
26.83,1.8367
27.83,0.9599
28.83,0.0675
29.83,0.4724
30.83,1.5875
31.83,1.3728
32.83,0.9283
33.83,1.2763
34.83,1.0801
35.83,1.7254
36.83,1.8996
37.83,0.9206
38.83,1.8905
39.83,0.809
40.83,1.7594
41.83,0.049
42.83,0.7531
43.83,1.5675
44.83,1.833

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.61,1.7305
1.61,1.5806
2.61,0.7026
3.62,0.6674
4.61,0.5593
5.61,1.3155
6.61,0.8354
7.61,0.165
8.61,0.4118
9.62,1.7369
10.61,0.0803
11.61,1.0712
12.62,0.3329
13.61,1.1575
14.62,1.6583
15.61,1.3222
16.61,1.9704
17.61,0.8914
18.61,0.0958
19.61,0.2358
20.62,1.0762
21.61,1.3521
22.61,0.0512
23.61,1.4906
24.61,1.1931
25.61,0.9403
26.61,1.6969
27.61,0.6195
28.61,1.5947
29.61,1.4074
30.61,0.2382
31.62,1.4834
32.61,0.4836
33.61,0.8154
34.61,1.68
35.61,1.5412
36.61,0.1592
37.61,0.6225
38.61,1.912
39.62,0.0144
40.61,1.405
41.62,1.9659
42.61,0.7508
43.61,0.3763
44.61,0.6779

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.42,0.9455
1.42,1.1349
2.42,0.6172
3.42,1.2772
4.42,0.4739
5.42,0.2309
6.42,0.7017
7.42,0.1262
8.42,0.6661
9.42,1.2615
10.42,0.3695
11.42,0.2257
12.42,1.7723
13.42,0.2198
14.42,1.0386
15.42,1.3533
16.42,1.2764
17.42,1.4216
18.42,0.437
19.42,1.1893
20.42,1.754
21.42,0.1532
22.42,1.4659
23.42,1.7594
24.42,0.6106
25.42,0.3549
26.42,1.1803
27.42,1.4564
28.42,0.0888
29.42,0.4587
30.42,1.2719
31.42,0.8323
32.42,0.6359
33.42,0.6952
34.42,0.2717
35.42,1.5848
36.42,0.2385
37.42,1.8381
38.42,0.892
39.42,1.8475
40.42,0.2945
41.42,1.8731
42.42,0.6173
43.42,1.2665
44.42,1.7823

Level: target_lvl1
Time,Entropy
0.02,0.6709
1.02,0.8477
2.02,1.9656
3.02,0.1624
4.02,1.032
5.02,1.1279
6.02,0.1755
7.02,0.5654
8.02,0.135
9.02,1.6789
10.02,0.9187
11.02,0.9494
12.02,1.9722
13.02,0.1796
14.02,0.8832
15.02,0.4497
16.02,1.0884
17.02,0.0206
18.02,0.5605
19.02,1.2315
20.02,1.0117
21.02,0.2722
22.02,1.9233
23.02,0.9245
24.02,1.8051
25.02,0.4189
26.02,1.1692
27.02,1.9245
28.02,0.8849
29.02,1.5569
30.02,0.9758
31.02,0.1581
32.02,0.5529
33.02,0.4976
34.02,0.0392
35.02,1.6514
36.02,1.2982
37.02,0.2765
38.02,1.9182
39.02,1.2582
40.02,0.6972
41.02,1.4685
42.02,0.8312
43.02,0.2255
44.02,0.2246
45.02,0.0148
46.02,1.8168
47.02,1.7905
48.02,1.8625
49.02,1.0219
50.02,0.9546
51.02,0.3791
52.02,1.4207
53.02,1.1994
54.02,0.7206
55.02,0.8354
56.02,0.0014
57.02,0.3562
58.02,0.5948
59.02,0.1565
60.02,0.6534
61.02,0.6076
62.02,0.4297
63.02,1.6671
64.02,0.373
65.02,0.5333
66.02,1.9093
67.02,1.5149
68.02,1.5984
69.02,0.2199
70.02,0.2587
71.02,1.9051
72.02,0.0919
73.02,0.2826
74.02,0.303
75.02,1.6491
76.02,1.5837
77.02,0.8686
78.02,1.132
79.02,0.5772
80.02,0.1374
81.02,0.7192
82.02,1.791
83.02,0.0787
84.02,1.8826
85.02,0.8241
86.02,0.7416
87.02,0.8279
88.02,1.046
89.02,1.8091
90.02,0.3132
91.02,0.7777
92.02,1.1132
93.02,1.3511
94.02,0.709
95.02,1.5403
96.02,1.1945
97.02,1.0851
98.02,1.9102
99.02,1.032
100.02,0.6195
101.02,0.2057
102.02,0.0844
103.02,0.4296
104.02,1.0348
105.02,0.9959
106.02,0.9252
107.02,0.0878
108.02,1.5108
109.02,1.4819
110.02,1.1086
111.02,0.9413
112.02,0.8263
113.02,1.7299
114.02,1.3385
115.02,0.6069
116.02,0.265
117.02,0.3878
118.02,0.8592
119.02,0.0982
120.02,0.6682
