Time,Shape,Color,PressedKey,Result
2.42,circle,red,LEFT,correct
3.65,circle,blue,LEFT,correct
6.66,circle,yellow,LEFT,correct
8.12,square,blue,RIGHT,wrong
9.81,circle,white,LEFT,correct
11.2,square,orange,RIGHT,wrong
12.76,square,grey,LEFT,wrong
14.28,square,red,RIGHT,wrong
15.77,square,grey,RIGHT,wrong
17.16,square,pink,RIGHT,wrong
18.69,circle,yellow,LEFT,correct
23.53,circle,grey,LEFT,correct
25.15,triangle,blue,RIGHT,correct
26.51,triangle,orange,RIGHT,correct
28.13,circle,blue,LEFT,correct
29.48,square,red,RIGHT,wrong
32.66,triangle,white,LEFT,wrong
37.14,square,yellow,RIGHT,wrong
38.66,square,green,RIGHT,wrong
40.25,triangle,green,LEFT,wrong
43.27,square,grey,RIGHT,wrong
44.95,circle,yellow,LEFT,correct
