Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.78,1.8303
1.78,0.8988
2.78,1.3239
3.78,1.9301
4.78,1.7606
5.78,1.7715
6.78,0.9724
7.78,0.3977
8.78,0.4909
9.78,1.7524
10.78,0.8152
11.78,1.2765
12.78,0.7879
13.78,1.5715
14.78,1.9147
15.78,1.4729
16.78,0.8354
17.78,1.9461
18.78,0.736
19.78,0.2628
20.78,0.9981
21.78,0.0213
22.78,0.8773
23.78,0.5229
24.78,0.2228
25.78,1.8589
26.78,1.0234
27.78,0.7292
28.78,0.0274
29.78,0.3034
30.78,0.385
31.78,1.1038
32.78,0.1614
33.78,1.853
34.78,1.0632
35.78,0.6805
36.78,0.0785
37.78,1.4683
38.78,1.8595
39.78,1.6238
40.78,0.8664
41.78,0.2696
42.78,0.751
43.78,0.0796
44.78,0.2859
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.58,1.8399
1.58,0.4014
2.58,1.7942
3.58,1.0513
4.58,1.2236
5.58,0.6697
6.58,0.9516
7.58,0.3788
8.58,0.7643
9.58,0.0616
10.58,0.9843
11.58,1.0948
12.58,0.52
13.58,0.2749
14.58,1.5969
15.58,1.7504
16.58,1.5864
17.58,1.1343
18.58,1.6287
19.58,1.4932
20.58,0.5944
21.58,0.2181
22.58,1.0298
23.58,1.5249
24.58,0.2343
25.58,0.3642
26.58,1.1768
27.58,0.6079
28.58,1.606
29.58,1.0131
30.58,1.5963
31.58,0.1339
32.58,0.8623
33.58,0.6458
34.58,0.0234
35.58,0.4073
36.58,0.4195
37.58,0.8667
38.58,0.2239
39.58,0.2295
40.58,1.2272
41.58,1.2503
42.58,0.5709
43.58,0.7052
44.58,1.5217
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.38,1.7638
1.38,1.2609
2.38,0.2457
3.38,1.0393
4.38,0.3582
5.38,0.9387
6.38,0.386
7.38,0.6619
8.38,1.1645
9.38,0.1687
10.38,1.0112
11.38,0.6985
12.38,0.053
13.38,1.2006
14.38,1.7593
15.38,0.2438
16.38,1.168
17.38,1.0139
18.38,1.5788
19.38,1.6333
20.38,0.3632
21.38,1.3542
22.38,0.9978
23.38,1.8926
24.38,0.1943
25.38,0.0891
26.38,0.7999
27.38,1.9373
28.38,0.9202
29.39,0.5654
30.38,0.7672
31.38,0.3211
32.38,0.2974
33.38,1.514
34.38,0.2237
35.38,0.9652
36.38,0.3576
37.38,1.2394
38.38,0.6777
39.38,0.8693
40.38,0.8651
41.38,0.4968
42.38,1.7099
43.38,1.2637
44.38,0.5508
