=== Segment 1 Start: 13:27:52 | End: 13:28:03 ===
Time (s),x,y
1.13,60,20
1.2,100,20
1.53,100,60
1.73,100,100
2.19,60,100
2.26,20,100
2.59,20,140
2.65,20,180
2.98,60,180
3.05,100,180
3.12,140,180
3.18,180,180
3.51,180,140
3.58,180,100
3.84,220,100
3.91,260,100
4.11,260,60
4.18,260,20
4.44,300,20
4.51,340,20
5.1,340,60
5.43,380,100
5.7,420,100
5.9,420,60
5.96,420,20
6.23,460,20
6.29,500,20
6.69,500,60
6.75,500,100
7.55,540,100
7.61,580,100
7.68,620,100
7.74,660,100
8.07,660,140
8.14,660,180
8.21,660,220
8.27,660,260
8.6,620,260
8.67,580,260
8.74,540,260
8.8,500,260
9.0,500,300
9.07,500,340
9.33,460,340
9.4,420,340
9.73,420,300
9.8,420,260
10.19,380,260
10.26,340,260
10.72,340,300
10.79,340,340
10.86,340,380

=== Segment 2 Start: 13:28:03 | End: 13:28:08 ===
Time (s),x,y
0.07,340,420
0.92,380,420
0.99,420,420
1.32,420,460
1.39,420,500
1.72,460,500
1.79,500,500
2.71,500,540
2.78,540,580
3.31,500,580
3.37,460,580
3.44,420,580
3.51,380,580
3.57,340,580
3.84,340,540
3.9,340,500
4.3,300,500
4.36,260,500
4.43,220,500
4.5,180,500
4.83,180,540
4.89,180,580

=== Segment 3 Start: 13:28:08 | End: 13:28:10 ===
Time (s),x,y
1.85,180,540
1.92,180,500
2.25,220,500
2.32,260,500
2.38,300,500

=== Segment 4 Start: 13:28:10 | End: 13:28:15 ===
Time (s),x,y
0.07,340,500
0.73,340,540
0.79,340,580
1.65,380,580
1.72,420,580
1.78,460,580
1.85,500,580
2.38,500,540
2.44,500,500
4.29,460,500
4.36,420,500
4.95,420,460
5.02,420,420
5.48,380,420

=== Segment 5 Start: 13:28:15 | End: 13:28:29 ===
Time (s),x,y
0.07,340,420
0.72,340,380
0.79,340,340
0.86,340,300
0.92,340,260
1.38,380,260
1.45,420,260
1.92,420,300
1.98,420,340
2.25,460,340
2.31,500,340
2.58,500,300
2.64,500,260
3.11,540,260
3.17,580,260
3.24,620,260
3.31,660,260
3.64,660,220
3.7,660,180
3.77,660,140
3.83,660,100
4.23,620,100
4.3,580,100
4.37,540,100
4.43,500,100
4.63,500,60
4.69,500,20
5.02,460,20
5.09,420,20
5.35,420,60
5.42,420,100
5.75,380,100
5.82,340,100
6.15,340,60
6.21,340,20
6.48,300,20
6.54,260,20
6.61,220,20
6.94,260,60
7.47,260,100
8.46,220,100
8.53,180,100
9.59,180,140
9.65,180,180
9.92,140,180
9.98,100,180
10.05,60,180
10.12,20,180
11.37,20,140
11.44,20,100
11.7,60,100
11.77,100,100
13.16,100,60
13.22,100,20
13.62,60,20

=== Segment 6 Start: 13:28:29 | End: 13:29:03 ===
Time (s),x,y
0.07,20,20
3.31,60,20
3.38,100,20
3.84,100,60
3.91,100,100
4.3,60,100
4.37,20,100
4.63,20,140
4.7,20,180
5.1,60,180
5.16,100,180
5.23,140,180
5.29,180,180
5.56,180,140
5.63,180,100
7.74,220,100
7.81,260,100
8.34,260,60
8.4,260,20
8.8,300,20
8.87,340,20
11.71,340,60
12.05,340,100
12.5,380,100
12.57,420,100
13.1,420,60
13.17,420,20
13.57,460,20
13.63,500,20
14.36,500,60
14.43,500,100
14.76,540,100
14.83,580,100
14.89,620,100
14.96,660,100
15.49,660,140
15.56,660,180
15.62,660,220
15.69,660,260
17.01,620,260
17.08,580,260
17.14,540,260
17.21,500,260
17.74,500,300
17.8,500,340
18.14,460,340
18.2,420,340
18.53,420,300
18.6,420,260
19.06,380,260
19.13,340,260
19.53,340,300
19.59,340,340
19.66,340,380
19.73,340,420
20.19,380,420
20.26,420,420
21.05,420,460
21.12,420,500
24.89,460,500
24.96,500,500
25.68,500,540
25.75,500,580
26.34,460,580
26.41,420,580
26.48,380,580
26.54,340,580
27.07,340,540
27.13,340,500
27.6,300,500
27.66,260,500
27.73,220,500
27.8,180,500
28.26,180,540
28.33,180,580
28.79,140,580
28.85,100,580
29.32,100,540
29.38,100,500
29.78,60,500
29.84,20,500
30.24,20,460
30.31,20,420
30.37,20,380
30.44,20,340
30.83,60,340
30.9,100,340
31.3,100,380
31.36,100,420
31.83,140,420
31.89,180,420
31.96,220,420
32.03,260,420
32.56,260,380
32.62,260,340
32.69,260,300
33.15,260,260
33.22,260,220
33.62,260,260
34.01,220,260
34.08,180,260

=== Segment 7 Start: 13:29:03 | End: 13:29:32 ===
Time (s),x,y
0.07,140,260
0.13,100,260
0.2,60,260
0.26,20,260
0.92,60,260
0.99,100,260
1.06,140,260
1.12,180,260
1.19,220,260
1.26,260,260
1.78,260,300
1.85,260,340
1.92,260,380
1.98,260,420
2.58,220,420
2.65,180,420
2.71,140,420
2.78,100,420
3.11,100,380
3.17,100,340
3.5,60,340
3.57,20,340
3.9,20,380
3.97,20,420
4.03,20,460
4.1,20,500
4.17,20,540
4.23,20,580
6.74,20,540
6.81,20,500
6.87,20,460
6.94,20,420
7.01,20,380
7.27,20,420
7.34,20,460
7.4,20,500
8.66,60,500
8.73,100,500
9.19,100,540
9.26,100,580
9.72,140,580
9.78,180,580
10.18,180,540
10.25,180,500
10.64,220,500
10.71,260,500
10.78,300,500
10.84,340,500
11.24,340,540
11.31,340,580
12.76,380,580
12.83,420,580
12.89,460,580
12.96,500,580
13.02,540,580
13.09,580,580
14.22,540,580
14.28,500,580
14.35,460,580
15.08,500,540
15.94,460,500
16.0,420,460
16.2,420,420
16.33,380,420
16.6,340,380
16.86,340,340
16.93,340,300
17.0,340,260
17.2,380,260
17.26,420,260
22.49,420,300
22.55,420,340
23.02,460,340
23.08,500,340
