
Level: target_lvl2
Time,Entropy
0.2,0.7046
1.2,1.3335
2.2,0.2502
3.2,0.826
4.2,0.1301
5.2,1.0681
6.2,1.2661
7.2,0.0853
8.2,1.0437
9.2,1.8816
10.2,1.381
11.2,0.3709
12.2,1.6752
13.2,1.8522
14.2,1.3858
15.2,1.3604
16.2,0.5623
17.2,0.4974
18.2,1.1638
19.2,1.2257
20.2,0.6161
21.2,1.0639
22.2,0.8711
23.2,1.3873
24.2,0.9259
25.2,1.9751
26.2,1.5124
27.2,1.6654
28.2,1.4664
29.2,0.5419
30.2,0.8766
31.2,1.4219
32.2,0.9812
33.2,0.7132
34.2,1.2284
35.2,1.8981
36.2,0.4759
37.2,1.9704
38.2,1.7245
39.2,0.1229
40.2,1.8875
41.2,1.4721
42.2,0.8505
43.2,0.1714
44.2,0.6625
45.2,1.6647
46.2,0.7469
47.2,1.96
48.2,1.0556
49.2,0.273
50.2,0.3005
51.2,0.5693
52.2,0.1191
53.2,1.8664
54.2,1.9258
55.2,1.8
56.2,1.7761
57.2,1.6113
58.2,1.8497
59.2,0.7548
60.2,1.2315
61.2,1.4219
62.2,1.5162
63.2,1.7506
64.2,1.9657
65.2,0.3777
66.2,0.554
67.2,0.1889
68.2,0.4408
69.2,1.8161
70.2,0.7931
71.2,1.399
72.2,0.9092
73.2,0.5179
74.2,0.3584
75.2,0.7524
76.2,0.2885
77.2,1.3402
78.2,1.0231
79.2,0.4655
80.2,0.2555
81.2,0.6302
82.2,0.6177
83.2,1.8404
84.2,1.5773
85.2,0.4786
86.2,1.278
87.2,0.6867
88.2,0.3641
89.2,1.8424
90.2,1.594
91.2,0.1518
92.2,1.4037
93.2,1.6064
94.2,0.1442
95.2,1.0587
96.2,0.6077
97.2,1.7019
98.2,1.9373
99.2,0.1696
100.2,1.5016
101.2,1.8502
102.2,0.1772
103.2,1.6278
104.2,0.3456
105.2,1.0124
106.2,1.3552
107.2,1.8852
108.2,0.6215
109.2,1.0349
110.2,0.8099
111.2,1.0167
112.2,1.0239
113.2,1.4361
114.2,1.8942
115.2,0.5136
116.2,1.6069
117.2,1.3342
118.2,0.9558
119.2,0.6682

Level: target_lvl3
Time,Entropy
0.31,0.8362
1.31,0.5022
2.31,0.6956
3.31,0.9139
4.31,0.9756
5.31,0.067
6.31,0.5845
7.31,1.3725
8.31,1.4134
9.31,1.0178
10.31,1.9097
11.31,1.394
12.31,0.0297
13.31,0.7947
14.31,0.5451
15.31,1.3811
16.31,0.4228
17.31,1.4058
18.31,1.8045
19.31,1.1202
20.31,1.4343
21.31,0.0109
22.31,0.2727
23.31,1.0871
24.31,1.7546
25.31,0.8425
26.31,1.3102
27.31,0.413
28.31,0.4766
29.31,0.2869
30.31,1.7486
31.31,0.8286
32.31,1.6231
33.31,1.3667
34.31,0.4366
35.31,0.4569
36.31,0.8038
37.31,1.7664
38.31,0.5112
39.31,0.7562
40.31,1.6941
41.31,0.9906
42.31,1.4587
43.31,1.6684
44.31,0.7586
45.31,0.9747
46.31,1.2869
47.31,1.1777
48.31,1.2535
49.31,0.1503
50.31,1.5277
51.31,0.6187
52.31,1.4336
53.31,1.5067
54.31,0.408
55.31,1.5769
56.31,0.1323
57.31,0.2558
58.31,1.258
59.31,0.147
60.31,1.2131
61.31,0.1768
62.31,1.7603
63.31,1.4582
64.31,0.7509
65.31,0.835
66.31,0.6991
67.31,0.3952
68.31,0.6847
69.31,1.3976
70.31,0.5719
71.31,0.2367
72.31,1.6504
73.31,0.9119
74.31,1.9821
75.31,1.3995
76.31,0.851
77.31,0.1588
78.31,0.6465
79.31,1.6924
80.31,0.0729
81.31,1.2815
82.31,0.2736
83.31,0.648
84.31,0.0751
85.31,1.6063
86.31,1.1829
87.31,0.1401
88.31,0.8551
89.31,1.0624
90.31,1.8969
91.31,1.9609
92.31,1.0232
93.31,0.6806
94.31,0.1912
95.31,1.6375
96.31,0.1437
97.31,1.9469
98.31,1.4338
99.31,0.738
100.31,0.8338
101.31,1.8698
102.31,1.6952
103.31,1.408
104.31,1.3265
105.31,0.6617
106.31,1.8175
107.31,1.3763
108.31,0.2912
109.31,0.9357
110.31,1.3226
111.31,0.6196
112.31,1.6823
113.31,0.2694
114.31,0.7457
115.31,1.0903
116.31,0.3998
117.31,0.8303
118.31,0.1656
119.31,0.3216
