Cue,Response,Correct,Reaction Time,Game Time
right,right,True,0.663,0.66
right,right,True,0.727,2.75
left,left,True,0.298,4.34
right,right,True,0.333,6.4
left,left,True,0.331,8.42
right,right,True,0.299,10.41
left,left,True,0.266,12.4
left,left,True,0.331,14.49
right,right,True,0.298,16.48
right,right,True,0.464,18.66
left,left,True,0.297,20.52
right,right,True,0.301,22.54
left,left,True,0.266,24.53
right,right,True,0.299,26.59
right,right,True,0.464,28.77
right,right,True,0.397,30.73
right,right,True,0.298,32.64
left,left,True,0.266,34.63
right,right,True,0.266,36.66
right,right,True,0.398,38.81
left,left,True,0.33,40.77
left,left,True,0.297,42.75
right,right,True,0.3,44.77
right,right,True,0.265,46.76
left,left,True,0.331,48.85
left,left,True,0.333,50.88
right,right,True,0.297,52.86
left,left,True,0.333,54.92
right,right,True,0.33,56.94
left,left,True,0.396,59.03
