Time,Entropy
0.45,0.5021
1.45,1.9868
2.45,0.4272
3.45,0.3071
4.45,1.5824
5.45,1.4363
6.45,0.5572
7.45,1.5374
8.45,1.8137
9.45,0.579
10.45,0.7405
11.45,1.2193
12.45,0.6232
13.45,0.9366
14.45,0.0214
15.45,0.1513
16.45,0.1095
17.45,0.4745
18.45,1.2839
19.45,0.6715
20.45,1.6917
21.45,1.236
22.45,0.0111
23.45,1.1712
24.45,0.1812
25.45,0.3784
26.45,1.796
27.45,1.8853
28.45,1.8872
29.45,0.3192
30.45,0.721
31.45,0.5983
32.45,1.4171
33.45,1.8024
34.45,0.4361
35.45,1.6609
36.45,1.9078
37.45,0.6377
38.45,1.5099
39.45,0.6367
40.45,0.9367
41.45,1.754
42.45,0.3758
43.45,1.142
44.45,0.9602
45.45,1.6529
46.45,1.3728
47.45,0.2966
48.45,1.689
49.45,0.9618
50.45,1.5892
51.45,0.4318
52.45,0.9827
53.45,1.6335
54.45,1.1197
55.45,0.002
56.45,1.5306
57.45,0.2674
58.45,0.5772
59.45,0.4771
