Time,Entropy
0.79,0.6165
1.79,1.9431
2.79,0.3731
3.79,1.8676
4.79,0.074
5.79,0.2047
6.79,0.9223
7.79,1.2074
8.79,1.7994
9.79,0.8902
10.79,1.8142
11.79,0.6097
12.79,1.0257
13.79,0.2241
14.79,0.6923
15.79,1.4466
16.79,1.4436
17.79,0.767
18.79,0.5198
19.79,0.2204
20.79,0.1193
21.79,1.4631
22.79,0.1158
23.79,0.4703
24.79,0.6591
25.79,0.0021
26.79,0.9519
27.79,1.661
28.79,0.0786
29.79,0.2231
30.79,1.4753
31.79,0.399
32.79,1.6871
33.79,0.7201
34.79,0.7667
35.79,1.8416
36.79,0.5153
37.79,0.6807
38.79,1.475
39.79,1.9425
40.79,1.9395
41.79,0.5528
42.79,1.2697
43.79,1.348
44.79,1.7232
45.79,1.6592
46.79,0.7858
47.79,0.4409
48.79,1.904
49.79,1.6864
50.79,1.5375
51.79,0.1859
52.79,1.1454
53.79,1.0647
54.79,1.1741
55.79,1.5329
56.79,0.1803
57.79,1.7721
58.79,0.7527
59.79,1.1513
