Time,Entropy
0.74,0.2418
1.74,1.728
2.74,1.8577
3.74,1.7381
4.74,0.6662
5.74,0.181
6.74,0.0334
7.74,0.9097
8.74,0.0502
9.74,1.9689
10.74,0.0028
11.74,1.1882
12.74,1.6596
13.74,1.1473
14.74,0.2058
15.74,0.3333
16.74,0.8456
17.74,1.7073
18.74,0.1985
19.74,0.7808
20.74,0.624
21.74,1.3706
22.74,1.7922
23.74,0.6899
24.74,0.2149
25.74,1.661
26.74,1.5563
27.74,0.1705
28.74,1.0806
29.74,1.7925
30.74,0.644
31.74,0.4917
32.74,1.6475
33.74,0.7987
34.74,1.5489
35.74,1.6722
36.74,0.4931
37.74,0.8634
38.74,1.5017
39.74,0.8244
40.74,1.1206
41.74,0.1579
42.74,1.8344
43.74,0.3215
44.74,1.0123
45.74,0.4604
46.74,0.6983
47.74,1.442
48.74,0.9878
49.74,0.346
50.74,0.2101
51.74,1.698
52.74,0.0278
53.74,0.2505
54.74,1.6535
55.74,1.3998
56.74,0.5312
57.74,0.7426
58.74,0.6084
59.74,1.8244
