Cue,Response,Correct,Reaction Time,Game Time
hexagon,right,True,1.015,1.02
hexagon,right,True,0.864,1.91
triangle,right,True,0.628,2.71
square,right,True,0.726,3.83
circle,left,True,0.627,4.76
hexagon,none,False,N/A,6.68
triangle,right,True,1.36,8.07
hexagon,right,True,0.566,8.67
hexagon,right,True,0.862,9.99
hexagon,none,False,N/A,11.68
triangle,right,True,0.628,12.34
hexagon,none,False,N/A,14.26
square,none,False,N/A,15.82
triangle,left,False,0.297,16.15
hexagon,right,True,1.09,17.97
circle,left,True,0.632,18.63
triangle,right,True,0.63,19.66
hexagon,right,True,0.529,20.58
square,right,True,1.027,22.11
hexagon,right,True,1.487,23.63
square,right,True,1.488,25.15
square,right,True,0.894,26.08
hexagon,right,True,0.531,26.74
hexagon,right,True,0.398,27.63
circle,right,False,0.434,28.7
square,right,True,0.467,29.76
hexagon,right,True,0.43,30.75
hexagon,right,True,0.43,31.78
circle,none,False,N/A,33.91
circle,none,False,N/A,35.46
square,right,True,0.099,35.59
triangle,none,False,N/A,38.04
triangle,right,True,1.297,39.37
hexagon,right,True,0.7,40.11
triangle,right,True,0.993,41.43
square,right,True,0.763,42.23
hexagon,right,True,0.895,43.38
hexagon,right,True,0.663,44.18
circle,left,True,0.398,44.94
triangle,none,False,N/A,47.1
circle,left,True,0.831,47.96
hexagon,right,True,0.93,49.09
triangle,right,True,0.995,50.19
triangle,right,True,0.563,50.78
triangle,right,True,0.793,52.04
hexagon,right,True,0.662,52.93
triangle,right,True,0.496,53.79
circle,left,True,0.562,54.88
triangle,left,False,0.398,55.74
square,right,True,0.529,56.9
hexagon,right,True,0.499,57.89
circle,right,False,0.332,58.75
triangle,right,True,0.495,59.94
