Time,Entropy
0.1,1.7953
1.1,1.9264
2.1,1.605
3.1,1.0658
4.1,0.3364
5.1,0.08
6.1,1.7398
7.1,0.6737
8.1,1.1344
9.1,1.2583
10.1,0.6181
11.1,1.3994
12.1,0.5512
13.1,0.494
14.1,1.6422
15.1,1.6768
16.1,0.4631
17.1,1.9026
18.1,0.6466
19.1,0.2031
20.1,0.5582
21.1,0.4123
22.1,0.1677
23.1,0.6227
24.1,1.5763
25.1,1.4462
26.1,0.1326
27.1,0.8826
28.1,1.3669
29.1,0.6707
30.1,0.578
31.1,0.934
32.1,1.1349
33.1,0.7337
34.1,0.5424
35.1,0.8359
36.1,1.1089
37.1,0.5755
38.1,0.0239
39.1,0.6752
40.1,0.5957
41.1,0.4991
42.1,1.8558
43.1,1.6499
44.1,1.5009
45.1,1.7453
46.1,1.905
47.1,1.8776
48.1,0.5821
49.1,0.4855
50.1,0.5206
51.1,1.1189
52.1,1.9247
53.1,0.5254
54.1,1.206
55.1,1.5748
56.1,0.9129
57.1,0.0329
58.1,1.6632
59.1,0.9883
60.1,0.5833
