Time,Entropy
0.55,1.8757
1.55,1.8171
2.55,0.8071
3.55,1.4789
4.55,0.3394
5.55,0.1605
6.55,1.4595
7.55,0.4925
8.55,1.334
9.55,1.2303
10.55,1.1945
11.55,0.5076
12.55,0.7687
13.55,1.9786
14.55,1.046
15.55,1.8832
16.55,0.245
17.55,0.7261
18.55,1.674
19.55,0.4067
20.55,0.563
21.55,0.4256
22.55,0.8057
23.55,0.5528
24.55,1.4296
25.55,1.1581
26.55,0.4451
27.55,1.5477
28.55,1.5831
29.55,1.9697
30.55,0.2499
31.55,1.42
32.55,1.1547
33.55,0.8687
34.55,0.7916
35.55,0.7024
36.55,1.323
37.55,0.1784
38.55,0.2296
39.55,0.9027
40.55,0.4221
41.55,1.0306
42.55,1.2115
43.55,1.6937
44.55,1.27
45.55,1.454
46.55,0.9474
47.55,0.5162
48.55,0.0665
49.55,1.2907
50.55,0.2057
51.55,1.2385
52.55,1.4552
53.55,1.5377
54.55,0.7656
55.55,0.0466
56.55,0.7071
57.55,1.3199
58.55,1.3071
59.55,1.633
60.55,0.2849
61.55,0.4253
62.55,0.1452
63.55,1.7678
64.55,1.2096
65.55,0.8752
66.55,1.6893
67.55,1.6081
68.55,0.5696
69.55,0.6453
70.55,1.6342
71.55,0.3254
72.55,1.7275
73.55,1.3634
74.55,1.3572
75.55,1.2408
76.55,0.3227
77.55,1.965
78.55,0.7556
79.55,0.1611
80.55,1.2869
81.55,1.0652
82.55,0.0552
83.55,1.7229
84.55,0.8021
85.55,1.3985
86.55,1.5805
87.55,0.7465
88.55,1.6697
89.55,1.5332
90.55,0.2219
91.55,1.2996
92.55,0.5115
93.55,1.6034
94.55,0.7915
95.55,1.5383
96.55,0.8811
97.55,0.7133
98.55,0.7781
99.55,1.7825
100.55,1.8548
101.55,0.5315
102.55,0.6513
103.55,0.7836
104.55,0.6409
105.55,1.5954
106.55,1.4942
107.55,0.8316
108.55,0.1678
109.55,0.4983
110.55,0.8783
111.55,0.7499
112.55,1.422
113.55,1.6188
114.55,0.2466
115.55,1.7123
116.55,0.1147
117.55,1.9486
118.55,1.1734
119.55,1.4532
120.55,1.901
121.55,0.2927
122.55,1.9502
123.55,1.0252
124.55,1.4356
125.55,0.4924
126.55,1.9004
127.55,1.984
128.55,1.8887
129.55,1.7896
130.55,0.6294
131.55,0.3847
132.55,1.9177
133.55,1.1566
134.55,1.7033
135.55,1.9809
136.55,0.3536
137.55,0.1202
138.55,0.0399
139.55,0.2074
140.55,0.7321
141.55,0.0755
142.55,1.2459
143.55,1.2047
144.55,1.2495
145.55,1.9227
146.55,0.0566
147.55,0.5383
148.55,0.7287
149.55,1.1202
